gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.005414257,0.061408225,0.05977097,0.025997136,0.0051194564,0.009739467,0.013539509,0.018196382
Gene10,0.0056605167,0.017669247,0.0034861686,0.013623306,0.0049193185,0.0091891205,0.0127857495,0.018104136
Gene100,0.003910545,0.015942235,0.021644475,0.03440629,0.004580214,0.009223239,0.011981973,0.018089477
Gene11,-0.003445254,0.011532146,-0.018121619,0.019772733,0.004793785,0.009614053,0.0120371645,0.016195906
Gene12,-0.0019069576,-0.02504336,0.028804772,0.1280781,0.0054479116,0.009493172,0.012777451,0.01862987
Gene13,0.0015960148,-0.03963335,-0.051881164,0.07252979,0.005175154,0.009991674,0.012838733,0.01895347
Gene14,0.016238086,0.009198007,-0.02796827,0.012860604,0.005009128,0.009093825,0.011849052,0.01670211
Gene15,0.019891748,-0.038212806,-0.032948967,0.01064181,0.0047135316,0.009058241,0.012038754,0.017973585
Gene16,-0.006931396,0.0018315413,0.038545918,0.023618955,0.004787225,0.009173018,0.012972245,0.017311312
Gene17,0.00045518414,-0.004874781,0.023129124,0.065858416,0.005105187,0.009450521,0.013294856,0.017121267
Gene18,0.0045739235,0.03234599,0.014883252,-0.0171131,0.005223523,0.009585309,0.012299201,0.018030595
Gene19,-0.009913087,0.032883737,0.049690474,0.040952723,0.004755612,0.010119693,0.013068863,0.018069442
Gene2,-0.00987245,0.04370135,0.07195735,0.067032754,0.005091474,0.008890046,0.012274835,0.017637469
Gene20,-0.021546874,-0.023367016,0.031747576,0.103636466,0.005687781,0.009966844,0.012757967,0.018630045
Gene21,0.011214997,0.023909992,-0.05802324,-0.046163443,0.004992143,0.009400715,0.012545386,0.01663695
Gene22,-0.0046216375,0.051396977,0.02294873,0.089376725,0.0050688223,0.010596337,0.013619602,0.019226624
Gene23,0.020673988,-0.021262273,-0.044958033,0.002823904,0.0050293826,0.00952656,0.012719057,0.01792366
Gene24,0.021778395,-0.0027502885,-0.022532457,0.034557678,0.0052959374,0.009482283,0.012555714,0.017287754
Gene25,-0.020229967,0.019003205,-0.007158602,0.056461968,0.005495226,0.009947688,0.012484775,0.018232947
Gene26,0.009897435,-0.029257229,-0.061572533,0.08342382,0.004508327,0.009382179,0.012533146,0.019110812
Gene27,0.007272993,0.010469188,0.018106053,0.052770007,0.004727209,0.008682192,0.011716306,0.016822446
Gene28,0.014582698,0.08845572,0.005704488,-0.038712684,0.0053990097,0.010087981,0.013450191,0.018498363
Gene29,-0.014872631,0.019025518,0.011665779,0.02160312,0.005314112,0.00909862,0.011976637,0.016543616
Gene3,0.024284923,-0.029764315,-0.08785572,-0.0015807252,0.0048130006,0.0102178,0.013264593,0.017899629
Gene30,0.011791611,0.021788841,-0.07024891,-0.010244227,0.0048329895,0.01004725,0.013047327,0.017280709
Gene31,-0.0073948307,-0.0069082207,-0.040142648,0.018455295,0.005153768,0.009394586,0.01292581,0.01834198
