gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene1,6,1,,,False,0.047353373047172895,2.656446174142957e-10,,1.5525401038479902e-09,4.0102669457485814e-07,0.01746110327365137,0.007091234149475148,0.006901487030796405,0.047353373047172895,0.007625866817442456,2.656446174142957e-10,0.04431875383806569,0.008089353858386954,2.1428929297684363e-08,0.03046545246298204,0.008914944201556502,0.00031617382715065645
Gene10,6,1,,,False,0.007128927948166877,0.11414780953316772,,0.022241066828921,0.5059559828018916,0.003966949421754696,0.005308255115729895,0.22743610899763556,0.006675459706720951,0.0055409000386864625,0.11414780953316772,0.0035610367781734116,0.005975468122728248,0.2756067436041484,0.007128927948166877,0.007466209677080557,0.16983295585364083
Gene100,6,1,,,False,0.03938598386435134,2.3813315874754437e-07,,6.32827124036339e-14,1.840225522940862e-05,0.026059933703416752,0.006170099281024165,1.202237515635085e-05,0.030825546344120817,0.006121480977177125,2.3813315874754437e-07,0.03263539055558911,0.006682824278023401,5.211676835648049e-07,0.03938598386435134,0.007960446803353323,3.75457969770121e-07
Gene11,6,2,,,False,0.011751278046292345,0.049995977807048564,,1.28129253313555e-06,0.0665102445383193,-0.007128832461941964,0.006260176440082836,0.1274018367741877,-0.0014169585993756943,0.006608530433412567,0.4151122803947298,-0.011751278046292345,0.007144100381710248,0.049995977807048564,-0.00030944615705079143,0.008088835948381445,0.4847418032974019
Gene12,6,3,,,False,0.06386302988038112,3.714352381223307e-09,,2.2322119830155703e-09,0.00846852729394226,-0.0015060374956682584,0.006686110385206454,0.4108929130803677,-0.011987665606619265,0.007516716473708414,0.05537839166001013,0.011030671166792554,0.007671937567447355,0.07524615692328596,0.06386302988038112,0.011047182037795047,3.714352381223307e-09
Gene13,6,2,,,False,0.035289191012265596,1.0784644967620771e-05,,0.002872909467397,0.0810566748209113,-0.0075693931112339055,0.00668314049600464,0.12868899110995857,-0.030734100060085146,0.007473480797565894,1.95765657050595e-05,-0.035289191012265596,0.008307259538480917,1.0784644967620771e-05,0.017930095472220492,0.010609948182500197,0.04552044159908242
Gene14,6,0,,,False,0.029736000663174767,4.475825553185153e-06,,9.41123169370047e-07,0.0001408079094384435,0.029736000663174767,0.006695697772638983,4.475825553185153e-06,0.02598464187198521,0.006645845015529723,4.6165660820551846e-05,0.009524439889635968,0.007616015766514364,0.10554380628127485,0.026829058270438022,0.008285082229897075,0.0006013546615286636
Gene15,6,0,,,False,0.02937161491730669,3.212075926783964e-05,,8.07724423233945e-05,0.0068442353230631,0.02937161491730669,0.007349033752469495,3.212075926783964e-05,-0.003368704046137084,0.007455063326411381,0.32568206388777865,0.0009518706599980585,0.00794137593527284,0.45229616079908347,0.020719967520183707,0.008994498033428023,0.0106217985597159
Gene16,6,0,,,False,0.011544194214109193,0.03816268327590411,,3.31640124251464e-08,0.03862268363620315,-0.011544194214109193,0.0065132496455921896,0.03816268327590411,-0.008597238796792429,0.006425380019708589,0.09044618069061161,0.005796120550747486,0.007678058491328672,0.22515628275879568,0.0005232973410651769,0.008172696030244009,0.4744731884252021
Gene17,6,3,,,False,0.032195945571561836,0.0010302951285607875,,0.0004749858392888,0.0714821366197175,0.004040798363097654,0.006139022708574144,0.2551999136503246,0.0016454966698992422,0.006272061808682179,0.39652450237138565,0.012282886833258472,0.007510137160766081,0.05097133540670229,0.032195945571561836,0.010448623611814185,0.0010302951285607875
