guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g1,Gene1,0.06282745,0.11922061,0.116502896,0.0830557,0.012535807,0.015411601,0.017936004,0.02239434
g10,Gene10,0.031715143,0.04351537,0.029605044,0.040098507,0.01171251,0.014139918,0.016651273,0.021198606
g100,Gene100,-0.1370586,-0.1246503,-0.1188972,-0.10533316,0.012986761,0.0152643565,0.017506175,0.021958029
g101,Gene1,-0.09864167,-0.042248406,-0.044966195,-0.078413315,0.012579363,0.015159987,0.017740443,0.022441234
g102,Gene2,0.040429737,0.09444941,0.12144393,0.117456965,0.011781427,0.013961707,0.016040325,0.019604616
g103,Gene3,-0.007944441,-0.061830793,-0.11965299,-0.03317464,0.012410522,0.014983593,0.017298263,0.021128647
g104,Gene4,0.036485057,0.05992998,0.03653674,0.16151516,0.011565218,0.013789932,0.015742762,0.020996831
g105,Gene5,0.015002318,0.038160857,0.032499198,0.18436691,0.012075243,0.0147009,0.017308911,0.02218309
g106,Gene6,-0.06554283,0.07030538,0.008737906,-0.03304556,0.012687445,0.01599391,0.018273799,0.021904495
g107,Gene7,-0.0908408,-0.09030387,-0.14406765,-0.07251348,0.011069129,0.013164369,0.015122438,0.01919858
g108,Gene8,0.032836497,-0.051496085,-0.054979023,-0.09848961,0.011449222,0.014478418,0.017085778,0.0204705
g109,Gene9,-0.06430945,-0.03978939,-0.025176777,0.024647726,0.011566878,0.014079601,0.016115416,0.019983519
g11,Gene11,-0.024711378,-0.010033207,-0.039804686,-0.0021999313,0.011146686,0.013355853,0.014947779,0.019141521
g110,Gene10,0.00030179796,0.012102005,-0.001808309,0.00868517,0.0116047915,0.014344689,0.016583635,0.021253645
g111,Gene11,-0.029897423,-0.015219245,-0.044990715,-0.0073859603,0.011033776,0.013883504,0.015178636,0.019520527
g112,Gene12,-0.08084042,-0.10474085,-0.050811857,0.048888087,0.0105895735,0.013461353,0.01604303,0.020631976
g113,Gene13,-0.019891517,-0.06104976,-0.073401175,0.05204695,0.012216317,0.014757171,0.016805181,0.022195583
g114,Gene14,0.027133657,0.020107491,-0.016959585,0.024474584,0.0121978335,0.014011706,0.01656938,0.020719223
g115,Gene15,0.07635051,0.018467795,0.023837877,0.068309136,0.011753174,0.0140223075,0.01595812,0.020506078
g116,Gene16,-0.019338336,-0.010571885,0.025868015,0.011022597,0.011591218,0.014034389,0.016361216,0.019759636
g117,Gene17,0.040627636,0.035472076,0.06307753,0.10576167,0.011906466,0.014259263,0.016833393,0.020814374
g118,Gene18,0.1151642,0.14318927,0.12539615,0.09370797,0.011990203,0.014497866,0.016627897,0.020895895
g119,Gene19,0.013204677,0.05619462,0.07330808,0.06444001,0.012042801,0.015368843,0.017559336,0.021764915
g12,Gene12,-0.036243126,-0.06014351,-0.006214591,0.0934853,0.012436006,0.014612444,0.017140673,0.021252027
g120,Gene20,-0.06338187,-0.065226786,-0.0103822425,0.06270876,0.011942522,0.014626702,0.01700174,0.021204254
g121,Gene21,-0.0012931839,0.011752832,-0.07028738,-0.057427768,0.011368079,0.014157128,0.016522752,0.019607784
g122,Gene22,-0.050115827,0.006043832,-0.023037786,0.04376323,0.011973196,0.015156683,0.017658813,0.022027632
g123,Gene23,-0.022252858,-0.06420879,-0.08798332,-0.04042533,0.012631718,0.015514395,0.01749424,0.022668613
g124,Gene24,0.048941627,0.02418404,0.005092624,0.06190647,0.012492662,0.014841155,0.0169681,0.020682948
g125,Gene25,-0.0698402,-0.030654952,-0.056684975,0.006633636,0.011923573,0.01456001,0.0165432,0.020679383
g126,Gene26,-0.022448113,-0.06163859,-0.09331193,0.051464457,0.01124025,0.013576613,0.01606873,0.021039201
g127,Gene27,0.031352457,0.03459236,0.042898588,0.07812434,0.01220676,0.014134574,0.015769185,0.019263847
g128,Gene28,0.010334868,0.08462241,0.002264174,-0.041716743,0.012456843,0.015297286,0.017815225,0.02165116
g129,Gene29,-0.06598225,-0.03209012,-0.03995052,-0.028873235,0.01191467,0.014572616,0.017043881,0.021424886
g13,Gene13,-0.0030126222,-0.044170864,-0.05652235,0.06892582,0.0111913625,0.013528607,0.015828582,0.021781769
g130,Gene30,0.054979727,0.06477138,-0.02688763,0.0332669,0.011576802,0.014190503,0.016593037,0.020621493
g131,Gene31,-0.09246711,-0.09202157,-0.1254894,-0.06662428,0.011626099,0.0139988735,0.016025553,0.020534279
g132,Gene32,-0.087540045,-0.027916068,0.039496012,0.041660912,0.01255436,0.014666252,0.017311994,0.021382116
g133,Gene33,-0.04444687,-0.07813072,-0.09266547,-0.08222015,0.011464273,0.014167597,0.016247174,0.020059813
g134,Gene34,-0.024853608,-0.039309002,-0.010789371,0.05635017,0.011705833,0.014123073,0.016403291,0.021184077
g135,Gene35,0.009726724,0.016156761,0.0016343521,-0.05956394,0.01132217,0.014134299,0.01600758,0.019792682
g136,Gene36,0.030153645,0.04929518,0.015749052,0.053031735,0.010475967,0.012738303,0.01520536,0.019861588
g137,Gene37,0.08215696,0.034715768,0.07191048,0.07487428,0.011725593,0.014477836,0.016203897,0.0191425
g138,Gene38,-0.074729994,-0.049846083,-0.06799283,-0.019393805,0.0131319165,0.0150117595,0.017103601,0.02088463
g139,Gene39,-0.13770682,-0.12862755,-0.14576678,-0.07557518,0.011850281,0.014653708,0.01728599,0.02091574
g14,Gene14,0.088778436,0.081752166,0.044685107,0.0861192,0.011790475,0.013729165,0.01601861,0.020082757
g140,Gene40,-0.04164321,-0.05205091,-0.07197101,0.055465873,0.01187188,0.0142990695,0.016319081,0.020707762
g141,Gene41,-0.059943892,-0.07601278,-0.084716775,-0.051375933,0.010436858,0.0129619185,0.014960254,0.020050092
g142,Gene42,-0.048362788,-0.03683429,0.03415931,-0.029001243,0.011234482,0.013231332,0.016487792,0.020976383
g143,Gene43,0.055873167,0.008764286,0.059514504,0.13018702,0.012090355,0.014825582,0.01722272,0.020543277
g144,Gene44,0.13133886,0.103263095,0.11494328,0.15040623,0.012613573,0.01542149,0.016984377,0.020878013
g145,Gene45,-0.0020053016,-0.092139654,-0.02457355,0.018795148,0.011455111,0.014067454,0.016720578,0.020078968
g146,Gene46,-0.0963207,-0.115088485,-0.09633416,-0.039033253,0.011614043,0.014312039,0.016225858,0.020445202
g147,Gene47,-0.007176593,-0.015952384,-0.036367852,0.064743645,0.012634106,0.015013298,0.017424615,0.022469569
g148,Gene48,0.08977,0.077405944,0.08466491,0.019036368,0.011535446,0.014070191,0.01582989,0.019884571
g149,Gene49,0.047021776,0.05691633,0.032222368,0.05690427,0.011604938,0.014007665,0.01667125,0.020020137
g15,Gene15,0.054365106,-0.003517631,0.0018524339,0.04632373,0.012204476,0.014591506,0.016737178,0.02115212
g150,Gene50,-0.08191132,-0.0792039,-0.055131003,-0.01711378,0.012267908,0.01471382,0.016526463,0.021239642
g151,Gene51,0.113499925,0.030040652,0.09587379,0.1289521,0.011883705,0.014354251,0.016430443,0.020435592
g152,Gene52,-0.027045744,-0.069427,-0.092629895,-0.083122395,0.011421362,0.014181342,0.017428854,0.021209389
g153,Gene53,0.023197105,-0.028567828,-0.0026471177,0.04231586,0.01173919,0.0144987255,0.016882388,0.020298202
g154,Gene54,-0.028771874,-0.04806846,-0.11467453,-0.020244613,0.011659836,0.014435336,0.016809277,0.02146492
g155,Gene55,-0.00656425,-0.026316067,-0.057141125,0.037474047,0.012671922,0.015019771,0.016800214,0.02171045
g156,Gene56,-0.014091387,-0.049068976,0.011209473,0.028300533,0.0113135725,0.0135123655,0.016759066,0.020370115
g157,Gene57,0.03203657,0.07482267,0.1052493,0.0700309,0.011317801,0.014007239,0.01627237,0.02096579
g158,Gene58,0.056485713,0.05914231,0.052519456,0.0304536,0.011760688,0.014183175,0.016082196,0.020360492
g159,Gene59,-0.007764978,-0.067501366,-0.13267474,-0.06607044,0.010993875,0.013199641,0.015608342,0.020097008
g16,Gene16,-0.047375213,-0.03860882,-0.0021688882,-0.017014312,0.011449326,0.013721049,0.01643106,0.02017086
g160,Gene60,0.04371042,0.009432393,0.058356326,0.055608008,0.011923848,0.014253767,0.016699202,0.020900736
g161,Gene61,-0.044618268,0.01832181,0.016893568,0.019641092,0.010583236,0.013218934,0.015096327,0.020239966
g162,Gene62,-0.014291969,-0.021437254,0.017065343,0.011303832,0.011052504,0.013554788,0.016368458,0.020420317
g163,Gene63,0.005574771,-0.0040780627,0.055558715,0.02028891,0.011335673,0.013805816,0.01637694,0.020518335
g164,Gene64,0.022024577,-0.0106706,-0.001314704,0.03281809,0.011278551,0.013706413,0.015695166,0.019906366
g165,Gene65,0.014157123,0.012658027,0.0007726424,-0.03223035,0.011702703,0.014006513,0.016012987,0.01984505
g166,Gene66,0.0013177682,0.003553173,0.0015886385,0.06715945,0.0115308,0.013981483,0.016335415,0.01977336
g167,Gene67,0.008958554,-0.02435429,0.002973856,0.065631926,0.0105133485,0.012723438,0.015382141,0.019445667
g168,Gene68,0.0906834,0.06532643,0.050427806,0.110227115,0.012688643,0.014567827,0.016603036,0.020102527
g169,Gene69,0.06066358,0.034678973,-0.01703021,-0.013450593,0.012558155,0.014622229,0.017154237,0.021755489
g17,Gene17,0.0070143556,0.0018587866,0.029464262,0.07214846,0.010975759,0.013343187,0.015915068,0.019846782
g170,Gene70,0.035454348,0.02887558,0.03700435,0.048219778,0.011236209,0.014070665,0.015999801,0.020478513
g171,Gene71,-0.046184186,0.011494889,0.053617787,0.025429977,0.010999628,0.0136806425,0.015824376,0.020468764
g172,Gene72,0.005143933,0.03303904,0.075659156,0.07935894,0.012347095,0.014347364,0.016769087,0.02037764
g173,Gene73,-0.00134739,0.04671558,0.041013934,0.10854376,0.012221529,0.014362752,0.01648982,0.020876596
g174,Gene74,0.0607845,0.017126229,-0.046915233,0.0073428783,0.01113365,0.014407018,0.017148688,0.021781215
g175,Gene75,0.0854996,0.06437872,0.07105663,-0.0037208258,0.012275759,0.014198205,0.016446816,0.021519037
g176,Gene76,0.0028703862,0.023516614,0.040280655,0.0027026879,0.012814402,0.015130918,0.017265486,0.021089917
g177,Gene77,0.09834526,0.098232254,0.10629021,0.12370871,0.011888829,0.01393763,0.016505284,0.020634916
g178,Gene78,0.10336332,0.10851219,0.08919185,0.0063901986,0.011671365,0.013639497,0.016096773,0.021400815
g179,Gene79,-0.10513134,-0.10773748,-0.084021986,-0.11650319,0.012570514,0.014998781,0.017722884,0.021769403
g18,Gene18,-0.0015790651,0.026445951,0.0086528035,-0.023035366,0.010816849,0.013364293,0.01565543,0.019985132
g180,Gene80,0.030665938,0.052952193,0.0033957365,-0.029007506,0.012415871,0.01448186,0.016753938,0.020695308
g181,Gene81,-0.016595848,-0.035031527,-0.008516915,0.040147588,0.011332987,0.013857715,0.015979229,0.020066312
g182,Gene82,0.07672355,0.04018391,0.030079423,0.13975011,0.012306872,0.014933765,0.01706419,0.021123897
g183,Gene83,0.06446806,0.09505937,0.03663837,0.031400822,0.012336894,0.014065332,0.016831357,0.021414297
g184,Gene84,-0.04334377,-0.0662035,-0.07684362,-0.010085913,0.011634082,0.014422685,0.016973082,0.021211391
g185,Gene85,0.04512998,0.040674772,0.055930104,0.04660532,0.0116315475,0.01422358,0.016181536,0.019945161
g186,Gene86,0.0025883825,-0.018175583,0.02418741,0.06314656,0.011219387,0.0134226205,0.0153987175,0.020869868
g187,Gene87,-0.010666512,0.050872862,0.08305047,0.043746565,0.0121985,0.01466402,0.016879644,0.02108284
