gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3,lfsr_min
Gene95,6,3,,,False,0.0973189334878937,0.0,,5.712014687027129e-11,2.735098273341422e-05,0.0193432966213913,0.0065049178778342,0.0014714413052091,0.0307469386147663,0.0065118839769059,1.1696052456544592e-06,0.0312542421092757,0.0071167115674536,5.6241907014920045e-06,0.0973189334878937,0.0104389376593266,0.0,0.0
Gene28,6,1,,,False,0.0864448881774198,0.0,,1.69924205005511e-16,0.0071141138956604,0.0404319966214415,0.0069746647038985,3.3759730566629287e-09,0.0864448881774198,0.0079424937036567,0.0,0.0364690484826728,0.008366357053963,6.532555720362154e-06,0.020550677306361,0.0095988429534288,0.0161388903213703,0.0
Gene69,6,0,,,False,0.0810282827741896,0.0,,5.472821824655559e-18,9.549841095813663e-06,0.0810282827741896,0.0073302244150138,0.0,0.0626875870388002,0.0073660401778766,0.0,0.0349458614076528,0.0085653173086058,2.252501282928865e-05,0.0400022778835967,0.009533315336519,1.3580452253525443e-05,0.0
Gene12,6,3,,,False,0.0638630298803811,3.714352381223307e-09,,2.2322119830155703e-09,0.0084685272939422,-0.0015060374956682,0.0066861103852064,0.4108929130803677,-0.0119876656066192,0.0075167164737084,0.0553783916600101,0.0110306711667925,0.0076719375674473,0.0752461569232859,0.0638630298803811,0.011047182037795,3.714352381223307e-09,3.714352381223307e-09
Gene47,6,3,,,False,0.063045491006605,1.3201945647800526e-09,,3.28133716198068e-06,0.0109251300402178,0.0280120232486013,0.006584384593436,1.0484659924536732e-05,0.025245569658229,0.0068600328129375,0.0001165737258611,0.0182188660587402,0.0078387174269797,0.0100569819805315,0.063045491006605,0.0105913885206453,1.3201945647800526e-09,1.3201945647800526e-09
Gene6,6,1,,,False,0.0614734116622748,2.1649348980190556e-15,,1.09482432310464e-07,0.0003241150422714,-0.0220879652502532,0.0070669386389218,0.0008874092333315,0.0614734116622748,0.0078364198230815,2.1649348980190556e-15,0.0241384680758903,0.0085679727678224,0.0024215351302203,0.005270935620141,0.0095501861209635,0.2905016938677955,2.1649348980190556e-15
Gene5,6,3,,,False,0.0609350271653968,8.486545277630597e-08,,2.91847657152289e-11,0.0002283272151413,-0.0132957802313532,0.0057799655593407,0.0107150004376195,-0.0040691245314862,0.0049559143745574,0.2058048123218967,-0.0044632691087076,0.0055488869148935,0.2105962941012349,0.0609350271653968,0.0116515931163617,8.486545277630597e-08,8.486545277630597e-08
Gene57,6,2,,,False,0.0530576779276941,6.304379240873459e-11,,6.78962619721006e-06,0.0065053662225071,0.0157034997031103,0.0074068404218934,0.016997341935067,0.0394410480778641,0.0071515571533025,1.7436081245492122e-08,0.0530576779276941,0.008249252045757,6.304379240873459e-11,0.0352795681113653,0.0088793691186698,3.54557436804126e-05,6.304379240873459e-11
Gene91,6,0,,,False,0.0519257645455658,2.646771690706373e-13,,1.02293431825907e-15,0.0076092025896414,0.0519257645455658,0.0071943713846298,2.646771690706373e-13,0.028044426324589,0.0070090346913111,3.1513373171532244e-05,0.0347494584665901,0.0071987196877314,6.924273796560243e-07,0.0261814987886554,0.0088586913053358,0.0015610210399154,2.646771690706373e-13
Gene72,6,0,,,False,0.0514201230957871,3.3317792969000953e-13,,5.55111512312578e-16,0.0024305202672458,-0.0514201230957871,0.007155445592973,3.3317792969000953e-13,-0.0349031422948578,0.0071085821584803,4.5538069182171625e-07,-0.0151299056974507,0.0083989789992281,0.0358200693961257,-0.0151562859349027,0.0092820439048913,0.0512491347275644,3.3317792969000953e-13
Gene93,6,0,,,False,0.0510491820239495,8.012479568719756e-13,,4.75110120286817e-10,0.0011511933312825,0.0510491820239495,0.0072253229759072,8.012479568719756e-13,-0.0021764232265395,0.0078224299160247,0.3904184652344941,0.0307263714805844,0.0081888771963302,8.7641928087967e-05,0.0167340648816253,0.0092865033339952,0.0357745166895479,8.012479568719756e-13
Gene67,6,1,,,False,0.0502436419300467,2.8566038423605283e-13,,1.37861055904409e-10,0.0017526845015323,-0.0332400210671891,0.0063095460398074,6.88797825443288e-08,-0.0502436419300467,0.0069713672602858,2.8566038423605283e-13,-0.0343841916584994,0.0070293193488226,5.00252122392908e-07,-0.0187664786363202,0.0100593245087785,0.0310500469962808,2.8566038423605283e-13
Gene87,6,2,,,False,0.0497842745372583,1.4720230590015147e-09,,0.0007100751887028,0.0085081421519969,-0.0031031214979522,0.00731321230937,0.3356672620821539,0.0338004147432488,0.0073038950616057,1.8485261021883304e-06,0.0497842745372583,0.0083886926462413,1.4720230590015147e-09,0.0282067432460329,0.0091894614390526,0.0010722075797399,1.4720230590015147e-09
Gene96,6,1,,,False,0.0492070818487772,7.084055564376968e-12,,2.29132420220118e-10,0.1885975150344948,0.0229154053520162,0.0066259453769796,0.0002716610777784,0.0492070818487772,0.0072832742140138,7.084055564376968e-12,0.0336305081836018,0.0070769711916992,1.0065502986655872e-06,0.0275093650380767,0.008173746077168,0.0003819198693149,7.084055564376968e-12
Gene83,6,1,,,False,0.0488232570135529,7.905232024540965e-12,,4.003076943564449e-11,2.03468906873888e-05,0.032175827466714,0.0065401386465041,4.332807588269816e-07,0.0488232570135529,0.0072435277759011,7.905232024540965e-12,0.0186945629602122,0.0078892525331983,0.0089030890685121,0.0194938187413325,0.0090479455456777,0.0156004041314609,7.905232024540965e-12
Gene58,6,0,,,False,0.0476437330550457,1.4377388168895777e-14,,3.59778590040586e-09,0.0111226065625807,0.0468200880065354,0.0061574410177483,1.4377388168895777e-14,0.0476437330550457,0.0064579831314192,8.065770273901762e-14,0.0453595985079499,0.0068791166703447,2.143379917995958e-11,0.0414095364186609,0.0083153558699908,3.1810629386175293e-07,1.4377388168895777e-14
Gene1,6,1,,,False,0.0473533730471728,2.656446174142957e-10,,1.5525401038479902e-09,4.0102669457485814e-07,0.0174611032736513,0.0070912341494751,0.0069014870307964,0.0473533730471728,0.0076258668174424,2.656446174142957e-10,0.0443187538380656,0.0080893538583869,2.1428929297684366e-08,0.030465452462982,0.0089149442015565,0.0003161738271506,2.656446174142957e-10
Gene53,6,0,,,False,0.0470685571141952,4.7650963730383475e-09,,3.05851735322385e-08,0.1119002420264912,0.0402549297753853,0.0070144165757797,4.7650963730383475e-09,0.0129811915914958,0.0071981684342663,0.0356625492531291,0.0251118176756297,0.0074156296270789,0.000354162282986,0.0470685571141952,0.0092932257988027,2.043884512747951e-07,4.7650963730383475e-09
Gene63,6,2,,,False,0.0467672233780742,2.1927201665494778e-08,,9.083651315653587e-12,5.261197973746065e-06,0.0234942302298747,0.0066398478678335,0.0002013036864909,0.0182382282246003,0.0070735038039082,0.0049631420853094,0.0467672233780742,0.0085426098636647,2.1927201665494778e-08,0.0313519961096562,0.0085629565960279,0.0001254440116584,2.1927201665494778e-08
Gene79,6,2,,,False,0.0462354672381178,3.461273490046324e-10,,4.04721215644849e-13,0.000371749210814,0.0366483837950173,0.0063537751746675,4.011607157572428e-09,0.0369980641479564,0.0065865976607811,9.705304837570594e-09,0.0462354672381178,0.0074962068364027,3.461273490046324e-10,0.0330393861663369,0.0081437432383774,2.4850669524068003e-05,3.461273490046324e-10
Gene78,6,0,,,False,0.0455560526124273,1.1864853544096832e-10,,2.00044346698108e-08,0.0016705332829034,0.0443043443777324,0.0069935506552998,1.1864853544096832e-10,0.0455560526124273,0.0072403538860961,1.5673617959066632e-10,0.0357557200866632,0.0080019843888626,3.941140535534959e-06,0.0034476082840399,0.0105819166093601,0.3722871295981023,1.1864853544096832e-10
Gene59,6,2,,,False,0.0444687551953926,1.7313442457478345e-08,,6.86875084587868e-08,0.0029641245562412,0.0311836871423467,0.0071170827793019,5.892534031659569e-06,-0.0083785706733719,0.0071119523196917,0.1193789414546148,-0.0444687551953926,0.0080613802241677,1.7313442457478345e-08,-0.0065120401835812,0.0091609774117361,0.2385899700239376,1.7313442457478345e-08
Gene98,6,3,,,False,0.0444355465465543,2.512877136262581e-06,,1.15830663379946e-10,0.0322899490183222,0.0144835012508288,0.0061700170508776,0.009452460284833,0.0165603195520782,0.0062675843153909,0.0041182599449578,0.0174009311303197,0.0067481668772474,0.0049598493051031,0.0444355465465543,0.0097367161176826,2.512877136262581e-06,2.512877136262581e-06
Gene42,6,2,,,False,0.0441699314638237,2.2266674271076425e-07,,2.6356542397719e-09,0.0008959063477959,0.0015925321422577,0.007044437350931,0.4105736988699985,0.0075962080727202,0.0068999007804126,0.1354667064968976,0.0441699314638237,0.008749150328927,2.2266674271076425e-07,0.0137870990313884,0.0090227145883516,0.0632508875294593,2.2266674271076425e-07
Gene32,6,2,,,False,0.0440380670812508,8.865799483448455e-08,,1.53138872518711e-07,0.0005486492701772,-0.0315721684543421,0.0070974284930729,4.325707545049795e-06,0.008272112485723,0.0075077575385764,0.1352724261846304,0.0440380670812508,0.0084337119026786,8.865799483448455e-08,0.0388125284313368,0.0094321981063002,1.9367574957462885e-05,8.865799483448455e-08
Gene99,6,1,,,False,0.0421061082778541,6.090467479236139e-07,,0.0006179405075344,0.0247133322863793,0.0273876338261198,0.0067025361898645,2.192859026522997e-05,0.0342627583039025,0.0070605970552514,6.090467479236139e-07,0.0003621035216222,0.0083143849536354,0.4826309760674656,0.0421061082778541,0.0091822690377442,2.2635461524034284e-06,6.090467479236139e-07
Gene45,6,1,,,False,0.0403037205776864,9.400091183220385e-08,,7.856563575283401e-11,0.0008254433567505,0.0124292213443359,0.0070473525145386,0.0388935726022357,-0.0403037205776864,0.0077346127886409,9.400091183220385e-08,-0.0005521515123367,0.0081461607751397,0.4729801510601414,0.0180527303514387,0.0091699877390152,0.0244951822657276,9.400091183220385e-08
Gene54,6,2,,,False,0.0401351403105179,2.0773323278211464e-06,,2.63102317710207e-10,0.0215757903694845,0.0025658398727759,0.0071063186013756,0.3590255889690733,-0.0070632366384299,0.0072870394283515,0.1662008681464803,-0.0401351403105179,0.0087184133262852,2.0773323278211464e-06,0.0026007367204247,0.0092764336498428,0.3896008355356899,2.0773323278211464e-06
Gene100,6,1,,,False,0.0393859838643513,2.3813315874754442e-07,,6.32827124036339e-14,1.840225522940862e-05,0.0260599337034167,0.0061700992810241,1.202237515635085e-05,0.0308255463441208,0.0061214809771771,2.3813315874754442e-07,0.0326353905555891,0.0066828242780234,5.211676835648049e-07,0.0393859838643513,0.0079604468033533,3.75457969770121e-07,2.3813315874754442e-07
Gene56,6,3,,,False,0.0388369464468921,1.2768657798867268e-05,,1.5999677473926e-07,0.0831393432606694,0.021494027811505,0.0066057923126381,0.0005693315181158,0.0055667847490217,0.0076160993577912,0.232412990670027,0.0314972653094716,0.0079756877062695,3.921299161102621e-05,0.0388369464468921,0.0092249326809034,1.2768657798867268e-05,1.2768657798867268e-05
Gene74,6,0,,,False,0.0387569522486259,7.473087670906153e-08,,3.84121136232975e-05,0.0613098178898413,0.0387569522486259,0.0073777497416172,7.473087670906153e-08,0.0107509338237173,0.007370259266255,0.0723250317847232,-0.0210627653157191,0.0086809752004082,0.0076265487496575,0.0060634717813083,0.00933759781235,0.258052535477014,7.473087670906153e-08
Gene4,6,3,,,False,0.0384472412967075,7.356067312153103e-05,,6.9700911708991985e-12,6.28333387201131e-06,-0.0191492369387054,0.0070428988119407,0.0032745495362787,-0.0066774455253282,0.0074533548106914,0.1851536263390876,-0.0164224745089183,0.0079478994645453,0.0194016845303115,0.0384472412967075,0.0101286798118419,7.356067312153103e-05,7.356067312153103e-05
Gene22,6,3,,,False,0.0380390999309528,5.857641729678509e-05,,1.98103265781777e-05,0.0147563519760151,-0.0034734604660261,0.0073983730586642,0.319359797692238,0.0248836565124306,0.0077078880606693,0.0006225620236551,0.0114020305854487,0.0082012436187009,0.0822218305587722,0.0380390999309528,0.0098751333074278,5.857641729678509e-05,5.857641729678509e-05
Gene43,6,3,,,False,0.0378237562762554,0.000105055356982,,7.27431009600069e-05,0.044558741608569,0.002457473871215,0.0066367854124811,0.3555866581923725,-0.0211962606288796,0.0075445786716681,0.0024811641463388,0.0039157387662387,0.0076076087487337,0.3033766264937574,0.0378237562762554,0.0102046016685063,0.000105055356982,0.000105055356982
