guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.06282745,0.11922061,0.116502896,0.0830557,0.012535807,0.015411601,0.017936004,0.02239434,0.0723857920333951,0.0178567319284526,2.34124479298083e-05,0.1012435829999,0.0190055558810864,2.33489400023307e-08,0.097712233952753,0.0202788175500088,9.05915231146061e-07,0.0832667272169387,0.0223239365424864,0.000207214998270899,2.33489400023307e-08,1
g10,Gene10,0.031715143,0.04351537,0.029605044,0.040098507,0.01171251,0.014139918,0.016651273,0.021198606,0.0321573154100663,0.0158531140674992,0.0340808319881993,0.0369650797260806,0.0165898076045596,0.022241066828921,0.0313843120562442,0.0179044416588637,0.0543698979955607,0.0345745891674934,0.0200076050667259,0.0500818806943216,0.022241066828921,1
g100,Gene100,-0.1370586,-0.1246503,-0.1188972,-0.10533316,0.012986761,0.0152643565,0.017506175,0.021958029,-0.123830416492907,0.0157750651613196,6.32827124036339e-14,-0.118142466179306,0.0166257394724203,1.80400028249039e-10,-0.1155542706499,0.0180854866125962,1.35985491755974e-08,-0.111309010878363,0.0208004892403742,1.70169697299993e-06,6.32827124036339e-14,0
g101,Gene1,-0.09864167,-0.042248406,-0.044966195,-0.078413315,0.012579363,0.015159987,0.017740443,0.022441234,-0.0820019621151519,0.0178072083696372,7.0876126434527e-07,-0.0506226636677326,0.0189583283419573,0.00439152524759945,-0.0528965307285083,0.0204911150880419,0.00618406205623023,-0.0658369435314657,0.0225324476467514,0.00232499519756102,7.0876126434527e-07,0
g102,Gene2,0.040429737,0.09444941,0.12144393,0.117456965,0.011781427,0.013961707,0.016040325,0.019604616,0.0554911967078753,0.0181374180444491,0.000800932870944828,0.0883975622002584,0.0175005278222821,2.70990799766564e-07,0.101780871052723,0.0196711983705859,6.13014609774084e-08,0.0960300193767447,0.0217360360029041,4.88417078916184e-06,6.13014609774084e-08,2
g103,Gene3,-0.007944441,-0.061830793,-0.11965299,-0.03317464,0.012410522,0.014983593,0.017298263,0.021128647,-0.0220561253788993,0.0174891768982569,0.103075494979966,-0.0557176151519681,0.0186132318747448,0.00138683014701002,-0.0845441509855489,0.0209438194473783,2.66798235831756e-05,-0.041246754295429,0.0227841287992922,0.0357300434100718,2.66798235831756e-05,2
g104,Gene4,0.036485057,0.05992998,0.03653674,0.16151516,0.011565218,0.013789932,0.015742762,0.020996831,0.0443455133147713,0.0173156352589879,0.00767194031285654,0.0590202919819499,0.0176632671595876,0.00302083780257953,0.0460067303738003,0.0192903923597135,0.0111432168936882,0.101013679382129,0.023986897253395,3.43592059387923e-06,3.43592059387923e-06,3
g105,Gene5,0.015002318,0.038160857,0.032499198,0.18436691,0.012075243,0.0147009,0.017308911,0.02218309,0.0142894406277421,0.0184421064744547,0.503540550945938,0.022446014191625,0.0251149647007154,0.478403709141044,0.0213568994351988,0.0251014135898879,0.485569713135801,0.127971163792755,0.0377289228205054,7.27981144901195e-06,7.27981144901195e-06,3
g106,Gene6,-0.06554283,0.07030538,0.008737906,-0.03304556,0.012687445,0.01599391,0.018273799,0.021904495,-0.0442152177437895,0.0174217802588674,0.00814718972773909,0.0373647239174888,0.0196930356609212,0.0312009541941995,0.0018548504304466,0.0211960354820497,0.466745335676652,-0.0163894366245583,0.023382280558066,0.242828127660085,0.00814718972773909,0
g107,Gene7,-0.0908408,-0.09030387,-0.14406765,-0.07251348,0.011069129,0.013164369,0.015122438,0.01919858,-0.0909176838093948,0.0165027062646067,6.79668653580379e-08,-0.0906236331350894,0.0165225502238377,7.58870202233197e-08,-0.11727422369236,0.0198384408001431,4.08639788673781e-11,-0.0831846115975474,0.021162325825403,8.29321974710195e-05,4.08639788673781e-11,2
g108,Gene8,0.032836497,-0.051496085,-0.054979023,-0.09848961,0.011449222,0.014478418,0.017085778,0.0204705,0.0098579488790026,0.0173044048492766,0.287893253692814,-0.0435711549309776,0.0186351114634584,0.0170131072034773,-0.0438631595942141,0.0206606602655526,0.023616382497981,-0.0615521415216739,0.0227780906025614,0.00357418044606472,0.00357418044606472,3
g109,Gene9,-0.06430945,-0.03978939,-0.025176777,0.024647726,0.011566878,0.014079601,0.016115416,0.019983519,-0.0493977782056362,0.0176521872473378,0.00454032958821404,-0.0346203397504062,0.0174491172522916,0.0263846044402519,-0.0264082543164038,0.0191174346544771,0.088196914015553,-0.00602958589910936,0.023113736103508,0.402409913460116,0.00454032958821404,0
g11,Gene11,-0.024711378,-0.010033207,-0.039804686,-0.0021999313,0.011146686,0.013355853,0.014947779,0.019141521,-0.0186505523086775,0.0163173537771372,0.202413370255639,-0.0127004821330044,0.0156796707755344,0.285200457709007,-0.0240289648225344,0.0188084018342672,0.171747159965882,-0.0112473775984277,0.0192883459810955,0.326502282055928,0.171747159965882,2
g110,Gene10,0.00030179796,0.012102005,-0.001808309,0.00868517,0.0116047915,0.014344689,0.016583635,0.021253645,0.00133656063475562,0.0115274252966447,0.691266009950626,0.004023386579728,0.0126006891576206,0.635624067947662,0.00105920039211298,0.0130352049771335,0.698654209505827,0.00363131616515984,0.0174499574295489,0.61078134118708,0.61078134118708,3
g111,Gene11,-0.029897423,-0.015219245,-0.044990715,-0.0073859603,0.011033776,0.013883504,0.015178636,0.019520527,-0.0249830692234973,0.016472362690373,0.100244685471115,-0.0186012463717337,0.0165729502572596,0.16851967955989,-0.0306901769938398,0.0187469207502284,0.0815548799168315,-0.016986256531779,0.0199561006193439,0.219586403801006,0.0815548799168315,2
g112,Gene12,-0.08084042,-0.10474085,-0.050811857,0.048888087,0.0105895735,0.013461353,0.01604303,0.020631976,-0.0694993895081404,0.0171574201318574,2.5554633251379e-05,-0.0847359102344288,0.0173442464831408,4.65057081400211e-07,-0.0498444413283482,0.0194819043534321,0.0053050715494084,-0.00611933758160643,0.0228508569976904,0.395811882308608,4.65057081400211e-07,1
g113,Gene13,-0.019891517,-0.06104976,-0.073401175,0.05204695,0.012216317,0.014757171,0.016805181,0.022195583,-0.0227181680452215,0.0171762912846565,0.0954465678376359,-0.0469528172932624,0.0186137995216828,0.00734225735361083,-0.0512936669586139,0.0203394829770914,0.00714676885205667,0.00345643383085971,0.0242131838728351,0.440576717417562,0.00714676885205667,2
g114,Gene14,0.027133657,0.020107491,-0.016959585,0.024474584,0.0121978335,0.014011706,0.01656938,0.020719223,0.0155485421552328,0.0166938694721644,0.309083858735141,0.0127148984225603,0.0161554109762209,0.348700605811651,0.000248673516429653,0.0174001137008955,0.59132506132366,0.0141193258356482,0.020463554626427,0.336567746171202,0.309083858735141,0
g115,Gene15,0.07635051,0.018467795,0.023837877,0.068309136,0.011753174,0.0140223075,0.01595812,0.020506078,0.0616432059540515,0.0177496981019597,0.000450185299119245,0.0282620196178377,0.0180412574170249,0.0617156377177092,0.032193914454563,0.019180321054311,0.0506740802467034,0.051627121999324,0.0217877092007092,0.00892101857743293,0.000450185299119245,0
g116,Gene16,-0.019338336,-0.010571885,0.025868015,0.011022597,0.011591218,0.014034389,0.016361216,0.019759636,-0.00649462321224957,0.0141150071119538,0.543690076192214,-0.00355000847065854,0.0135444338395862,0.604561970610163,0.006803590864674,0.0162969885066303,0.564480063024226,0.00294640177464668,0.0180484908939469,0.603753914107525,0.543690076192214,0
g117,Gene17,0.040627636,0.035472076,0.06307753,0.10576167,0.011906466,0.014259263,0.016833393,0.020814374,0.0450751330401259,0.0165472816067493,0.00519229283225337,0.0427062856058992,0.017471001367731,0.0102837806244836,0.0557585740045559,0.0190363068012045,0.00269280109105282,0.0697435004771627,0.0229529175225707,0.000474985839288824,0.000474985839288824,3
g118,Gene18,0.1151642,0.14318927,0.12539615,0.09370797,0.011990203,0.014497866,0.016627897,0.020895895,0.113565262679289,0.0157503844481786,2.67714889509763e-11,0.124799073399869,0.0171840734588925,6.2445558368275e-13,0.116616138868273,0.0176372848765235,1.93276841661039e-09,0.105940909606632,0.0212734614966185,3.41617090426052e-06,6.2445558368275e-13,1
g119,Gene19,0.013204677,0.05619462,0.07330808,0.06444001,0.012042801,0.015368843,0.017559336,0.021764915,0.0260149422220402,0.0179099216392109,0.0763327665571722,0.0493954687208671,0.0184592985173512,0.0044468659808443,0.0562720647401392,0.0205046051186276,0.00305625097580158,0.0503059469973569,0.0223042498378152,0.012142727073868,0.00305625097580158,2
g12,Gene12,-0.036243126,-0.06014351,-0.006214591,0.0934853,0.012436006,0.014612444,0.017140673,0.021252027,-0.0253323298340016,0.0177860607257674,0.110609400285623,-0.0378892674072187,0.0200974265844537,0.0683796947913259,-0.00736179766108887,0.0198555771716034,0.385803714447037,0.0358558991018426,0.0258088372042132,0.076570811229548,0.0683796947913259,1
g120,Gene20,-0.06338187,-0.065226786,-0.0103822425,0.06270876,0.011942522,0.014626702,0.01700174,0.021204254,-0.0491746324308364,0.0173087759075821,0.00312025486225753,-0.0485816211473806,0.0184450330268698,0.00499002798919868,-0.0166811897845878,0.0202676865377215,0.206300504420856,0.012505312616527,0.0234638772112015,0.293600364389706,0.00312025486225753,0
g121,Gene21,-0.0012931839,0.011752832,-0.07028738,-0.057427768,0.011368079,0.014157128,0.016522752,0.019607784,-0.0087699276722059,0.0168550593843777,0.32560082510633,-0.00186678472460026,0.0177255851318404,0.479425264790368,-0.0453635556589681,0.0221805943174357,0.0512192013986672,-0.0373676287123859,0.0225747790593838,0.0577448342319762,0.0512192013986672,2
g122,Gene22,-0.050115827,0.006043832,-0.023037786,0.04376323,0.011973196,0.015156683,0.017658813,0.022027632,-0.0314732257212483,0.0195227903415835,0.110086724538999,-0.00107396710150021,0.0179858869646509,0.516599314494676,-0.014843844343262,0.0199496242169152,0.277928062671248,0.0107136179313937,0.0239459312510726,0.369690974526685,0.110086724538999,0
g123,Gene23,-0.022252858,-0.06420879,-0.08798332,-0.04042533,0.012631718,0.015514395,0.01749424,0.022668613,-0.0327552724800642,0.0176775623718199,0.0337013709083404,-0.0553594493785913,0.0186019666890421,0.00152569349128329,-0.0651579796330456,0.0208390090050956,0.00058641858164199,-0.0442450710152419,0.0226321200899509,0.0288486237089805,0.00058641858164199,2
g124,Gene24,0.048941627,0.02418404,0.005092624,0.06190647,0.012492662,0.014841155,0.0169681,0.020682948,0.0395737814559541,0.0174118349290505,0.0250014758380804,0.0271560033425446,0.0178037941450376,0.0800713974875827,0.0194314933452715,0.0199036067484874,0.18146441232414,0.0413749434246421,0.0217356978315075,0.0297133686249131,0.0250014758380804,0
g125,Gene25,-0.0698402,-0.030654952,-0.056684975,0.006633636,0.011923573,0.01456001,0.0165432,0.020679383,-0.0560387224298707,0.0173684349151921,0.000683919762573426,-0.0338913689597602,0.0179126808125142,0.0328907885854217,-0.0466551411970772,0.0191436149648847,0.00809040647692716,-0.0204149667520062,0.0231274192543689,0.195268703844745,0.000683919762573426,0
g126,Gene26,-0.022448113,-0.06163859,-0.09331193,0.051464457,0.01124025,0.013576613,0.01606873,0.021039201,-0.0260608841677096,0.0171825039031894,0.06510696414311,-0.0510206160037353,0.0173974964852147,0.00172581217973211,-0.0662781152693185,0.0196823553918126,0.000423292020085952,0.00302872089427492,0.0231706014141432,0.445005175773835,0.000423292020085952,2
g127,Gene27,0.031352457,0.03459236,0.042898588,0.07812434,0.01220676,0.014134574,0.015769185,0.019263847,0.0355660140117316,0.0161985297226324,0.0229124930421592,0.0371794726016205,0.0166414006770567,0.0212200336960654,0.0407846838556931,0.0176680304440662,0.0174517642305317,0.0528716228008581,0.0209658292591758,0.00389159018458653,0.00389159018458653,3
g128,Gene28,0.010334868,0.08462241,0.002264174,-0.041716743,0.012456843,0.015297286,0.017815225,0.02165116,0.0123642798822991,0.0171355667142093,0.242271385957052,0.0549501046404986,0.0202604808965452,0.0142281707909998,0.00915104165612693,0.0207201771200936,0.335289283118228,-0.0073603734448461,0.0234116411206847,0.382745480678834,0.0142281707909998,1
g129,Gene29,-0.06598225,-0.03209012,-0.03995052,-0.028873235,0.01191467,0.014572616,0.017043881,0.021424886,-0.0530049060773531,0.017008942738717,0.00112912300309387,-0.0363813212083572,0.0174166526911174,0.0241271282627439,-0.0398967235433564,0.018721382199859,0.02182646068905,-0.0361665075665897,0.0212943780821249,0.0541084328823369,0.00112912300309387,0
g13,Gene13,-0.0030126222,-0.044170864,-0.05652235,0.06892582,0.0111913625,0.013528607,0.015828582,0.021781769,-0.00661526421899516,0.0168749486676957,0.369047999876951,-0.0314421685585762,0.018186526187875,0.0669901290343027,-0.0358449743415805,0.0203646242751905,0.0641797920632526,0.0201989681599551,0.0247259219056766,0.21546355529255,0.0641797920632526,2
g130,Gene30,0.054979727,0.06477138,-0.02688763,0.0332669,0.011576802,0.014190503,0.016593037,0.020621493,0.0455742880339697,0.0171793776654204,0.00457835674594008,0.0507195828784488,0.0180907555365472,0.00305806264123209,-2.36699076354538e-06,0.0208778858285751,0.492679732181315,0.0311875031199134,0.0222889582901156,0.0820973609827139,0.00305806264123209,1
g131,Gene31,-0.09246711,-0.09202157,-0.1254894,-0.06662428,0.011626099,0.0139988735,0.016025553,0.020534279,-0.0900883686697445,0.0158212988121478,7.31767462180955e-08,-0.089737462862466,0.0163212255275186,2.16674994613086e-07,-0.102978057487053,0.0188232746121002,1.41985270207812e-08,-0.080463955858791,0.0213188458764172,0.000267257267715371,1.41985270207812e-08,2
g132,Gene32,-0.087540045,-0.027916068,0.039496012,0.041660912,0.01255436,0.014666252,0.017311994,0.021382116,-0.061800860731062,0.01731867146534,0.0007409816184063,-0.0224530628047551,0.0184082084582679,0.111606224732744,0.0140040802486959,0.0205421014867594,0.24781737804295,0.00931345926261218,0.0230702557047183,0.34343808432461,0.0007409816184063,0
g133,Gene33,-0.04444687,-0.07813072,-0.09266547,-0.08222015,0.011464273,0.014167597,0.016247174,0.020059813,-0.0548482975779271,0.017480568661851,0.00113225236089409,-0.0715492172550331,0.0168091814747678,1.99865890093687e-05,-0.0770827641771731,0.0188105733212344,1.9351452889893e-05,-0.0710511412571092,0.02038803860302,0.000468100087731349,1.9351452889893e-05,2
g134,Gene34,-0.024853608,-0.039309002,-0.010789371,0.05635017,0.011705833,0.014123073,0.016403291,0.021184077,-0.015867162966151,0.0168618803431987,0.264443985424115,-0.0224372057344003,0.019011998743169,0.209890896974189,-0.00872090667017856,0.0180431399334303,0.399845569920633,0.0169378717832251,0.0256128591340181,0.311961508967457,0.209890896974189,1
g135,Gene35,0.009726724,0.016156761,0.0016343521,-0.05956394,0.01132217,0.014134299,0.01600758,0.019792682,0.00240238423293334,0.0126809530096878,0.660913920073903,0.00418515280769613,0.013636644806363,0.626263628170077,-0.000402294994401937,0.0139837854337309,0.706443369505276,-0.0272505936767099,0.0280077753845508,0.274024314606013,0.274024314606013,3
g136,Gene36,0.030153645,0.04929518,0.015749052,0.053031735,0.010475967,0.012738303,0.01520536,0.019861588,0.031464420102666,0.0159862497205854,0.0351500169900189,0.0404419863742677,0.0165377366691816,0.0130029795370498,0.025422550332617,0.0179251356378277,0.0933205771797536,0.0394096363921501,0.0200890093113176,0.0265260496006769,0.0130029795370498,1
g137,Gene37,0.08215696,0.034715768,0.07191048,0.07487428,0.011725593,0.014477836,0.016203897,0.0191425,0.0711658749852516,0.0167212460594974,8.05925777728902e-06,0.0474149301329624,0.0186842475623103,0.00675291972426707,0.0648078103343006,0.0182371724137404,0.0003400339250802,0.064955184680921,0.019995044985237,0.000979016998004248,8.05925777728902e-06,0
g138,Gene38,-0.074729994,-0.049846083,-0.06799283,-0.019393805,0.0131319165,0.0150117595,0.017103601,0.02088463,-0.063305831937276,0.0166659244940133,6.24819968337853e-05,-0.0506247236012614,0.0175944013188139,0.00331884976554442,-0.0580548919015192,0.0188253896799164,0.00151923435936174,-0.0401872158358853,0.0223853870208506,0.0450608021768706,6.24819968337853e-05,0
g139,Gene39,-0.13770682,-0.12862755,-0.14576678,-0.07557518,0.011850281,0.014653708,0.01728599,0.02091574,-0.126150345941302,0.0161390206095915,4.55191440096314e-14,-0.121108193646251,0.0169236831582778,1.92441618196426e-11,-0.126604327957417,0.0188001090227685,1.43388190210203e-10,-0.101516245676476,0.0237924595568819,1.26776185644939e-05,4.55191440096314e-14,0
g14,Gene14,0.088778436,0.081752166,0.044685107,0.0861192,0.011790475,0.013729165,0.01601861,0.020082757,0.0788604262949785,0.0162087679893643,9.41123169370047e-07,0.0752931625489235,0.0162041646338704,5.42087023557316e-06,0.0588485233821542,0.0195976600864653,0.00208043957124453,0.0745694170641868,0.0200284041612208,0.000275005345304222,9.41123169370047e-07,0
g140,Gene40,-0.04164321,-0.05205091,-0.07197101,0.055465873,0.01187188,0.0142990695,0.016319081,0.020707762,-0.0371383155358349,0.0170514123094725,0.0156394745879498,-0.0429499338315229,0.0179626339617085,0.00903434172592155,-0.0521772601544171,0.0197908822247942,0.00456820077719145,0.00635725455750587,0.0237603172805783,0.386160020176504,0.00456820077719145,2
