gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.014056213,0.016698165,-0.010670308,-0.019172994,0.00806138,0.013185131,0.017467346,0.024607513
Gene10,-0.012892553,-0.004698315,-0.094979145,0.045802955,0.008319849,0.013894717,0.018931521,0.02426121
Gene11,-0.051680822,-0.04803707,0.046162177,0.016576953,0.008063019,0.012795349,0.018109739,0.024454156
Gene12,-0.023053091,0.067861915,0.065069824,0.043150872,0.007305888,0.014539723,0.01843832,0.025022872
Gene13,0.01196937,-0.06838388,-0.050911948,0.051437195,0.008232956,0.013892013,0.018380048,0.025957879
Gene14,0.030516716,-0.02979596,-0.08289071,0.028783027,0.0077294423,0.012968009,0.017242244,0.024378043
Gene15,0.06700982,-0.052525487,0.023474863,-0.04050213,0.00945156,0.015673924,0.019882048,0.02593086
Gene16,0.025034808,-0.06583201,-0.019432994,0.012336011,0.0084722005,0.014183305,0.017631566,0.023613831
Gene17,-0.008794087,0.11606335,0.062906414,0.12962122,0.007885047,0.014570284,0.018551378,0.02495288
Gene18,0.002342471,0.011288116,0.06842998,-0.040891707,0.008836631,0.01425037,0.01912559,0.025226116
Gene19,0.018858409,0.051817432,-0.0035439099,0.08144526,0.008054716,0.013690348,0.017213238,0.023579242
Gene2,-0.022538602,0.012168063,0.15070131,0.10329536,0.008277252,0.014171353,0.020005632,0.026048016
Gene20,-0.04527713,0.0022814337,-0.02954139,0.025375757,0.008424091,0.013619264,0.018241687,0.024268297
Gene21,0.016333586,-0.1011991,-0.11105979,0.022028588,0.008131631,0.016839148,0.020385351,0.02568
Gene22,-0.017987143,-0.035564844,0.0102316,-0.0034330594,0.007288027,0.011930215,0.016922634,0.021382095
Gene23,0.036969747,-0.036573097,-0.07545573,0.06923068,0.007656026,0.0144733405,0.01857965,0.025425376
Gene24,0.020909252,0.005784655,-0.0764879,0.11104918,0.007762225,0.013168813,0.01734052,0.025726527
Gene25,0.03496802,0.0015940737,-0.03613212,-0.05370645,0.007831425,0.013987133,0.018081151,0.024417242
Gene26,0.016225899,-0.018803919,-0.060954727,0.15226021,0.007153443,0.013664458,0.016754799,0.025385315
Gene27,0.02198791,0.011118657,0.06610801,-0.0116168875,0.0076434957,0.012888322,0.016886463,0.024218803
Gene28,0.014172039,0.061724983,0.048521645,0.035568297,0.008552258,0.014055037,0.019477924,0.02390887
Gene29,0.02478816,-0.041799493,-0.06591705,-0.02455753,0.008139803,0.0143477665,0.018792162,0.02451641
Gene3,0.026556194,0.03346765,0.09807339,-0.035285562,0.008255036,0.013577884,0.01781584,0.02547347
Gene30,0.039655242,0.0037137882,-0.04953469,-0.01514989,0.008604259,0.013751716,0.018381089,0.023962123
Gene4,-0.040575184,0.033572897,0.02293965,0.025781756,0.008355703,0.014941731,0.018820245,0.0247018
Gene5,-0.030738248,0.025149293,-0.017522722,0.056702454,0.008439613,0.014424307,0.018653221,0.025737932
Gene6,0.0045887562,0.051284023,0.016003892,0.014222167,0.008029295,0.014500718,0.018658446,0.023732858
Gene7,0.009761189,-0.012349912,-0.0709085,-0.05284923,0.007458331,0.01271849,0.016950931,0.022679709
Gene8,0.035815094,-0.09033175,-0.07650603,-0.021311928,0.008194978,0.01611786,0.020189574,0.026422996
Gene9,0.030857796,0.028443353,0.031903,0.025401203,0.0075659947,0.013363761,0.01819255,0.024198184
