guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g1,Gene1,0.104831435,0.107572846,0.08014814,0.07192415,0.013407459,0.016904239,0.020294962,0.026613485
g10,Gene10,0.032902677,0.04082676,-0.04997902,0.090403445,0.013938382,0.0176976,0.021750249,0.02719014
g11,Gene11,-0.05824759,-0.055251066,0.03895454,0.008463495,0.013081852,0.015915466,0.020069292,0.025400775
g12,Gene12,-0.049129717,0.042503886,0.040130533,0.016317433,0.012891297,0.017053053,0.020987922,0.027265903
g13,Gene13,-0.0140616875,-0.09372687,-0.076745056,0.02554254,0.0130560575,0.017292524,0.020865513,0.027019814
g14,Gene14,0.11351082,0.052890334,-0.00038045456,0.110952914,0.013428084,0.016847806,0.020577632,0.02767633
g15,Gene15,0.08129107,-0.03780893,0.038725812,-0.025650416,0.01520705,0.019910429,0.023710493,0.028218124
g16,Gene16,0.031511508,-0.06006506,-0.01377082,0.017523564,0.013906696,0.018076288,0.020916391,0.027395904
g17,Gene17,-0.041498948,0.08342424,0.029922444,0.09660909,0.012139229,0.017087026,0.02102326,0.02670494
g18,Gene18,0.017808603,0.027179675,0.08505118,-0.025221756,0.015301078,0.018782903,0.02238845,0.027925499
g19,Gene19,0.04111364,0.07407248,0.018910734,0.10498199,0.012808783,0.01679355,0.020657038,0.025898725
g2,Gene2,-0.06770252,-0.033846296,0.10500516,0.05764676,0.012950805,0.017640589,0.023265101,0.027788255
g20,Gene20,-0.096878365,-0.049787153,-0.0815137,-0.026106462,0.01352556,0.017342038,0.020668812,0.025918089
g21,Gene21,0.049654234,-0.06896842,-0.07904209,0.053365845,0.013294272,0.018600298,0.022156872,0.027887452
g22,Gene22,0.038471285,0.02125063,0.06701019,0.053296,0.013886375,0.01704704,0.021341505,0.026555747
g23,Gene23,0.07429464,0.0008565151,-0.037804555,0.108280204,0.012901972,0.01767088,0.020958856,0.026874041
g24,Gene24,0.051424287,0.037905008,-0.044145312,0.14238112,0.014273325,0.018089537,0.021644399,0.027458953
g25,Gene25,0.05953109,0.026489306,-0.01004614,-0.026703462,0.012357293,0.017153623,0.0203503,0.025885122
g26,Gene26,0.077755235,0.04241852,0.00041559775,0.21324034,0.014054844,0.018534021,0.020853605,0.02801657
g27,Gene27,0.061325546,0.050285105,0.10445246,0.025983803,0.012993771,0.016850714,0.019746121,0.026601491
g28,Gene28,0.045955915,0.09294256,0.07986302,0.06810897,0.014022202,0.01826127,0.022917943,0.027781915
g29,Gene29,0.02468213,-0.04161521,-0.06607591,-0.02508284,0.013707344,0.018620454,0.022083031,0.02726552
g3,Gene3,0.03337742,0.04086677,0.10595853,-0.027968291,0.014158248,0.018181678,0.02134353,0.028120453
g30,Gene30,0.017420545,-0.018337358,-0.07214002,-0.038752776,0.013941597,0.01832893,0.021605043,0.026557298
g31,Gene1,-0.012099302,-0.0093579255,-0.036782626,-0.045006614,0.012724615,0.016332699,0.019548804,0.025751198
g32,Gene2,0.0060778735,0.03993407,0.17878556,0.13142708,0.014425305,0.018619748,0.024412295,0.029062012
g33,Gene3,0.054266676,0.061756097,0.12684783,-0.0070790276,0.012397531,0.017376851,0.020440398,0.027738318
g34,Gene4,-0.16135646,-0.08704495,-0.0974422,-0.09358882,0.015293235,0.019848103,0.023046812,0.02824292
g35,Gene5,-0.07482296,-0.01950426,-0.062269147,0.011743344,0.01461206,0.018610653,0.021559423,0.027226362
g36,Gene6,0.037172318,0.08410278,0.049051043,0.048075337,0.013223516,0.017486263,0.021661118,0.026970476
g37,Gene7,0.045927107,0.024599738,-0.034050867,-0.016612979,0.012499944,0.016660592,0.02036764,0.024565646
g38,Gene8,0.07474513,-0.051450837,-0.0382815,0.01762861,0.012716547,0.018042477,0.02121027,0.027234048
g39,Gene9,0.019110244,0.016399523,0.020645212,0.014422081,0.012486279,0.016668623,0.021158654,0.026841456
g4,Gene4,-0.010107168,0.06420434,0.05380714,0.05766059,0.013733183,0.018285472,0.021458223,0.026959581
g40,Gene10,-0.08749058,-0.07956645,-0.17037222,-0.029989714,0.013986307,0.017491592,0.02170516,0.026820282
g41,Gene11,-0.08683559,-0.083839074,0.010366476,-0.02012457,0.013434854,0.016354525,0.02038829,0.026049985
g42,Gene12,0.017101018,0.10873463,0.106361285,0.08254819,0.012650448,0.017048554,0.02090508,0.026885683
g43,Gene13,0.044392116,-0.035273157,-0.018291295,0.08399645,0.013923376,0.017291555,0.02036106,0.026445363
g44,Gene14,0.04786877,-0.012751656,-0.06602246,0.045310933,0.014817385,0.018097559,0.021567952,0.028223766
g45,Gene15,0.16237637,0.04327633,0.119811,0.05543476,0.015356238,0.019820433,0.023662543,0.02913708
g46,Gene16,0.014237393,-0.07733919,-0.031044915,0.00024945938,0.01420194,0.017882258,0.020845147,0.026946593
g47,Gene17,0.024788568,0.14971161,0.09620989,0.16289663,0.012724679,0.017798314,0.021299824,0.027145572
g48,Gene18,-0.06860059,-0.059229568,-0.0013580548,-0.111631036,0.01344584,0.01748543,0.02143267,0.027365983
g49,Gene19,0.046612807,0.07957172,0.0244099,0.11048113,0.012995047,0.017124454,0.020849273,0.026370635
g5,Gene5,-0.082101844,-0.026783075,-0.06954795,0.0044645206,0.01375863,0.017580453,0.020897053,0.026807658
g50,Gene20,-0.06658397,-0.019492723,-0.0512192,0.004187954,0.01391764,0.01791847,0.020926442,0.025890745
g51,Gene21,-0.04728036,-0.16590305,-0.17597653,-0.04356878,0.014016147,0.019532882,0.022839643,0.02820061
g52,Gene22,-0.017814692,-0.035035368,0.010724232,-0.0029899864,0.013578587,0.01693828,0.021038737,0.026773384
g53,Gene23,0.08557024,0.012132156,-0.02652893,0.119555846,0.012720193,0.017874073,0.021066017,0.026618583
g54,Gene24,0.038069304,0.024550011,-0.05750035,0.12902611,0.012821666,0.016425304,0.0206772,0.027234623
g55,Gene25,0.068482146,0.035440337,-0.0010951321,-0.01775245,0.013228809,0.017871682,0.02079633,0.026359316
g56,Gene26,0.045818027,0.010481327,-0.031521585,0.18130296,0.012549088,0.017075961,0.019545155,0.02700716
g57,Gene27,0.029151348,0.018110964,0.07227838,-0.0061904085,0.012529296,0.016756134,0.019665487,0.026596531
g58,Gene28,-0.0033011439,0.043685522,0.030605873,0.018851949,0.013394122,0.018072253,0.022709994,0.027729986
g59,Gene29,0.09139919,0.02510183,0.0006410624,0.041634157,0.013070683,0.01772701,0.02116854,0.026367549
g6,Gene6,0.0028385015,0.049768966,0.01471721,0.013741564,0.012403921,0.017474707,0.02121807,0.026231917
g60,Gene30,0.14114049,0.10538263,0.051579922,0.084967196,0.014723955,0.018855473,0.02239994,0.027347883
g61,Gene1,-0.02217141,-0.019430028,-0.04685473,-0.055078723,0.013977151,0.017482325,0.020742154,0.026930904
g62,Gene2,-0.062227625,-0.028371405,0.110480204,0.063121684,0.013701287,0.018344285,0.023637878,0.028216824
g63,Gene3,0.060926214,0.06841552,0.13350742,-0.0004195414,0.013025005,0.01703782,0.020166028,0.027030023
g64,Gene4,-0.053665273,0.020646235,0.010249056,0.014102459,0.012474656,0.01728765,0.020903088,0.026451088
g65,Gene5,-0.025222035,0.03009668,-0.012668208,0.061344273,0.01323754,0.01740673,0.020501768,0.02641535
g66,Gene6,-0.028233105,0.018697407,-0.016354406,-0.017330028,0.0124099925,0.017364008,0.021434382,0.026422737
g67,Gene7,-0.020413911,-0.041741338,-0.10039189,-0.08295401,0.014241282,0.018063573,0.021074414,0.025231527
g68,Gene8,0.062198777,-0.06399724,-0.050827842,0.00508226,0.013026733,0.017764412,0.020591922,0.026301518
g69,Gene9,0.051039893,0.048329122,0.052574866,0.046351716,0.013574375,0.017370623,0.0215352,0.027269633
