gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.014056213,0.016698165,-0.010670308,-0.019172994,0.00806138,0.013185131,0.017467346,0.024607513,0.00136936202407776,0.00726566883720272,0.911100490987693,0.00162568123198497,0.00764125670409298,0.906619077837983,-0.00144918367649291,0.0102148716387419,0.886001715994933,-0.00125640548371631,0.0101833961407029,0.921831008006683,0.886001715994933,2
Gene10,-0.012892553,-0.004698315,-0.094979145,0.045802955,0.008319849,0.013894717,0.018931521,0.02426121,-0.00475312905980603,0.0131175865064919,0.687843909277118,-0.00187738384175892,0.0125063275243042,0.74653678572041,-0.0711938550943004,0.0313456302832153,0.05772527701147,0.0107710326014724,0.0222528128137595,0.651058190497752,0.05772527701147,2
Gene11,-0.051680822,-0.04803707,0.046162177,0.016576953,0.008063019,0.012795349,0.018109739,0.024454156,-0.0410986929462296,0.0195057961987777,0.0420266563269733,-0.0382269994532572,0.0192920335830793,0.0469936513742761,0.0311889473245767,0.0234174248195649,0.10656175135593,0.00826040327823225,0.027664871925377,0.40029552600724,0.0420266563269733,0
Gene12,-0.023053091,0.067861915,0.065069824,0.043150872,0.007305888,0.014539723,0.01843832,0.025022872,-0.0171567886749773,0.0182869507883451,0.186745126784992,0.0544217660200698,0.0213268124147005,0.0238344311737195,0.047962559373357,0.0245012295543152,0.0324786993597686,0.0275744992814925,0.0292792739308986,0.185488815279172,0.0238344311737195,1
Gene13,0.01196937,-0.06838388,-0.050911948,0.051437195,0.008232956,0.013892013,0.018380048,0.025957879,0.00893429128698976,0.017974503527977,0.327768386804774,-0.0538913459508465,0.0211432636952246,0.0331168742658576,-0.0359257772172745,0.0240008504418404,0.0810283735470454,0.0258119418343476,0.0292813940241866,0.206892790281601,0.0331168742658576,1
Gene14,0.030516716,-0.02979596,-0.08289071,0.028783027,0.0077294423,0.012968009,0.017242244,0.024378043,0.0188096393687805,0.0190043595023188,0.300034679364273,-0.0190333978622896,0.0190911502187609,0.298229039039342,-0.0616451676849492,0.0258343043060267,0.0344916589384683,0.011910121988576,0.0255295630514197,0.454797411588198,0.0344916589384683,2
Gene15,0.06700982,-0.052525487,0.023474863,-0.04050213,0.00945156,0.015673924,0.019882048,0.02593086,0.054286247059642,0.0191153842610059,0.0117470698906175,-0.0396616630979387,0.0211381532904376,0.0368142521787722,0.015740370574525,0.0246340409114213,0.266976058625937,-0.0217358324633294,0.0292140875326564,0.234151262452936,0.0117470698906175,0
Gene16,0.025034808,-0.06583201,-0.019432994,0.012336011,0.0084722005,0.014183305,0.017631566,0.023613831,0.0177104705427107,0.0182005544102508,0.232357320463258,-0.046651277645409,0.0246047167323738,0.114901580745376,-0.0129485111825214,0.0218191118112979,0.337682528559436,0.00562281204039897,0.025856226863002,0.474423441311909,0.114901580745376,1
Gene17,-0.008794087,0.11606335,0.062906414,0.12962122,0.007885047,0.014570284,0.018551378,0.02495288,-0.00289190752325031,0.0186767920636836,0.438573805459216,0.0996853050426161,0.0202120116288956,7.74707187097044e-07,0.0534722566418346,0.0244974133168904,0.0144549731911519,0.0889321266020706,0.030343080886854,0.00164090050385741,7.74707187097044e-07,1
Gene18,0.002342471,0.011288116,0.06842998,-0.040891707,0.008836631,0.01425037,0.01912559,0.025226116,0.000760014629695673,0.0106364368691066,0.812193554583372,0.00317166846282317,0.0120103292572628,0.765167279538872,0.0339008169356596,0.032851108592025,0.369759189704303,-0.00739269225253459,0.0195479889299313,0.734089596885301,0.369759189704303,2
Gene19,0.018858409,0.051817432,-0.0035439099,0.08144526,0.008054716,0.013690348,0.017213238,0.023579242,0.0147211544771306,0.0179979434418163,0.27727490629285,0.0381669338458552,0.0225311259269085,0.127061249318154,-0.000609581395289714,0.0211003535484413,0.543704498091471,0.0451409679875981,0.0314400152583718,0.147809596668641,0.127061249318154,1
Gene2,-0.022538602,0.012168063,0.15070131,0.10329536,0.008277252,0.014171353,0.020005632,0.026048016,-0.0119191239924147,0.0174847016667102,0.406775220668455,0.00949767589028973,0.0177257784176054,0.453090139167347,0.115455967314253,0.0280778063999749,8.01706504750559e-05,0.0490491622019422,0.0398013208463173,0.277585430875653,8.01706504750559e-05,2
Gene20,-0.04527713,0.0022814337,-0.02954139,0.025375757,0.008424091,0.013619264,0.018241687,0.024268297,-0.0187488891004984,0.0225519073265301,0.502810041386978,0.00073567175406626,0.0131127427715273,0.730110186566951,-0.0120055322534558,0.0204498841702995,0.54125067328135,0.00680579775111105,0.0208146990511575,0.65143301085031,0.502810041386978,0
Gene21,0.016333586,-0.1011991,-0.11105979,0.022028588,0.008131631,0.016839148,0.020385351,0.02568,0.0116320673591232,0.0184908580714419,0.266512805413307,-0.0796540989520469,0.0232729746508208,0.00360393195136854,-0.0800301437655724,0.0265280052414917,0.00122086857046455,0.00770162825613141,0.0302563798405464,0.400722574371105,0.00122086857046455,2
Gene22,-0.017987143,-0.035564844,0.0102316,-0.0034330594,0.007288027,0.011930215,0.016922634,0.021382095,-0.00390274243330543,0.0113313853046578,0.790436181989267,-0.00763622126995399,0.0157781186844409,0.750363047709412,0.00225559971619986,0.0127554543834238,0.804301400210686,-0.000728594211297311,0.0131378877405897,0.856742627074455,0.750363047709412,1
Gene23,0.036969747,-0.036573097,-0.07545573,0.06923068,0.007656026,0.0144733405,0.01857965,0.025425376,0.0279188752328109,0.0192559129195104,0.119391557643178,-0.0270176120276079,0.0202876095039132,0.136243683334816,-0.0523204164717265,0.0254455819311656,0.0389875237351655,0.0355626203157546,0.0298989714799141,0.160052579578841,0.0389875237351655,2
Gene24,0.020909252,0.005784655,-0.0764879,0.11104918,0.007762225,0.013168813,0.01734052,0.025726527,0.0152846270467603,0.018029197878644,0.273755582103745,0.00441548066935418,0.0171306296905869,0.467815805333047,-0.0551175237437334,0.0249514201227479,0.0373394645919447,0.0549387830059504,0.0351590985401718,0.140736206962178,0.0373394645919447,2
Gene25,0.03496802,0.0015940737,-0.03613212,-0.05370645,0.007831425,0.013987133,0.018081151,0.024417242,0.0129559127435741,0.0186219097826609,0.565672094453642,0.00046227186873137,0.0127792948692876,0.758972415177627,-0.0140465616500205,0.0215495224394532,0.536546394213321,-0.014210398156698,0.0244524378142703,0.60012390158721,0.536546394213321,2
Gene26,0.016225899,-0.018803919,-0.060954727,0.15226021,0.007153443,0.013664458,0.016754799,0.025385315,0.0136650838405002,0.0182707626671439,0.237169032396355,-0.014770568231923,0.0186594200151917,0.22413449656115,-0.0451458771550125,0.0225747037823836,0.0284229049147594,0.0876356365441353,0.0328525968892347,0.0180356673041345,0.0180356673041345,3
Gene27,0.02198791,0.011118657,0.06610801,-0.0116168875,0.0076434957,0.012888322,0.016886463,0.024218803,0.00813094520019375,0.0151435268073763,0.628436015952401,0.00426101431497696,0.0129484269432889,0.691109891254446,0.0405924371910524,0.0306313935377164,0.247368566924666,-0.00217789568103153,0.0185938315510745,0.74889311455111,0.247368566924666,2
Gene28,0.014172039,0.061724983,0.048521645,0.035568297,0.008552258,0.014055037,0.019477924,0.02390887,0.0120155179381015,0.0178942216620299,0.301484722970487,0.0468416679119999,0.0233641480624301,0.0881329226421399,0.0334081356474983,0.0256709514035986,0.136768978265072,0.0224072242316996,0.0279816323184492,0.262212964330871,0.0881329226421399,1
Gene29,0.02478816,-0.041799493,-0.06591705,-0.02455753,0.008139803,0.0143477665,0.018792162,0.02451641,0.0148255936303073,0.0178947618430381,0.344577595470292,-0.0259785107335608,0.0222759441626393,0.265537123375066,-0.0416676474351259,0.0281501098081045,0.153948913744561,-0.0121592166012318,0.025660236075092,0.455429628930211,0.153948913744561,2
Gene3,0.026556194,0.03346765,0.09807339,-0.035285562,0.008255036,0.013577884,0.01781584,0.02547347,0.0178358792591332,0.0188336571183891,0.309367492258975,0.0221112956302449,0.0203563047170528,0.277208102471819,0.0754466124393241,0.025611185953726,0.00930719286206747,-0.0127920404838688,0.0267368877832041,0.449329407182611,0.00930719286206747,2
