gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.06388913,0.13423677,0.17279325,0.20832585,0.069286376,0.09558176,0.11823994,0.15271668
Gene10,0.12807123,0.26838088,0.35138196,0.50040996,0.06225419,0.09178334,0.11610867,0.14782953
Gene11,-0.094106205,-0.19612926,-0.2926112,-0.44355088,0.06330059,0.09200026,0.1304402,0.15934938
Gene12,-0.010781897,-0.04018854,-0.011981407,-0.12410257,0.06440741,0.09079438,0.12724367,0.15241542
Gene13,0.009878829,0.021411734,0.12987608,0.2529286,0.067221135,0.095190726,0.12500556,0.15135862
Gene14,-0.022406861,-0.042706538,-0.059219126,-0.09524575,0.06546254,0.09512123,0.11883156,0.14163819
Gene15,0.025866536,0.049803056,0.05773171,0.147252,0.059455074,0.08844742,0.12161743,0.15411937
Gene16,-1.3921205e-05,-0.020140948,-0.049746532,0.042750522,0.06478238,0.08812916,0.117994055,0.15207116
Gene17,-0.034596216,-0.049747888,-0.11281487,-0.15977654,0.06279225,0.09840301,0.119427785,0.15071139
Gene18,0.008648533,0.020846503,0.066843405,0.15513042,0.071324185,0.09915027,0.12894818,0.15999836
Gene19,0.08966918,0.17529565,0.20272209,0.20685412,0.06528599,0.09590042,0.12557267,0.15332916
Gene2,0.06845911,0.19094837,0.35912812,0.20080549,0.06629931,0.090548955,0.12255675,0.1570962
Gene20,0.013322879,0.058619376,0.045963798,0.08267113,0.062316258,0.09020807,0.11034015,0.14354143
Gene21,0.019566625,0.013245306,0.038565606,0.044489622,0.06267558,0.077758975,0.0967479,0.12586886
Gene22,0.011809225,0.01579721,0.03349232,-0.050844982,0.061361905,0.09534811,0.12535343,0.15764837
Gene23,-0.092709206,-0.09947882,-0.12848076,-0.07040976,0.06484097,0.09163469,0.12372889,0.1502219
Gene24,-0.105187766,-0.17127194,-0.16750443,-0.12176067,0.062048554,0.08582639,0.1178664,0.14352617
Gene25,0.02315635,0.031217659,0.029929606,-0.01841915,0.06082705,0.09321228,0.111681,0.1466451
Gene26,0.043623894,0.14126512,0.19401494,0.15915264,0.06444016,0.09244874,0.12139649,0.15263355
Gene27,0.021684818,0.112424515,0.10348293,0.119070336,0.06937307,0.10446808,0.12885925,0.15866613
Gene28,0.008284513,0.14401168,0.2094862,0.16920136,0.06718343,0.09596578,0.12751082,0.1664998
Gene29,0.0342184,0.053302288,0.054901287,0.011247894,0.062012,0.09235357,0.10916272,0.13338725
Gene3,-0.08088991,-0.14749894,-0.29671142,-0.3804844,0.06325025,0.08808964,0.114640936,0.14779732
Gene30,0.008003187,-0.020148847,-0.016651325,-0.03841703,0.06622794,0.09617532,0.123703085,0.14565153
Gene4,0.028019436,0.07801127,0.17586415,0.24079958,0.060521133,0.090892404,0.11217303,0.1392875
Gene5,0.055580854,0.13518772,0.26304793,0.4478832,0.067267075,0.093245186,0.113829,0.14167032
Gene6,-0.03628657,-0.07002975,-0.11109786,-0.1138759,0.06472628,0.09612366,0.12284395,0.1543887
Gene7,-0.044145904,-0.034741372,0.068289995,0.20490958,0.06608555,0.091329135,0.12362468,0.15307663
Gene8,-0.081415236,-0.059503246,-0.0056787645,0.13056359,0.06924804,0.098605365,0.12675811,0.14288323
Gene9,0.0016624251,0.04638697,0.003662729,0.035519835,0.06103644,0.08842097,0.12094944,0.15025437
