gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene25,0.0,0,-0.783832266364713,3,0.0,7.47513162480118e-13,0.783832266364713,True
Gene28,0.0,0,-0.675830312795801,3,0.0,4.67657024216805e-11,0.675830312795801,True
Gene30,0.0,0,-0.710527595704809,3,0.0,3.99680288865056e-15,0.710527595704809,True
Gene24,2.26862323192521e-16,0,0.672131943967739,3,2.26862323192521e-16,1.50801186122181e-10,0.672131943967739,True
Gene12,6.93487146163031e-14,2,0.619145983492469,3,6.93487146163031e-14,0.680503973183352,0.619145983492469,True
Gene8,2.29419127401829e-11,0,0.568300867999834,3,2.29419127401829e-11,4.81829350039407e-11,0.568300867999834,True
Gene18,8.205123258614641e-10,3,0.506471704001801,3,8.205123258614641e-10,9.80754505937521e-08,0.506471704001801,True
Gene13,7.04619952385244e-08,0,-0.45979701165491,3,7.04619952385244e-08,2.61099644947027e-05,0.45979701165491,True
Gene2,8.2804664514668e-07,0,0.413484101318704,3,8.2804664514668e-07,1.20196299857086e-06,0.427706357905876,True
Gene26,2.57799664589909e-06,1,0.431525557115922,3,2.57799664589909e-06,0.0002383680707522,0.431525557115922,True
Gene1,7.93009353206031e-06,0,-0.36187345399163,3,7.93009353206031e-06,0.00529465443717,0.36187345399163,True
Gene19,1.04336078864398e-05,0,-0.387229521970969,3,1.04336078864398e-05,0.0016305960999167,0.387229521970969,True
Gene16,2.23265151881868e-05,0,-0.383049907347359,3,2.23265151881868e-05,0.0006726773358133,0.383049907347359,True
Gene21,2.30519946847751e-05,0,-0.384881769494845,3,2.30519946847751e-05,0.0036294465390561,0.384881769494845,True
Gene14,2.93194675618709e-05,0,0.350055592946905,3,2.93194675618709e-05,0.0001743762261737,0.350055592946905,True
Gene27,0.0006745693394922,0,-0.317273827715085,3,0.0006745693394922,0.0165764992783243,0.317273827715085,True
Gene11,0.0024302056089477,0,0.297223932030837,3,0.0024302056089477,0.362880787904621,0.297223932030837,True
Gene15,0.0031821963772249,0,0.264728471828301,3,0.0031821963772249,0.585149745274881,0.264728471828301,True
Gene29,0.0034573658211576,0,-0.254104190246893,3,0.0034573658211576,0.752726794773779,0.254104190246893,True
Gene20,0.0075243938224532,0,0.24539407451894,3,0.0075243938224532,0.0087773512494118,0.24539407451894,True
Gene6,0.0209363293023026,0,-0.217752311623298,3,0.0209363293023026,0.264648616984831,0.217752311623298,True
Gene7,0.0240644326223144,0,0.230173889533321,3,0.0240644326223144,0.119073092863015,0.230173889533321,True
Gene5,0.0277933117012519,0,0.209665958627694,3,0.0277933117012519,0.238640049083608,0.209665958627694,True
Gene23,0.0695342023325622,0,0.188129908826268,3,0.0695342023325622,0.537945888152899,0.188129908826268,False
Gene22,0.086907311186521,2,-0.177691450459723,3,0.086907311186521,0.529771419724395,0.177691450459723,False
Gene9,0.120411090675231,1,0.151651574253684,3,0.120411090675231,0.451841289423002,0.151651574253684,False
Gene3,0.133249633527162,0,-0.151967593472423,3,0.133249633527162,0.372919799797654,0.151967593472423,False
Gene17,0.20898543475423,0,-0.12188099825823,3,0.20898543475423,0.669973901782931,0.12188099825823,False
Gene10,0.353339367860951,0,-0.0834171511199633,3,0.353339367860951,0.779207769931083,0.0834171511199633,False
Gene4,0.725603690627031,0,-0.0157008760683198,3,0.725603690627031,0.753456168621183,0.0157008760683198,False
