gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene25,0.0,0,-0.770993624182425,3,0.0,1.01696429055664e-13,0.770993624182425,True
Gene30,0.0,0,-0.700398331885083,3,0.0,6.66133814775094e-16,0.700398331885083,True
Gene24,3.39519337776903e-17,1,0.66178606489258,3,3.39519337776903e-17,1.8090871385102598e-11,0.66178606489258,True
Gene28,1.11022302462516e-16,0,-0.665802550390381,3,1.11022302462516e-16,6.260436613558799e-12,0.665802550390381,True
Gene12,9.76614588345788e-15,2,0.609645662881602,3,9.76614588345788e-15,0.3159260059221,0.609645662881602,True
Gene8,3.10913586270918e-12,2,0.559411465177124,3,3.10913586270918e-12,5.9181872801034494e-12,0.559411465177124,True
Gene18,1.03827025881874e-10,1,0.499357112019295,3,1.03827025881874e-10,1.12860576223861e-08,0.499357112019295,True
Gene13,8.82846817873428e-09,0,-0.453259231758868,3,8.82846817873428e-09,3.3574790818669e-06,0.453259231758868,True
Gene2,1.00591445728985e-07,0,0.408093770444877,3,1.00591445728985e-07,1.51271350642801e-07,0.421511538875237,True
Gene26,3.33497882128036e-07,1,0.424770883758722,3,3.33497882128036e-07,3.00213632392504e-05,0.424770883758722,True
Gene1,9.29842131180969e-07,0,-0.357756291688874,3,9.29842131180969e-07,0.000686041088264,0.357756291688874,True
Gene19,1.29313271690634e-06,0,-0.381954004655378,3,1.29313271690634e-06,0.0002092168651913,0.381954004655378,True
Gene16,2.81382125899565e-06,0,-0.377607839463528,3,2.81382125899565e-06,8.96519564097531e-05,0.377607839463528,True
Gene21,2.91874350111243e-06,0,-0.379336384391552,3,2.91874350111243e-06,0.0004817938580941,0.379336384391552,True
Gene14,3.50106996056245e-06,0,0.345919082542668,3,3.50106996056245e-06,2.16981821703684e-05,0.345919082542668,True
Gene27,8.60711826983218e-05,0,-0.313199679377967,3,8.60711826983218e-05,0.0021526106593459,0.313199679377967,True
Gene11,0.0003209232259553,0,0.29368468016999,3,0.0003209232259553,0.0848584611389993,0.29368468016999,True
Gene15,0.0003970047853529,0,0.262494576787735,3,0.0003970047853529,0.209411109021294,0.262494576787735,True
Gene29,0.0004230485884424,0,-0.25224229038312,3,0.0004230485884424,0.393995195726184,0.25224229038312,True
Gene20,0.0009586314035975,0,0.244278592652888,3,0.0009586314035975,0.0010855826491449,0.244278592652888,True
Gene6,0.0027656969419632,0,-0.219395738805723,3,0.0027656969419632,0.0530186055427777,0.219395738805723,True
Gene7,0.0033633922702574,0,0.232037069062182,3,0.0033633922702574,0.0194197938124654,0.232037069062182,True
Gene5,0.0037320736755826,0,0.21253550791579,3,0.0037320736755826,0.0454476590361546,0.21253550791579,True
Gene23,0.0104878156212925,1,0.197633544403554,3,0.0104878156212925,0.174077210516593,0.197633544403554,True
Gene22,0.0134632251265417,1,-0.189674484972399,3,0.0134632251265417,0.166050467995421,0.189674484972399,True
Gene9,0.0188001066080848,0,0.167440911256851,3,0.0188001066080848,0.128259628331971,0.167440911256851,True
Gene3,0.0217726385249064,1,-0.169602847640451,3,0.0217726385249064,0.08903580755155,0.169602847640451,True
Gene17,0.0375345314954995,0,-0.146783670691669,3,0.0375345314954995,0.291252958743301,0.146783670691669,True
Gene10,0.0793117813907548,0,-0.117615613261963,3,0.0793117813907548,0.453364849928817,0.117615613261963,False
Gene4,0.360489996891876,0,-0.0362601952161543,3,0.360489996891876,0.422899780809863,0.0362601952161543,False
