gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.063577466,0.050325103,0.10511298,-0.05609442,0.021840941,0.03164427,0.040806912,0.050545175
Gene10,-0.058709566,-0.06413057,-0.048006054,0.10606365,0.020328296,0.029651385,0.039119363,0.050201282
Gene11,0.06130121,0.15760465,0.25547993,0.45342636,0.02071034,0.030688843,0.040955827,0.052335914
Gene12,0.104302384,0.039071515,0.03460467,0.2542936,0.018893603,0.028614203,0.036513485,0.046614785
Gene13,-0.07484329,-0.12911426,-0.26903072,-0.2481543,0.022117525,0.032745093,0.04081947,0.050595466
Gene14,-0.018698994,-0.07027492,-0.20994002,-0.28657866,0.020641513,0.03238654,0.04327609,0.054098606
Gene15,-0.022525385,-0.061892074,-0.18383233,-0.43540362,0.021117844,0.032528,0.044115424,0.05613652
Gene16,0.1337878,0.07884059,0.16991398,0.36573675,0.020404195,0.029287506,0.04138016,0.056163266
Gene17,0.028572556,-0.031471808,-0.044020746,-0.22403476,0.019996494,0.029632706,0.039104182,0.054461416
Gene18,-0.019886903,0.11725159,0.29576468,0.19312134,0.023022726,0.03273691,0.045060918,0.064438045
Gene19,-0.16195159,-0.2821847,-0.43924075,-0.72315127,0.019884447,0.030791372,0.042178344,0.054286133
Gene2,-0.15786822,-0.1410183,-0.33009088,-0.38002515,0.025270568,0.03926163,0.05409612,0.065504506
Gene20,-0.0061472273,0.01291714,-0.04278731,6.319182e-06,0.020808185,0.032901004,0.0420102,0.055300657
Gene21,0.06370235,0.19463517,0.39179116,0.36102572,0.020614725,0.030698495,0.041890673,0.050886925
Gene22,-0.029086666,-0.13245201,-0.081221625,-0.26563638,0.023156587,0.035407774,0.056075566,0.086612284
Gene23,-0.07264076,-0.0020812543,0.033844158,0.04141277,0.02052424,0.031075029,0.041770298,0.055082217
Gene24,0.22192912,0.29835308,0.6143456,0.48617324,0.021979798,0.030674579,0.043637715,0.06014534
Gene25,0.019930363,0.048335377,0.04126899,0.024086166,0.023689143,0.03366949,0.046105854,0.06387267
Gene26,-0.10829736,0.018950587,0.0011958925,-0.011082826,0.021982081,0.035736907,0.047289446,0.06627397
Gene27,-0.13586846,-0.2910295,-0.19186899,-0.13012022,0.019364767,0.028353518,0.035858717,0.04404015
Gene28,-0.027180083,-0.15298523,-0.18542656,-0.036908492,0.022018762,0.032580197,0.041924756,0.05051557
Gene29,0.15769544,0.15409371,0.17641065,0.16537069,0.021903278,0.033572473,0.043832276,0.07687072
Gene3,-0.11699506,-0.25389564,-0.23496799,-0.4458015,0.020605952,0.031190617,0.041105747,0.05492775
Gene30,-0.043170687,-0.005061655,0.022783523,-0.14824145,0.022332959,0.032687027,0.043066937,0.06638711
Gene31,0.08667037,0.2828214,0.45397878,0.77427053,0.022854228,0.033757392,0.045278806,0.059278455
Gene32,0.030918878,0.06021589,-0.003977883,-0.18038848,0.028868997,0.040342245,0.05326349,0.06940051
