gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day,hit_anyday
Gene1,0.063577466,0.050325103,0.10511298,-0.05609442,0.021840941,0.03164427,0.040806912,0.050545175,0.0593880368909722,0.0161039962611673,0.0479238207967937,0.088218826013977,0.0805842905113427,0.0552522610697478,-0.0124519725317273,0.443376742436253,0.0161039962611673,0,TRUE
Gene10,-0.058709566,-0.06413057,-0.048006054,0.10606365,0.020328296,0.029651385,0.039119363,0.050201282,-0.0538828931472577,0.036567054530625,-0.0535419098259962,0.105076667247478,-0.039904124715303,0.188130709805133,0.064264191000885,0.186296992345971,0.036567054530625,0,TRUE
Gene11,0.06130121,0.15760465,0.25547993,0.45342636,0.02071034,0.030688843,0.040955827,0.052335914,0.065009367624132,0.000829597454241223,0.160029881555002,5.91041627143492e-08,0.250372388250139,1.16904303632045e-10,0.417588777029833,1.71723202533415e-17,1.71723202533415e-17,3,TRUE
Gene12,0.104302384,0.039071515,0.03460467,0.2542936,0.018893603,0.028614203,0.036513485,0.046614785,0.103943713502032,1.83445324078903e-06,0.0435484620991464,0.0589783766891379,0.041996491125371,0.114493668797207,0.225207378614486,1.4220875771539e-06,1.4220875771539e-06,3,TRUE
Gene13,-0.07484329,-0.12911426,-0.26903072,-0.2481543,0.022117525,0.032745093,0.04081947,0.050595466,-0.0788210396643341,0.000150003185533487,-0.132042963240552,1.47807371037034e-05,-0.253409615824724,2.27755592163703e-11,-0.230231178486012,3.3891097028782e-07,2.27755592163703e-11,2,TRUE
Gene14,-0.018698994,-0.07027492,-0.20994002,-0.28657866,0.020641513,0.03238654,0.04327609,0.054098606,-0.0227630190077405,0.132325510154665,-0.0751073834761638,0.00836536654073861,-0.197475011555039,1.94076432614709e-05,-0.252715698855153,1.60520990277746e-07,1.60520990277746e-07,3,TRUE
Gene15,-0.022525385,-0.061892074,-0.18383233,-0.43540362,0.021117844,0.032528,0.044115424,0.05613652,-0.0256705613259613,0.111995984964943,-0.066733113218382,0.0198997987504956,-0.180038793950681,0.00146913239301882,-0.393017209711331,1.21569421196455e-13,1.21569421196455e-13,3,TRUE
Gene16,0.1337878,0.07884059,0.16991398,0.36573675,0.020404195,0.029287506,0.04138016,0.056163266,0.134840742549262,1.11419594561924e-11,0.0849951350013453,0.00150868139961039,0.168808973397185,8.48350041917742e-06,0.320560468384528,1.64808125996231e-10,1.11419594561924e-11,0,TRUE
Gene17,0.028572556,-0.031471808,-0.044020746,-0.22403476,0.019996494,0.029632706,0.039104182,0.054461416,0.00578688880882511,0.793909071245491,-0.00762002779705641,0.799384344035496,-0.0103704649749211,0.796502441707998,-0.204395954269821,0.00410618787942219,0.00410618787942219,3,TRUE
Gene18,-0.019886903,0.11725159,0.29576468,0.19312134,0.023022726,0.03273691,0.045060918,0.064438045,-0.0135082560956897,0.277044699506491,0.11791771376737,0.0001006555963439,0.27069439649663,1.40922780495858e-10,0.175779101905359,0.00108080394061084,1.40922780495858e-10,2,TRUE
