guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g1,Gene1,0.21626759,0.27315035,0.29806203,0.335486,0.12813221,0.14532019,0.16246021,0.18369684
g10,Gene10,0.4865679,0.61180466,0.6886879,0.8357783,0.1272716,0.13588217,0.15170604,0.17545244
g11,Gene11,-0.09648391,-0.20350552,-0.28485698,-0.44241527,0.12140276,0.14445971,0.16237906,0.18980147
g12,Gene12,0.1848408,0.15600008,0.18167609,0.08653444,0.12466049,0.14645065,0.16801557,0.18561111
g13,Gene13,-0.20498112,-0.18548454,-0.066496715,0.047913257,0.12101362,0.13995847,0.16241859,0.18183394
g14,Gene14,-0.39470658,-0.415976,-0.44795713,-0.47410226,0.13783394,0.15198287,0.1676258,0.18634307
g15,Gene15,0.14403531,0.16694932,0.17415898,0.2587662,0.13051781,0.14507048,0.16579357,0.18359968
g16,Gene16,-0.34544104,-0.36606658,-0.40553805,-0.321252,0.13002968,0.14671464,0.16473359,0.18814637
g17,Gene17,-0.08657905,-0.08933486,-0.15185843,-0.20183964,0.11982259,0.14596803,0.15855664,0.18253818
g18,Gene18,-0.12147494,-0.112104066,-0.06828876,0.015812868,0.12668777,0.13581285,0.15611234,0.1786152
g19,Gene19,0.17224926,0.25334457,0.28583682,0.2900213,0.119594224,0.14363721,0.16055134,0.18330227
g2,Gene2,0.23759411,0.36368904,0.53095675,0.38061655,0.12940218,0.14147376,0.1620617,0.19143514
g20,Gene20,-0.056280807,-0.017782448,-0.038247723,0.009128573,0.107122935,0.1337101,0.14568774,0.1692589
g21,Gene21,-0.066220336,-0.07287171,-0.048281904,-0.033502806,0.12103897,0.14411616,0.1502192,0.17535743
g22,Gene22,0.22941212,0.23469755,0.2616718,0.16915302,0.1255603,0.13569653,0.15684298,0.18805474
g23,Gene23,-0.43900055,-0.443418,-0.4651698,-0.40574676,0.12181068,0.14255859,0.1599959,0.17668758
g24,Gene24,-0.2931556,-0.3716265,-0.36471036,-0.32103813,0.113854244,0.1329267,0.15222102,0.17099376
g25,Gene25,0.0011691899,0.006833224,0.008911572,-0.03409205,0.118815675,0.13856196,0.1571614,0.17682381
g26,Gene26,0.17784418,0.27708903,0.33361766,0.30114183,0.11952456,0.14335647,0.1631716,0.18698864
g27,Gene27,0.06326902,0.15519775,0.13643068,0.144908,0.111281164,0.13160753,0.14736915,0.17740047
g28,Gene28,0.24898496,0.37777364,0.44807532,0.40845254,0.1314634,0.14715752,0.16227657,0.18151818
g29,Gene29,-0.0015939272,0.017750613,0.01754367,-0.027100353,0.11462909,0.12322728,0.13795774,0.16620904
g3,Gene3,-0.19257653,-0.2587663,-0.39876285,-0.48246208,0.1263224,0.14224863,0.15394571,0.17403698
g30,Gene30,0.12740856,0.09140259,0.09280996,0.0718451,0.11866486,0.13451923,0.15558398,0.17674005
g31,Gene1,0.101701565,0.1585843,0.18349585,0.22092013,0.1116573,0.12930821,0.14898512,0.16813019
g32,Gene2,0.39357665,0.5196715,0.6869393,0.536599,0.11861528,0.13772792,0.16350432,0.1950453
g33,Gene3,-0.007203345,-0.07339326,-0.21338983,-0.2970891,0.12121903,0.1374332,0.15321174,0.18162988
g34,Gene4,0.018339915,0.066283695,0.16733272,0.2252313,0.13015199,0.14561766,0.16235572,0.17184034
g35,Gene5,0.14361237,0.2156952,0.33700195,0.5274721,0.11730756,0.13610987,0.1548935,0.17837279
g36,Gene6,-0.10408331,-0.14190467,-0.19090939,-0.1854978,0.10619973,0.131638,0.15390685,0.16825029
g37,Gene7,0.16556741,0.17531534,0.28471076,0.39465034,0.12954146,0.14778127,0.16039191,0.19012137
g38,Gene8,-0.12528183,-0.100036256,-0.038555823,0.109201714,0.13108982,0.1468824,0.1694486,0.18115038
g39,Gene9,-0.045064416,-0.010319017,-0.051855985,-0.028803442,0.11415925,0.12778002,0.14482827,0.17743817
g4,Gene4,-0.010870941,0.037072834,0.13812183,0.19602048,0.123258494,0.13872333,0.16038753,0.17397752
g40,Gene10,0.094529584,0.21976648,0.29664975,0.44374025,0.11868185,0.14167571,0.16213873,0.18134353
g41,Gene11,-0.42905727,-0.53607917,-0.6174305,-0.7749892,0.120180614,0.14151487,0.1662479,0.1884387
g42,Gene12,-0.058589287,-0.08742994,-0.061753884,-0.15689555,0.12590204,0.14465465,0.16287212,0.18037708
g43,Gene13,0.042756457,0.06225303,0.18124098,0.29565093,0.12557484,0.1480116,0.16797997,0.18633206
g44,Gene14,0.11718717,0.0959179,0.06393661,0.037791394,0.12495445,0.13851595,0.15751046,0.17731865
g45,Gene15,0.07165727,0.09457124,0.10178092,0.1863881,0.10736524,0.13463055,0.15083717,0.17319643
g46,Gene16,0.19056997,0.16994451,0.13047305,0.21475896,0.14111744,0.15665846,0.17076035,0.18739234
g47,Gene17,-0.11888466,-0.12164054,-0.18416405,-0.23414528,0.112036526,0.14072295,0.1510387,0.17707743
g48,Gene18,0.09721572,0.10658656,0.15040193,0.23450352,0.11025084,0.121347055,0.14476112,0.16290627
g49,Gene19,0.3615918,0.44268712,0.47517917,0.4793638,0.13256805,0.15517774,0.17826363,0.19694237
g5,Gene5,-0.11295044,-0.040867656,0.08043927,0.27090925,0.12035713,0.12959214,0.14723134,0.1655986
g50,Gene20,0.18585172,0.22435011,0.20388485,0.25126114,0.10495007,0.12788613,0.1436816,0.16746397
g51,Gene21,0.13078663,0.12413533,0.14872506,0.1635042,0.120235205,0.1412906,0.14863859,0.16616692
g52,Gene22,-0.006400788,-0.0011154095,0.025858777,-0.06665988,0.11550813,0.13099211,0.15630527,0.19004425
g53,Gene23,-0.020653557,-0.025071137,-0.04682255,0.012600167,0.11812895,0.14102378,0.1576267,0.1732285
g54,Gene24,-0.08425297,-0.16272384,-0.15580785,-0.11213559,0.1072289,0.12171499,0.13608208,0.16080752
g55,Gene25,0.107998125,0.11366214,0.115740515,0.07273686,0.099576265,0.12082274,0.13989808,0.16056849
g56,Gene26,0.122845165,0.2220901,0.27861878,0.24614291,0.11593198,0.13594224,0.16326158,0.19332823
g57,Gene27,0.12188095,0.21380976,0.19504267,0.20351997,0.12001748,0.1387877,0.15926968,0.18279074
g58,Gene28,-0.13098699,-0.0021983655,0.06810324,0.028480647,0.10815852,0.12699492,0.14341675,0.17158605
g59,Gene29,0.21003798,0.22938266,0.22917566,0.18453163,0.119235404,0.1295911,0.14240743,0.16110252
g6,Gene6,0.1394424,0.10162106,0.052616328,0.058027994,0.12110871,0.1445968,0.15828152,0.1730054
g60,Gene30,-0.017770296,-0.05377624,-0.052368842,-0.07333371,0.11674285,0.12226501,0.14778769,0.16640332
g61,Gene1,0.16734591,0.22422874,0.24914028,0.28656453,0.12039693,0.13413145,0.14690784,0.17134878
g62,Gene2,-0.24659537,-0.120500386,0.04676737,-0.10357287,0.12361384,0.14125448,0.15712538,0.19092631
g63,Gene3,-0.29906997,-0.36525983,-0.5052564,-0.5889556,0.131134,0.14545207,0.1591451,0.17703387
g64,Gene4,0.12809797,0.17604169,0.27709076,0.33498946,0.11246515,0.12813595,0.14742531,0.16117573
g65,Gene5,0.29579696,0.36787963,0.48918653,0.6796562,0.12863657,0.1463984,0.16204073,0.17503506
g66,Gene6,-0.23449776,-0.27231896,-0.32132375,-0.31591207,0.12710409,0.15099451,0.16953078,0.18465938
g67,Gene7,-0.026585769,-0.01683789,0.092557535,0.20249712,0.1196363,0.14347084,0.15722537,0.18631548
g68,Gene8,-0.0150893,0.010156252,0.071636684,0.21939427,0.10611255,0.12521559,0.14918548,0.16841231
g69,Gene9,0.07662434,0.11136975,0.069832765,0.09288535,0.11410614,0.12920767,0.1453695,0.17791472
g7,Gene7,-0.27717254,-0.2674246,-0.1580292,-0.04808961,0.115296155,0.13778846,0.15247823,0.1919894
g70,Gene10,0.03618901,0.16142595,0.23830931,0.3853997,0.11739289,0.13475274,0.1540529,0.17594755
g71,Gene11,-0.10751834,-0.21453996,-0.2958913,-0.45344985,0.13324016,0.14987548,0.1678634,0.19149649
g72,Gene12,-0.18603496,-0.2148755,-0.18919963,-0.28434122,0.11473747,0.13877071,0.15733689,0.17354538
g73,Gene13,0.16831659,0.18781316,0.306801,0.42121094,0.13060659,0.15120949,0.16729721,0.1865143
g74,Gene14,-0.094334885,-0.115604155,-0.14758545,-0.17373067,0.11951757,0.12867719,0.14507084,0.17160289
g75,Gene15,-0.011228183,0.011685786,0.01889546,0.10350268,0.12111803,0.1390909,0.15399112,0.17438959
