gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene1,-0.06187658,-0.15089571,-0.30349502,-0.49602428,0.081981935,0.10989421,0.13738345,0.18037394,-0.132027010209889,0.0775590095235742,-0.149736848631308,0.0613096614296298,-0.170054845159473,0.0545436199011767,-0.184066698227451,0.0536226237119236,0.0536226237119236,3
Gene10,-0.0495289,0.019199343,0.08601954,0.0641047,0.07477131,0.10939187,0.1361738,0.17144437,-0.000773866819868382,0.900087232307373,9.73519399396869e-05,0.904571642897812,0.000652925063123527,0.903296428398437,0.000378998033858379,0.904484285404274,0.900087232307373,0
Gene11,0.033426926,0.073391676,0.025961362,0.2232828,0.07541397,0.105703846,0.14616998,0.18070503,0.0160068465964804,0.750802601095923,0.0167258070304557,0.749315505017858,0.0161481228063179,0.75222370991155,0.0180160237336007,0.747857188000634,0.747857188000634,3
Gene12,0.12774979,0.2780071,0.31181583,0.28107804,0.07598178,0.10467168,0.14469849,0.17620218,0.185250730106907,0.00670924832214555,0.200405545506574,0.00445511788985809,0.201051685839242,0.00551533279992201,0.197891628315333,0.00795005227097066,0.00445511788985809,1
Gene13,-0.12234364,-0.24073818,-0.37241414,-0.5254879,0.084306926,0.11572936,0.14683257,0.17806193,-0.199429402003794,0.00732939202349026,-0.222386699529179,0.00342087025696547,-0.238857276681752,0.00267861100377431,-0.25089882878715,0.00242360011838927,0.00242360011838927,3
Gene14,0.07925808,0.16012707,0.2492404,0.2550851,0.078993775,0.111672014,0.13803825,0.16227886,0.11354839648899,0.145844462365732,0.119245967195,0.141791945567438,0.123422765903598,0.140200032689723,0.122884544399791,0.141854349419185,0.140200032689723,2
Gene15,0.045939937,0.13680172,0.18658136,0.055859666,0.07124518,0.10544367,0.14080441,0.17947726,0.0373675621512476,0.562602805715206,0.0400581674973831,0.558000315168455,0.0408022123695475,0.558436522877393,0.038287551157815,0.5652102013219,0.558000315168455,1
Gene16,-0.07564814,-0.17468718,-0.26415613,-0.31683803,0.07849688,0.10431431,0.13800901,0.17674942,-0.125520577543034,0.0983077358890415,-0.13449754032847,0.090950942137909,-0.139765891429648,0.0903319431542612,-0.140691625516505,0.0917398824704093,0.0903319431542612,2
Gene17,-0.054263365,-0.11455877,-0.046642896,0.13031381,0.07453117,0.1157753,0.13892594,0.17411248,-0.0116656636806267,0.793841532564218,-0.0123931617153288,0.793003874310112,-0.0114328913488958,0.796662198884444,-0.00980152708839077,0.80233982643052,0.793003874310112,1
Gene18,0.18757336,0.3194844,0.30940485,0.35800335,0.08964971,0.122216694,0.15263239,0.18801266,0.231367567317938,0.00188529734991435,0.242206130998514,0.00144773137238041,0.240436905572989,0.00228784631628174,0.241787361246477,0.00282220531272342,0.00144773137238041,1
