gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene1,-0.06187658,-0.15089571,-0.30349502,-0.49602428,0.081981935,0.10989421,0.13738345,0.18037394,-0.147060242680515,0.00982201734673782,-0.152162986459452,0.00514008530844901,-0.158017220016951,0.00319058269324801,-0.162054461598304,0.00292521564340231,0.00292521564340231,3
Gene10,-0.0495289,0.019199343,0.08601954,0.0641047,0.07477131,0.10939187,0.1361738,0.17144437,-0.00170069297570721,0.495169678601273,-0.000766789132741496,0.499976747132224,-0.000171241953633279,0.501917757454091,-0.000464878313551955,0.500644432918599,0.495169678601273,0
Gene11,0.033426926,0.073391676,0.025961362,0.2232828,0.07541397,0.105703846,0.14616998,0.18070503,0.0533233708550103,0.155698042065563,0.0538306573854099,0.154648771793983,0.0534230530001323,0.156700752821721,0.0547410128429182,0.153619807549317,0.153619807549317,3
Gene12,0.12774979,0.2780071,0.31181583,0.28107804,0.07598178,0.10467168,0.14469849,0.17620218,0.186995527599085,0.00080925440240111,0.190916302050503,0.000226077585264076,0.191083468092553,0.000500370832840202,0.190265914563988,0.00113026870006648,0.000226077585264076,1
Gene13,-0.12234364,-0.24073818,-0.37241414,-0.5254879,0.084306926,0.11572936,0.14683257,0.17806193,-0.206655411505828,0.00170980266100496,-0.213512131820765,0.000542433524098773,-0.218431445204055,0.000320740875184855,-0.222027929278593,0.000244576060209778,0.000244576060209778,3
Gene14,0.07925808,0.16012707,0.2492404,0.2550851,0.078993775,0.111672014,0.13803825,0.16227886,0.130783635621234,0.00859060589315043,0.132302900855865,0.00750999659453997,0.133416650100491,0.00708551078883991,0.133273132580225,0.00752663666929416,0.00708551078883991,2
Gene15,0.045939937,0.13680172,0.18658136,0.055859666,0.07124518,0.10544367,0.14080441,0.17947726,0.0794303978001592,0.0598711809488656,0.0806609523921619,0.0577662212285232,0.0810012430391767,0.0579657218353555,0.0798511569048899,0.0610636793736504,0.0577662212285232,1
Gene16,-0.07564814,-0.17468718,-0.26415613,-0.31683803,0.07849688,0.10431431,0.13800901,0.17674942,-0.138420529193216,0.00650228205096481,-0.14075827219759,0.00458645667244839,-0.14213023409893,0.004425259552852,-0.142371309887834,0.00479190920547701,0.004425259552852,2
Gene17,-0.054263365,-0.11455877,-0.046642896,0.13031381,0.07453117,0.1157753,0.13892594,0.17411248,-0.0433342216302588,0.207145076097373,-0.0439218500080813,0.206468467037897,-0.0431462023901065,0.209423437680592,-0.0418284862062673,0.214009477649961,0.206468467037897,1
Gene18,0.18757336,0.3194844,0.30940485,0.35800335,0.08964971,0.122216694,0.15263239,0.18801266,0.229452180635361,0.000239478061951141,0.232411046500798,0.000120025053881274,0.231928058083317,0.000349371626343427,0.232296724754735,0.000495248574715639,0.000120025053881274,1
Gene19,-0.13755216,-0.26468623,-0.26043206,-0.31845254,0.08245929,0.117737405,0.14948761,0.18098411,-0.183592722542828,0.00105765313566952,-0.186147447088015,0.000679036857854087,-0.185846795923264,0.00110937922636689,-0.186327030240658,0.00120088451667022,0.000679036857854087,1
Gene2,0.14520706,0.32862577,0.37062603,0.20707116,0.0825012,0.11036015,0.1439119,0.1837673,0.210059236428828,0.000704809717374519,0.216123417090569,9.84746646847577e-05,0.216434393779356,0.000233580492382152,0.212613718747675,0.0020362287587372,9.84746646847577e-05,1
Gene20,0.08815434,0.19340697,0.14462323,-0.011509847,0.07543875,0.106172375,0.12848791,0.16793494,0.102902626788893,0.0230505979772722,0.104237139003729,0.0219518509319422,0.103546961032687,0.0234186723289303,0.102180572328449,0.027571285359943,0.0219518509319422,1
Gene21,-0.09685877,-0.16874881,-0.24336289,-0.39286077,0.08026946,0.09839917,0.120535426,0.15344644,-0.161154578348055,0.00243639566626075,-0.163105959265074,0.00133376098816784,-0.164657293805199,0.00106546778725458,-0.16677667401424,0.000840940284238978,0.000840940284238978,3
Gene22,-0.01815118,-0.03288198,-0.19419467,-0.35352316,0.07465406,0.11464215,0.15096879,0.18895519,-0.0649862075148501,0.114716252967252,-0.0657618806259034,0.113623113842213,-0.0685168531094968,0.108191081984916,-0.0700281162931737,0.1069884408854,0.1069884408854,3
Gene23,0.04396715,0.14016904,0.085368216,-0.003982505,0.0786699,0.11111434,0.1463779,0.17916086,0.0618045056754028,0.127285308680618,0.0628845045449414,0.124987987001375,0.0622393204450996,0.127369727572326,0.0616087182509512,0.129590759760496,0.124987987001375,1
Gene24,0.20141783,0.3885521,0.5278617,0.56132066,0.07585558,0.10845289,0.1452974,0.172722,0.289881972811508,7.00239251603091e-05,0.312986007075756,4.83337449734346e-06,0.322934334908488,8.83220751646675e-06,0.322374636076792,3.58571315394229e-05,4.83337449734346e-06,1
Gene25,-0.15101443,-0.31745833,-0.46935287,-0.80303603,0.079713956,0.117435195,0.13910936,0.18004595,-0.244823072814267,0.00142364319506516,-0.295790828084319,0.000176397827752695,-0.326523866176102,4.25004752345748e-05,-0.369178795947667,7.99668492690309e-06,7.99668492690309e-06,3
Gene26,0.09811591,0.24034406,0.42069685,0.51677305,0.07892478,0.110596605,0.14406943,0.17747693,0.193755086514934,0.00399933844923831,0.207145270442248,0.000654387167221744,0.217944485225575,0.000241833210438553,0.220199082391896,0.000349267606699367,0.000241833210438553,2
Gene27,-0.0903895,-0.13319947,-0.123375505,-0.14495635,0.08172965,0.11799179,0.14660884,0.18181112,-0.0989541769272474,0.0384079029376155,-0.0994066877016986,0.0384877592369606,-0.0992724140548851,0.0392936405050092,-0.0993694534254874,0.0395275789891026,0.0384079029376155,0
Gene28,-0.22635739,-0.34688082,-0.5105465,-0.79497504,0.08898994,0.12134231,0.15767124,0.20652224,-0.308050094012609,7.38975471582526e-05,-0.321673850121516,3.56064998897621e-05,-0.333058185715671,2.26561439462536e-05,-0.343869235851843,1.49142546572723e-05,1.49142546572723e-05,3
Gene29,0.00022893093,-0.07116598,-0.12543637,-0.103982754,0.0728536,0.10692949,0.12419726,0.15348321,-0.0436066398449615,0.192595109753496,-0.0444885066893369,0.189402385046098,-0.0449651397067403,0.188389495107668,-0.0446922436182256,0.189584534971161,0.188389495107668,2
