guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,-0.12475024,-0.22825515,-0.39495862,-0.58131045,0.13143486,0.1509347,0.17728244,0.20134187,-0.262195258757007,0.000686041088264089,-0.262195258757007,0.000686041088264089,-0.262195258757007,0.000686041088264089,-0.262195258757007,0.000686041088264089,0.000686041088264089,0
g10,Gene10,-0.032391522,0.019686997,0.079733565,0.059159223,0.13035607,0.14248066,0.15996167,0.19158386,0.0184106029893424,0.453364849928817,0.0184106029893424,0.453364849928817,0.0184106029893424,0.453364849928817,0.0184106029893424,0.453364849928817,0.453364849928817,0
g11,Gene11,0.09237888,0.12571578,0.09465623,0.27816123,0.12949356,0.15535046,0.17539857,0.20060095,0.119022416314639,0.0848584611389993,0.119022416314639,0.0848584611389995,0.119022416314639,0.0848584611389995,0.119022416314639,0.0848584611389994,0.0848584611389993,0
g12,Gene12,-0.054697644,0.09497285,0.12588254,0.113227606,0.12993415,0.15966263,0.18321846,0.20486309,0.0389548010184608,0.35575640064216,0.0389548010184608,0.35575640064216,0.0389548010184608,0.35575640064216,0.0389548010184608,0.35575640064216,0.35575640064216,0
g13,Gene13,-0.349954,-0.45817822,-0.5756351,-0.7335413,0.13063955,0.15478237,0.18136057,0.20638746,-0.453259231758868,8.82846817873428e-09,-0.453259231758868,8.82846817873428e-09,-0.453259231758868,8.82846817873428e-09,-0.453259231758868,8.82846817873428e-09,8.82846817873428e-09,0
g14,Gene14,0.2724481,0.3515272,0.42292672,0.43916428,0.1351406,0.15456818,0.17390756,0.19584,0.332248207557704,2.16981821703687e-05,0.332248207557704,2.16981821703686e-05,0.332248207557704,2.16981821703685e-05,0.332248207557704,2.16981821703684e-05,2.16981821703684e-05,3
g15,Gene15,-0.07264348,0.016589904,0.06526425,-0.06695101,0.13432623,0.15548283,0.18000631,0.20373787,-0.0163577003957161,0.467146167297759,-0.0163577003957161,0.467146167297759,-0.0163577003957161,0.467146167297759,-0.0163577003957161,0.467146167297759,0.467146167297759,0
g16,Gene16,-0.29262805,-0.39173886,-0.49206507,-0.5514684,0.13856502,0.15843087,0.17967238,0.20673041,-0.377607839463528,2.81382125899565e-06,-0.377607839463528,2.81382125899565e-06,-0.377607839463528,2.81382125899565e-06,-0.377607839463528,2.81382125899565e-06,2.81382125899565e-06,0
g17,Gene17,-0.08245829,-0.12814242,-0.06062302,0.108819686,0.12563282,0.15794902,0.171381,0.2017097,-0.052031792771112,0.291252958743301,-0.052031792771112,0.291252958743302,-0.052031792771112,0.291252958743302,-0.052031792771112,0.291252958743302,0.291252958743301,0
g18,Gene18,0.44373795,0.57154906,0.55951,0.60426396,0.13366136,0.14751624,0.17118455,0.20058379,0.499357112019295,1.03827025881875e-10,0.499357112019295,1.03827025881874e-10,0.499357112019295,1.03827025881875e-10,0.499357112019295,1.03827025881875e-10,1.03827025881874e-10,1
