gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.0019858205,-0.010165218,-0.03350876,-0.0008523518,0.017343987,0.03338489,0.04757243,0.05870712
Gene10,0.032442823,0.19861932,-0.55357105,0.01048233,0.016607815,0.031887107,0.048131444,0.059789006
Gene100,0.064966366,0.060790304,0.043883666,0.03253641,0.017666522,0.03422505,0.045550928,0.059624117
Gene11,-0.2797828,0.47036472,1.01977,0.4719898,0.020797415,0.039639775,0.051540717,0.060562838
Gene12,-0.167023,0.24669945,-0.6010754,0.3172375,0.018964851,0.037064444,0.050579786,0.065550305
Gene13,0.0026715815,-0.058804736,0.494097,0.8378604,0.0187818,0.03929649,0.053046703,0.06565934
Gene14,0.30359495,-0.19142984,-0.24339801,0.53402174,0.019876147,0.038017344,0.049588356,0.060964584
Gene15,0.3668275,-0.32845852,0.35749862,0.01568106,0.021546643,0.03887957,0.05501991,0.067548215
Gene16,-0.035675637,0.11439243,-0.66203684,0.6866811,0.016816871,0.035371866,0.052250847,0.066424064
Gene17,0.018363997,-0.6721879,0.010940563,-0.8959957,0.01804589,0.036564887,0.05042816,0.059898376
Gene18,0.11824935,0.646886,0.1847629,0.858855,0.019398425,0.037561413,0.049851205,0.063257515
Gene19,0.090861306,0.5367801,0.93481565,-0.77557147,0.019484347,0.03887879,0.053053524,0.0675671
Gene2,0.0435157,-0.46207297,0.03853178,0.03194425,0.01877672,0.034730528,0.04663438,0.057420038
Gene20,-0.09694911,0.11112249,0.14670357,-0.6732939,0.019438706,0.034496304,0.04547966,0.059506867
Gene21,0.042771902,0.07084615,-0.001280996,0.020934008,0.016916469,0.03355029,0.045369893,0.05362899
Gene22,0.06888954,-0.6930198,0.015665611,-0.6290708,0.017191257,0.03640772,0.050549548,0.06230342
Gene23,0.00042875076,0.8418286,0.032988682,0.4570762,0.017287541,0.039035823,0.053111754,0.06270053
Gene24,0.0450167,0.10055308,0.052824844,0.2589089,0.0186132,0.036160737,0.049168922,0.058854256
Gene25,0.00031732852,-0.045680635,-0.93866223,-0.009257165,0.018257942,0.03668719,0.050746307,0.062721714
Gene26,0.103962205,0.105635524,0.08908707,0.11226299,0.015558992,0.031970706,0.045401607,0.057975855
Gene27,0.28793737,-0.29739967,0.0886484,0.09854667,0.021566363,0.0384422,0.054295745,0.066592544
Gene28,0.04816477,0.039626297,0.08162214,-0.65732974,0.018707572,0.0346718,0.046755727,0.056178562
Gene29,-0.379221,0.08174755,0.83125216,0.40214202,0.021689722,0.036233407,0.048883818,0.05941439
Gene3,0.030288044,0.5034865,-0.4816122,-0.044585653,0.017962057,0.03763967,0.050472647,0.061702248
Gene30,0.057365388,-0.28076252,0.03471554,0.026368711,0.018935293,0.038315833,0.050641168,0.060152058
Gene31,0.35184795,0.40255263,-0.8142313,-1.0388215,0.020873098,0.03793726,0.0536891,0.064159654
Gene32,0.022519186,-0.7337743,-0.50617933,-0.7768894,0.01977286,0.036993336,0.04715686,0.05855573
Gene33,-0.07508701,-0.6700667,0.6274135,0.33545858,0.019385163,0.037991848,0.054762762,0.06620311
Gene34,0.116835944,-0.43912858,-0.10579143,-0.43487325,0.018728182,0.035542153,0.04689173,0.05669019
Gene35,-0.0016554676,-0.017855737,-0.031424686,0.26040217,0.01657647,0.03581107,0.05055531,0.06343325
Gene36,0.3956612,-0.27261472,-0.3064132,-0.30142504,0.02069834,0.037000157,0.05036868,0.06211935
Gene37,0.11072307,0.13757542,0.075550385,0.07835296,0.018627763,0.035839047,0.050044548,0.059525635
Gene38,0.36294767,-0.97464126,0.00055176637,-0.39976135,0.02273246,0.04541833,0.059556838,0.07050771
Gene39,-0.30441535,0.373393,0.4217266,0.06677177,0.01981808,0.038544405,0.052443054,0.06290683
Gene4,0.03753245,0.8976831,0.026359893,-0.8658269,0.017095359,0.036163434,0.04795945,0.058053866
Gene40,0.05423221,-0.0062161256,0.012248661,0.04102169,0.018335672,0.033918492,0.04664684,0.057554554
Gene41,0.029787568,0.51456183,0.103617035,0.044067096,0.016813202,0.03366638,0.049741834,0.06016417
Gene42,0.28182593,-0.33182812,0.0945175,-0.40427902,0.020601945,0.0396933,0.05316458,0.06567352
Gene43,0.19227529,-0.54354405,-0.057705306,-0.8375066,0.018333351,0.035734583,0.047436696,0.058990482
Gene44,0.2889545,-0.13159935,0.18352106,-0.19995521,0.019633101,0.037054125,0.04937044,0.057543043
Gene45,-0.15367948,0.6020619,0.29401028,-0.3672695,0.01739978,0.036168564,0.047759578,0.057229776
Gene46,0.009147301,0.04650468,0.051702153,-0.0010561796,0.017258734,0.03296558,0.047334123,0.057884436
Gene47,0.35899174,0.10782589,-1.3330599,-0.47253463,0.021451179,0.038983822,0.05742108,0.06979883
Gene48,-0.25043914,-0.45348632,-0.10204605,0.43572837,0.018322188,0.035902467,0.048522193,0.059897866
Gene49,0.0027134754,0.85072297,0.41860878,-0.730829,0.017106686,0.0388297,0.0520451,0.06251343
Gene5,-0.06908487,0.12939903,0.1500967,0.17946415,0.01799948,0.03480427,0.047103167,0.05913379
