gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene1,0.0,0,-0.293817556008403,6,0.0,3.7394382200610723e-07,0.293976192336098,True
Gene10,0.0,2,-0.547258976738775,6,0.0,0.0,0.705019946590276,True
Gene11,0.0,0,-0.584659770509689,6,0.0,0.0,0.806981315199202,True
Gene12,0.0,0,-0.304771865389051,6,0.0,0.0,0.914521586170212,True
Gene16,0.0,2,-0.67199199801364,6,0.0,0.0,0.89574018616252,True
Gene17,0.0,1,-0.70350930702936,6,0.0,0.0,1.0773424699496,True
Gene19,0.0,3,-1.06737283685611,6,0.0,0.0,1.28488556586216,True
Gene2,0.0,1,-0.498008887989432,6,0.0,0.0,0.67762936679117,True
Gene20,0.0,0,-0.485108172293491,6,0.0,0.0,1.04748826572567,True
Gene22,0.0,1,-0.642322282851679,6,0.0,0.0,0.944411605126452,True
Gene23,0.0,0,-0.305879866850407,6,0.0,5.169517609309466e-85,1.05054299090855,True
Gene25,0.0,2,-0.701581826662799,6,0.0,0.0,1.36100356165761,True
Gene28,0.0,3,-0.694088141806606,6,0.0,0.0,0.709750395734698,True
Gene29,0.0,0,-0.630325564694509,6,0.0,0.0,1.21805549298665,True
Gene3,0.0,2,-0.621118922949886,6,0.0,1.0019603237095501e-62,0.768896068654437,True
Gene30,0.0,1,-0.485932906683228,6,0.0,2.387313958720241e-14,0.531426639510083,True
Gene31,0.0,2,-0.514591256643421,6,0.0,7.96799194764885e-188,1.01024402496097,True
Gene32,0.0,1,-0.827374609405537,6,0.0,0.0,1.12305921023123,True
Gene33,0.0,1,-0.795303073227419,6,0.0,0.0,0.842119185062402,True
Gene34,0.0,1,-0.352740634428019,6,0.0,0.0,0.69387216724478,True
Gene35,0.0,0,-0.294277194360081,6,0.0,6.714397398190903e-07,0.621817249953535,True
Gene38,0.0,1,-0.795805754762997,6,0.0,0.0,1.28852986105415,True
