guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g1,Gene1,0.25812992,0.247136,0.2197516,0.25326255,0.030895894,0.04393105,0.054634847,0.066842586
g10,Gene10,0.033350836,0.19881198,-0.552143,0.012767207,0.027859239,0.039643936,0.053242356,0.06505437
g100,Gene100,-0.0031770119,-0.0060249795,-0.022617942,-0.031724785,0.031018138,0.042806823,0.05418444,0.06563445
g101,Gene1,-0.11211062,-0.12310445,-0.15048894,-0.116977856,0.029924177,0.042584952,0.053395823,0.06626476
g102,Gene2,0.026314156,-0.47804657,0.01793173,0.013841971,0.029831748,0.041824616,0.05134121,0.05955383
g103,Gene3,-0.11842401,0.35586852,-0.62807417,-0.19033095,0.030639315,0.043983072,0.055991765,0.066103265
g104,Gene4,0.1733073,1.0346482,0.16279057,-0.7315169,0.029804306,0.04205629,0.05341435,0.06390317
g105,Gene5,0.028480029,0.22890323,0.25019902,0.27713698,0.030336961,0.04271683,0.055178043,0.06487464
g106,Gene6,0.08803922,-0.21776013,0.14807373,-0.29808635,0.03387196,0.046099048,0.058024406,0.06818708
g107,Gene7,-0.80086863,-0.16136728,-0.3988978,-1.1652592,0.028608672,0.04080645,0.048893727,0.059727814
g108,Gene8,-0.5785109,0.5564275,-0.5949706,-0.05238669,0.029178813,0.046103038,0.06138599,0.069111146
g109,Gene9,0.61717045,-0.54178727,-0.0499697,-0.06568915,0.03176965,0.049838684,0.06035929,0.06931208
g11,Gene11,-0.70009595,0.04919115,0.5975878,0.04918489,0.03257957,0.045567643,0.05553426,0.066835046
g110,Gene10,0.0115572475,0.17701837,-0.57393706,-0.009026388,0.029328788,0.041509286,0.05383508,0.06586869
g111,Gene11,-0.5830536,0.16623372,0.7146301,0.1662272,0.02861116,0.044808283,0.054450504,0.06663076
g112,Gene12,-0.30544654,0.10559299,-0.7411472,0.17855707,0.02824905,0.04345606,0.05679534,0.06953545
g113,Gene13,0.22797349,0.16700815,0.71913016,1.0661678,0.030599484,0.045297492,0.057221133,0.06974616
g114,Gene14,0.40475854,-0.09036586,-0.14212158,0.6369804,0.033435665,0.045213606,0.058190424,0.069907285
g115,Gene15,0.3762554,-0.3180864,0.36814597,0.029202757,0.03338971,0.04702666,0.06109889,0.07198394
g116,Gene16,-0.046834003,0.10328425,-0.6736496,0.6749517,0.028787183,0.04256946,0.056674965,0.07076511
g117,Gene17,-0.023413755,-0.7135755,-0.031973846,-0.9386639,0.028293738,0.043079384,0.054795768,0.066389054
g118,Gene18,0.43029314,0.9599802,0.4966372,1.1714405,0.029562002,0.043588843,0.055526394,0.066822164
g119,Gene19,-0.22022364,0.2263851,0.6257107,-1.0846745,0.031649414,0.04792453,0.06036811,0.07475052
g12,Gene12,-0.29980838,0.1112309,-0.7355093,0.18419516,0.031962488,0.045017477,0.057400733,0.069532596
g120,Gene20,-0.49262783,-0.28452253,-0.24962096,-1.0659994,0.029597448,0.04229579,0.05257913,0.06312513
g121,Gene21,0.15948145,0.18877089,0.11572297,0.14065693,0.02669192,0.039878484,0.049495496,0.057347562
g122,Gene22,0.4918434,-0.27025038,0.4353158,-0.20812722,0.030347496,0.044796325,0.058588214,0.06873505
g123,Gene23,0.22151999,1.0635514,0.2545066,0.6779817,0.02973767,0.046901815,0.059318822,0.069428
g124,Gene24,0.15212251,0.20691444,0.16186036,0.3672782,0.031862557,0.045417525,0.056678414,0.065670304
g125,Gene25,0.23094486,0.18455069,-0.70758766,0.22088294,0.030970415,0.044073313,0.057767093,0.06784143
g126,Gene26,0.05530942,0.057015583,0.042894814,0.065805815,0.02775959,0.03800376,0.05041808,0.060966734
g127,Gene27,0.88865304,0.30316687,0.69240665,0.70417964,0.03526041,0.04700796,0.058950506,0.069550544
g128,Gene28,0.07550126,0.06816642,0.111255065,-0.6265073,0.029681694,0.042467386,0.0528776,0.062094606
g129,Gene29,-0.6299933,-0.16903172,0.5781306,0.15242615,0.0321425,0.045578126,0.057969857,0.06950752
g13,Gene13,-0.025043372,-0.08600867,0.46611297,0.8131514,0.03014985,0.04360985,0.056277044,0.069586486
g130,Gene30,0.22086713,-0.11822328,0.19823025,0.190556,0.030880172,0.04402524,0.054676253,0.06568181
g131,Gene31,0.6437301,0.694236,-0.52315784,-0.74679446,0.032971285,0.04569089,0.058412947,0.06782664
g132,Gene32,0.10238025,-0.65383714,-0.42423153,-0.69501084,0.030854188,0.043080494,0.051654454,0.06214339
