gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene10,0.0,2,-0.546987316213978,6,0.0,0.0,0.705004703588475,True
Gene11,0.0,0,-0.69995496563697,6,0.0,0.0,0.807040759634418,True
Gene12,0.0,0,-0.304860673138538,6,0.0,0.0,0.914748637987376,True
Gene16,0.0,2,-0.671937998796129,6,0.0,0.0,0.895895101691034,True
Gene17,0.0,1,-0.71219548554702,6,0.0,0.0,1.07760110424995,True
Gene19,0.0,3,-1.06724497751052,6,0.0,0.0,1.28529375459634,True
Gene2,0.0,1,-0.497897897350696,6,0.0,5.5511151231258e-17,0.677473254114929,True
Gene20,0.0,0,-0.485263260581946,6,0.0,5.5511151231258e-17,1.0478404163185,True
Gene22,0.0,1,-0.642430332266396,6,0.0,0.0,0.944576707014861,True
Gene25,0.0,2,-0.70147524660169,6,0.0,5.5511151231258e-17,1.36115870520235,True
Gene28,0.0,3,-0.694069456396119,6,0.0,5.614303281871385e-17,0.707913502326631,True
Gene29,0.0,0,-0.834273303550972,6,0.0,0.0,1.21824035886707,True
Gene3,0.0,2,-0.620911350740777,6,0.0,5.79188905077895e-73,0.768966911393666,True
Gene30,0.0,1,-0.485386160847623,6,0.0,2.3542316135296792e-14,0.531169953303645,True
Gene31,0.0,3,-0.675004006465929,6,0.0,1.894972940616671e-180,1.01062011727186,True
Gene32,0.0,1,-0.644559661358123,6,0.0,0.0,1.12316538775138,True
Gene33,0.0,1,-0.795295509100675,6,0.0,0.0,0.842070098938926,True
Gene34,0.0,1,-0.352446540512604,6,0.0,0.0,0.693984828207514,True
Gene38,0.0,1,-0.728133437897635,6,0.0,6.0276276280499e-275,1.28871520439218,True
Gene39,0.0,0,-0.796885022358934,6,0.0,5.5511151231258e-17,0.891291525397229,True
Gene4,0.0,3,-0.871031278556885,6,0.0,0.0,1.03794698422629,True
Gene43,0.0,1,-0.413158803455408,6,0.0,3.057592127788494e-59,0.75544998649367,True
Gene45,0.0,0,-0.253227878707166,6,0.0,5.72505547748975e-39,0.755449698610397,True
Gene46,0.0,0,-0.271566871817945,6,0.0,4.08859398517186e-13,0.405282744768849,True
Gene47,0.0,2,-1.07662799640885,6,0.0,0.0,1.10324318927958,True
Gene48,0.0,0,-0.571168578605987,6,0.0,0.0,0.993455029568324,True
Gene49,0.0,0,-0.339364456467103,6,0.0,4.845570103423253e-122,1.13232626368031,True
Gene5,0.0,0,-0.359736693092379,6,0.0,5.472289288377413e-13,0.449077614961233,True
Gene50,0.0,3,-0.718704194920956,6,0.0,1.824172039578872e-33,0.782130247842436,True
Gene51,0.0,0,-0.730397903722669,6,0.0,0.0,1.01971347826117,True
Gene52,0.0,2,-1.16013575516073,6,0.0,4.037485497086905e-247,1.20759960122387,True
Gene53,0.0,0,-0.710105061037074,6,0.0,0.0,1.04556648518566,True
Gene55,0.0,1,-0.573571860694855,6,0.0,2.374748293468385e-97,0.945360335757151,True
Gene56,0.0,1,-0.515146890534025,6,0.0,0.0,0.991772505212697,True
Gene57,0.0,1,-0.452317827602548,6,0.0,1.1341682312647981e-59,1.22948033203242,True
Gene58,0.0,3,-0.913348393801101,6,0.0,0.0,1.19247261058894,True
Gene62,0.0,1,-0.76007836323303,6,0.0,0.0,0.895512998674378,True
Gene63,0.0,2,-0.458535568718202,6,0.0,6.35596549187825e-25,0.611373919477531,True
Gene64,0.0,3,-0.874446787589296,6,0.0,1.03481918984218e-31,1.05953456423131,True
Gene65,0.0,1,-0.5459939152139,6,0.0,0.0,1.02303606385833,True
Gene66,0.0,0,-0.46445335582978,6,0.0,1.4005713109314437e-35,0.880400536180794,True
Gene67,0.0,0,-0.467492254495386,6,0.0,0.0,0.714254168924073,True
Gene69,0.0,0,-0.72512587286368,6,0.0,0.0,0.866572906620349,True
Gene7,0.0,0,-0.793448599112419,6,0.0,0.0,1.1478000202195,True
Gene70,0.0,1,-0.860378145243447,6,0.0,0.0,1.09083714698866,True
Gene71,0.0,2,-0.440473706155193,6,0.0,1.7058576773365525e-13,0.5588756549622,True
Gene72,0.0,0,-0.858063911375113,6,0.0,0.0,1.26053150698102,True
Gene73,0.0,2,-0.908424878065578,6,0.0,3.16729735928885e-165,0.99706581568625,True
Gene74,0.0,1,-0.913576143114319,6,0.0,0.0,1.18392843559184,True
Gene75,0.0,1,-0.383438920086735,6,0.0,0.0,0.912498953735897,True
Gene77,0.0,0,-0.334437061370535,6,0.0,2.02889098573027e-84,1.31377357979047,True
Gene78,0.0,0,-0.780923075482169,6,0.0,0.0,1.12216902219769,True
Gene79,0.0,1,-0.414132268278406,6,0.0,0.0,0.738615667273073,True
Gene8,0.0,0,-0.577072296345026,6,0.0,0.0,0.849951365255118,True
Gene80,0.0,1,-0.452203487599268,6,0.0,2.0901790664674049e-44,0.72945769796989,True
Gene82,0.0,3,-0.635664527260877,6,0.0,3.9144803996865753e-103,1.08142058886703,True
Gene84,0.0,1,-1.12380359569326,6,0.0,0.0,1.12380359569326,True
Gene85,0.0,0,-0.5457834382394,6,0.0,0.0,0.860489492558676,True
Gene86,0.0,2,-0.474761002361077,6,0.0,0.0,0.712672431684432,True
Gene87,0.0,2,-0.647997607237519,6,0.0,7.359816539809e-92,0.848357390754002,True
Gene88,0.0,1,-0.374873397755355,6,0.0,1.11022302462516e-16,0.543699082903307,True
Gene89,0.0,1,-1.00184445773007,6,0.0,8.24193678737335e-35,1.05716319889865,True
Gene9,0.0,1,-0.537120347987892,6,0.0,0.0,0.9669991231333,True
Gene90,0.0,0,-0.519559933014667,6,0.0,1.23853256479428e-44,0.905950334758303,True
Gene91,0.0,0,-0.805765252007975,6,0.0,5.5511151231258e-17,1.15721223855468,True
Gene92,0.0,0,-0.804297898128104,6,0.0,0.0,0.937106292522724,True
Gene93,0.0,1,-0.574209370476838,6,0.0,1.541591982602865e-36,0.749739745621651,True
Gene94,0.0,0,-0.737541990346854,6,0.0,0.0,0.839007188689219,True
Gene95,0.0,2,-0.550918428350938,6,0.0,5.7031994898182e-204,1.16278544427341,True
Gene96,0.0,0,-0.256217149226765,6,0.0,0.0,1.15832080666547,True
Gene97,0.0,1,-0.753572631186983,6,0.0,0.0,1.1692863854473,True
Gene98,0.0,0,-0.227770140691547,6,0.0,9.63816890739821e-06,0.227990040897367,True
Gene99,0.0,0,-0.385715401629962,6,0.0,0.0,1.29067876530032,True
Gene61,5.08608280445745e-235,0,1.13857647291897,6,5.08608280445745e-235,1.4011288707854899e-70,1.13857647291897,True
Gene36,2.3489233162121e-204,0,1.06036842394764,6,2.3489233162121e-204,2.3546873773674918e-147,1.06036842394764,True
Gene42,2.48233265313886e-201,0,1.0142045555944,6,2.48233265313886e-201,8.59693696170485e-65,1.0142045555944,True
Gene83,4.09883457723645e-201,0,1.0122419468533,6,4.09883457723645e-201,3.272702249200562e-100,1.33114340191802,True
Gene15,3.70064999220181e-182,0,1.00714301038997,6,3.70064999220181e-182,5.0491949342328e-126,1.00714301038997,True
Gene14,5.75156521259965e-178,0,0.95041845456974,6,5.75156521259965e-178,6.4421792433934e-103,1.16882787117021,True
Gene60,4.12124747942809e-156,0,0.959181504357565,6,4.12124747942809e-156,1.201543114817165e-131,0.959181504357565,True
Gene76,2.27986407441927e-155,0,0.909102536756872,6,2.27986407441927e-155,6.925598371158599e-79,1.19022065688909,True
Gene27,4.85699799854023e-140,0,0.879749449230116,6,4.85699799854023e-140,2.389788076273972e-109,0.879749449230116,True
Gene81,1.20136515964708e-132,0,0.758036368612309,6,1.20136515964708e-132,6.556821155933502e-103,0.826459530942729,True
Gene18,6.98203670483658e-130,1,1.09971450152116,6,6.98203670483658e-130,2.175775869093612e-56,1.29964140812242,True
Gene44,7.372354146012898e-125,0,0.702703063456085,6,7.372354146012898e-125,7.495500265768496e-108,0.741368183015557,True
Gene41,1.05909709895142e-114,1,0.968443068477835,6,1.05909709895142e-114,7.48126648549965e-27,0.968443068477835,True
Gene23,1.6714622792714702e-113,1,1.05072079454492,6,1.6714622792714702e-113,6.11384259196565e-59,1.05072079454492,True
Gene6,1.15938845760267e-108,0,0.707888009337062,6,1.15938845760267e-108,4.416431818076145e-15,0.761618116621392,True
Gene54,2.76239576215112e-69,2,0.946417042902929,6,2.76239576215112e-69,1.0518999830203919e-24,0.946417042902929,True
Gene37,3.98494573111958e-52,0,0.488458729148612,6,3.98494573111958e-52,2.4428040100941854e-17,0.489374355439212,True
Gene13,7.01932860621611e-52,3,1.04219616128269,6,7.01932860621611e-52,1.4138594031157722e-31,1.04219616128269,True
Gene26,2.23924515279309e-38,0,0.336140406213288,6,2.23924515279309e-38,2.8289375574159083e-09,0.33615825193152,True
