gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.0019858205,-0.010165218,-0.03350876,-0.0008523518,0.017343987,0.03338489,0.04757243,0.05870712,-0.00228031719825909,0.592703492202449,-0.00304290190942819,0.547781359707368,-0.00760994984883058,0.472765343155506,-0.00236435728743507,0.548426991160745,0.472765343155506,2
Gene10,0.032442823,0.19861932,-0.55357105,0.01048233,0.016607815,0.031887107,0.048131444,0.059789006,0.0324422570357354,0.0252200247127644,0.195997233459323,1.57295757998171e-07,-0.542425228401384,0,0.00549840577826714,0.462984500031792,0,2
Gene100,0.064966366,0.060790304,0.043883666,0.03253641,0.017666522,0.03422505,0.045550928,0.059624117,0.056915251275986,0.000265842004801826,0.056896853732754,0.000363404559560677,0.056795904425519,0.0011700554765514,0.0567291868194997,0.00191390873216479,0.000265842004801826,0
Gene11,-0.2797828,0.47036472,1.01977,0.4719898,0.020797415,0.039639775,0.051540717,0.060562838,-0.279402038259909,0,0.470608353672892,4.33371002505359e-33,1.00687347518584,6.65650802271172e-87,0.473130488594632,1.49058182829644e-15,0,0
Gene12,-0.167023,0.24669945,-0.6010754,0.3172375,0.018964851,0.037064444,0.050579786,0.065550305,-0.166438628669997,0,0.243315977450579,2.19407636634199e-11,-0.586700986388347,0,0.304791389711958,1.26802067187616e-06,0,0
Gene13,0.0026715815,-0.058804736,0.494097,0.8378604,0.0187818,0.03929649,0.053046703,0.06565934,0.00220173252711224,0.453249326912771,-0.0571830196713284,0.0721263993345394,0.488680015755619,3.02871682234755e-18,0.824828778318436,3.74223167994284e-34,3.74223167994284e-34,3
Gene14,0.30359495,-0.19142984,-0.24339801,0.53402174,0.019876147,0.038017344,0.049588356,0.060964584,0.30228819934084,9.51118339044497e-53,-0.191483779514014,2.17047585793217e-07,-0.237046569606919,6.90683832571537e-07,0.519800633686047,3.64009014750652e-18,9.51118339044497e-53,0
Gene15,0.3668275,-0.32845852,0.35749862,0.01568106,0.021546643,0.03887957,0.05501991,0.067548215,0.365066270723801,5.55498203872569e-65,-0.324654269779,0,0.345893248225635,1.03450377183049e-10,0.0176019630854723,0.395964219346241,0,1
Gene16,-0.035675637,0.11439243,-0.66203684,0.6866811,0.016816871,0.035371866,0.052250847,0.066424064,-0.0355995390050583,0.0170261130160658,0.112311661601013,0.000727254129352181,-0.64596162175082,0,0.665379653936036,1.17803944786124e-23,0,2
Gene17,0.018363997,-0.6721879,0.010940563,-0.8959957,0.01804589,0.036564887,0.05042816,0.059898376,0.0187345075883513,0.14923922127256,-0.667588377937035,0,0.00160241107116619,0.487284828987933,-0.87929365979875,0,0,1
Gene18,0.11824935,0.646886,0.1847629,0.858855,0.019398425,0.037561413,0.049851205,0.063257515,0.117254168947723,7.01720012852965e-10,0.642498284798919,2.58929935566353e-66,0.190147073643519,6.03660931222145e-05,0.841941566035712,1.62754740701618e-41,2.58929935566353e-66,1
Gene19,0.090861306,0.5367801,0.93481565,-0.77557147,0.019484347,0.03887879,0.053053524,0.0675671,0.0903614369962501,1.70565476102824e-06,0.536945125403789,8.18085585775241e-44,0.917790764008674,3.69032133336211e-68,-0.756547881936176,0,0,3
Gene2,0.0435157,-0.46207297,0.03853178,0.03194425,0.01877672,0.034730528,0.04663438,0.057420038,0.0123607263739751,0.718685638670472,-0.46019741239974,0,0.0100023194934104,0.779218619296409,0.00914404504103245,0.797066077948224,0,1
Gene20,-0.09694911,0.11112249,0.14670357,-0.6732939,0.019438706,0.034496304,0.04547966,0.059506867,-0.0964145954961788,3.47260454058862e-07,0.111410666819065,0.000601458969923889,0.141189598434088,0.000873576096697713,-0.658420015838903,1.11022302462516e-16,1.11022302462516e-16,3
Gene21,0.042771902,0.07084615,-0.001280996,0.020934008,0.016916469,0.03355029,0.045369893,0.05362899,0.0392090408183753,0.0177446590771169,0.0402897054433756,0.00580288075478849,0.0388659173327691,0.0206035699489762,0.039067094550825,0.0194029513628198,0.00580288075478849,1
Gene22,0.06888954,-0.6930198,0.015665611,-0.6290708,0.017191257,0.03640772,0.050549548,0.06230342,0.0690350151309294,2.89144572520245e-05,-0.687848472853282,0,0.00708554093329197,0.443874798994087,-0.616114013367169,0,0,1
Gene23,0.00042875076,0.8418286,0.032988682,0.4570762,0.017287541,0.039035823,0.053111754,0.06270053,5.86129595585821e-05,0.498646603403615,0.83454240041622,3.19469134229652e-99,0.0411815733873138,0.216951314793249,0.447930580933281,5.34108256997237e-10,3.19469134229652e-99,1
Gene24,0.0450167,0.10055308,0.052824844,0.2589089,0.0186132,0.036160737,0.049168922,0.058854256,0.0488089984305013,0.0268243914968773,0.0892056012438629,0.0228405627663098,0.0557932990713629,0.118036335294361,0.206580693227498,7.00317268734896e-05,7.00317268734896e-05,3
Gene25,0.00031732852,-0.045680635,-0.93866223,-0.009257165,0.018257942,0.03668719,0.050746307,0.062721714,2.24268979387726e-06,0.998103223600572,-0.000177568091729752,0.99665323253513,-0.933303989886586,0,-6.41253222233016e-05,0.997745533013761,0,2
Gene26,0.103962205,0.105635524,0.08908707,0.11226299,0.015558992,0.031970706,0.045401607,0.057975855,0.0987363563608544,2.48075205379595e-12,0.0987490322804141,4.62393475914149e-06,0.0985935421691781,0.000230487025790996,0.0987945703965575,0.000256384423714085,2.48075205379595e-12,0
Gene27,0.28793737,-0.29739967,0.0886484,0.09854667,0.021566363,0.0384422,0.054295745,0.066592544,0.286505236367875,8.70822004888817e-39,-0.294802194699191,6.66133814775094e-15,0.0840792468462293,0.0584840997858132,0.096159902721522,0.0718041138072709,8.70822004888817e-39,0
Gene28,0.04816477,0.039626297,0.08162214,-0.65732974,0.018707572,0.0346718,0.046755727,0.056178562,0.0359439038221264,0.257089461821067,0.0298306608386676,0.345897056163976,0.0569346453554969,0.290686383053793,-0.646072105857336,0,0,3
Gene29,-0.379221,0.08174755,0.83125216,0.40214202,0.021689722,0.036233407,0.048883818,0.05941439,-0.378018497034038,0,0.0844264050870684,0.00968211903303483,0.820138316666293,1.46392036816212e-64,0.402711242784582,3.90780215997017e-12,0,0
Gene3,0.030288044,0.5034865,-0.4816122,-0.044585653,0.017962057,0.03763967,0.050472647,0.061702248,0.0301951872866768,0.0461083183805391,0.497612361013064,1.1427980952693e-37,-0.469507196289968,0,-0.0481650942360357,0.215569345429006,0,2
Gene30,0.057365388,-0.28076252,0.03471554,0.026368711,0.018935293,0.038315833,0.050641168,0.060152058,0.0443092292464174,0.226466305484343,-0.278406184077651,4.15889545024584e-12,0.0247587423347551,0.428205865943405,0.0202540106032948,0.481296166913534,4.15889545024584e-12,1
Gene31,0.35184795,0.40255263,-0.8142313,-1.0388215,0.020873098,0.03793726,0.0536891,0.064159654,0.350913906828283,5.53488451872383e-64,0.398356083251834,3.40566990430167e-26,-0.803154303096797,0,-1.0322731037438,0,0,2
Gene32,0.022519186,-0.7337743,-0.50617933,-0.7768894,0.01977286,0.036993336,0.04715686,0.05855573,0.0231900459289514,0.119977519116841,-0.729855905000044,0,-0.506320633510426,0,-0.766889957292194,0,0,1
Gene33,-0.07508701,-0.6700667,0.6274135,0.33545858,0.019385163,0.037991848,0.054762762,0.06620311,-0.0748946541012156,5.42962487590781e-05,-0.663346662444799,0,0.611738613222998,8.44993531139226e-30,0.336670428886757,1.54829228339387e-07,0,1
Gene34,0.116835944,-0.43912858,-0.10579143,-0.43487325,0.018728182,0.035542153,0.04689173,0.05669019,0.116731909732129,2.11995510403058e-10,-0.436161744434912,0,-0.109309287495968,0.00936167839205637,-0.427726435012812,1.32116539930394e-14,0,1
Gene35,-0.0016554676,-0.017855737,-0.031424686,0.26040217,0.01657647,0.03581107,0.05055531,0.06343325,-3.47443155669298e-05,0.984792495119392,-0.000472164958445292,0.980602326400515,-0.000777305170060553,0.979738237667819,0.25554990411142,0.00125903050315397,0.00125903050315397,3
Gene36,0.3956612,-0.27261472,-0.3064132,-0.30142504,0.02069834,0.037000157,0.05036868,0.06211935,0.394189250114258,1.56549504713312e-81,-0.271961744184848,7.83817455385361e-14,-0.305025107414587,4.73980632520465e-10,-0.299081735417559,5.58019618179806e-07,1.56549504713312e-81,0
Gene37,0.11072307,0.13757542,0.075550385,0.07835296,0.018627763,0.035839047,0.050044548,0.059525635,0.103621748876091,2.87318791986548e-09,0.104294887730668,1.73012630847105e-06,0.10271740330619,0.0016618894523357,0.10276235031919,0.0024584924630357,2.87318791986548e-09,0
Gene38,0.36294767,-0.97464126,0.00055176637,-0.39976135,0.02273246,0.04541833,0.059556838,0.07050771,0.361792250961629,1.32549931669913e-57,-0.964396967310645,0,-0.0119810263414659,0.419390558987993,-0.39114215489346,1.09338447185081e-08,0,1
