guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.25812992,0.247136,0.2197516,0.25326255,0.030895894,0.04393105,0.054634847,0.066842586,0.251203037513879,1.30594777609161e-16,0.251144261091343,6.59353042869484e-09,0.251010084519124,1.80118455970603e-07,0.251161089400375,4.69721239426672e-07,1.30594777609161e-16,0
g10,Gene10,0.033350836,0.19881198,-0.552143,0.012767207,0.027859239,0.039643936,0.053242356,0.06505437,0.0338686247150668,0.110232804055545,0.200248631384418,1.79697872412021e-07,-0.547258976738775,0,0.0149791892104006,0.407985222922355,0,2
g100,Gene100,-0.0031770119,-0.0060249795,-0.022617942,-0.031724785,0.031018138,0.042806823,0.05418444,0.06563445,0.00147521691477738,0.85891140427203,0.0015151217311542,0.854207475992929,0.00131344722400192,0.856415824943289,0.000957470518916532,0.8557338635721,0.854207475992929,1
g101,Gene1,-0.11211062,-0.12310445,-0.15048894,-0.116977856,0.029924177,0.042584952,0.053395823,0.06626476,-0.115220507020845,0.000114992166544869,-0.115245335896775,0.000358296968528515,-0.11534777129821,0.000357711766367119,-0.115208269868228,0.000509161080607501,0.000114992166544869,0
g102,Gene2,0.026314156,-0.47804657,0.01793173,0.013841971,0.029831748,0.041824616,0.05134121,0.05955383,0.00151515434665173,0.954189532012258,-0.498008887989432,0,0.00108775126459498,0.963751977792865,0.000851460857240183,0.966376003193391,0,1
g103,Gene3,-0.11842401,0.35586852,-0.62807417,-0.19033095,0.030639315,0.043983072,0.055991765,0.066103265,-0.116526875238359,6.25675134392489e-05,0.358319133783897,1.04247418452552e-16,-0.621118922949886,0,-0.184608663497899,0.00236724592601301,0,2
g104,Gene4,0.1733073,1.0346482,0.16279057,-0.7315169,0.029804306,0.04205629,0.05341435,0.06390317,0.174352251504788,1.82768795090794e-09,1.03216753645162,1.34177702055922e-135,0.161758271414904,0.00111842723399544,-0.726483504090175,0,0,3
g105,Gene5,0.028480029,0.22890323,0.25019902,0.27713698,0.030336961,0.04271683,0.055178043,0.06487464,0.0259208592667983,0.194568615279608,0.224751353247956,3.73194890413334e-06,0.244677305142535,7.4995177460175e-06,0.270525292569168,1.61917345177698e-05,3.73194890413334e-06,1
g106,Gene6,0.08803922,-0.21776013,0.14807373,-0.29808635,0.03387196,0.046099048,0.058024406,0.06818708,0.0899911283752468,0.00366727621765925,-0.215223903207213,1.21452858592441e-06,0.149607116696367,0.0045935597430642,-0.293230296312422,6.7305578118626e-06,1.21452858592441e-06,1
g107,Gene7,-0.80086863,-0.16136728,-0.3988978,-1.1652592,0.028608672,0.04080645,0.048893727,0.059727814,-0.793045989925335,0,-0.152848250685909,8.22129977134933e-05,-0.389152966081895,6.66133814775094e-16,-1.1468218986599,0,0,0
g108,Gene8,-0.5785109,0.5564275,-0.5949706,-0.05238669,0.029178813,0.046103038,0.06138599,0.069111146,-0.576984067457505,0,0.557188385612922,1.60502899719633e-34,-0.589385064858234,0,-0.0484662059115519,0.238829766649438,0,0
g109,Gene9,0.61717045,-0.54178727,-0.0499697,-0.06568915,0.03176965,0.049838684,0.06035929,0.06931208,0.617792482447229,4.64217200675173e-86,-0.537220952930173,0,-0.0455616495039421,0.222561463527216,-0.0627429042002916,0.179556544344997,0,1
g11,Gene11,-0.70009595,0.04919115,0.5975878,0.04918489,0.03257957,0.045567643,0.05553426,0.066835046,-0.699955400679969,1.11022302462516e-16,0.0462604164092019,0.152668442345064,0.590569452966337,3.45083599908164e-27,0.046611545149204,0.240150533179389,3.45083599908164e-27,2
g110,Gene10,0.0115572475,0.17701837,-0.57393706,-0.009026388,0.029328788,0.041509286,0.05383508,0.06586869,0.0123060226769844,0.336133962675846,0.178816071862982,7.14365042781093e-06,-0.568568253434289,0,-0.00626500033184736,0.461705008447379,0,2
g111,Gene11,-0.5830536,0.16623372,0.7146301,0.1662272,0.02861116,0.044808283,0.054450504,0.06663076,-0.584659770509689,0,0.1607580097711,0.000146500958492334,0.704859172981501,2.50226093584184e-39,0.159540024938311,0.00770837270704056,0,0
g112,Gene12,-0.30544654,0.10559299,-0.7411472,0.17855707,0.02824905,0.04345606,0.05679534,0.06953545,-0.304771865389051,0,0.107758924484406,0.00617240277323837,-0.734635611699009,0,0.180209697246821,0.0043709942870663,0,0
g113,Gene13,0.22797349,0.16700815,0.71913016,1.0661678,0.030599484,0.045297492,0.057221133,0.06974616,0.219362903095084,2.44588175090039e-13,0.155079325370678,0.000277918263716467,0.702221776215537,1.46717499978016e-35,1.0418728319005,6.59644009942662e-52,6.59644009942662e-52,3
g114,Gene14,0.40475854,-0.09036586,-0.14212158,0.6369804,0.033435665,0.045213606,0.058190424,0.069907285,0.399851820366815,7.40120015837852e-34,-0.0939026974418586,0.0180177971173777,-0.145148851830473,0.0058718367480779,0.625593650214622,6.4298667394561e-20,7.40120015837852e-34,0
g115,Gene15,0.3762554,-0.3180864,0.36814597,0.029202757,0.03338971,0.04702666,0.06109889,0.07198394,0.374985600970149,3.99923878674487e-30,-0.318728477306667,3.79507536507617e-12,0.36461591246615,7.87245941275143e-10,0.0264564621005941,0.354799965424323,3.99923878674487e-30,0
g116,Gene16,-0.046834003,0.10328425,-0.6736496,0.6749517,0.028787183,0.04256946,0.056674965,0.07076511,-0.0497279209852154,0.0405886712318249,0.101530610989288,0.00801003750828126,-0.67199199801364,0,0.666410037934483,7.5527837117439e-22,0,2
g117,Gene17,-0.023413755,-0.7135755,-0.031973846,-0.9386639,0.028293738,0.043079384,0.054795768,0.066389054,-0.0168141763848164,0.274661168418959,-0.70350930702936,0,-0.0221200810352779,0.34196390285977,-0.920360387977166,0,0,1
g118,Gene18,0.43029314,0.9599802,0.4966372,1.1714405,0.029562002,0.043588843,0.055526394,0.066822164,0.420641358886648,6.75334565405827e-47,0.945425301740969,3.0328917973134e-106,0.480471612359849,1.33519057640741e-18,1.1463628904211,9.37187088998928e-67,3.0328917973134e-106,1
g119,Gene19,-0.22022364,0.2263851,0.6257107,-1.0846745,0.031649414,0.04792453,0.06036811,0.07475052,-0.214112872401186,3.93096666329029e-12,0.230127590850662,5.92581901701064e-07,0.626760149241438,4.1505820129041e-26,-1.06737283685611,0,0,3
g12,Gene12,-0.29980838,0.1112309,-0.7355093,0.18419516,0.031962488,0.045017477,0.057400733,0.069532596,-0.298985599851541,0,0.113492492219268,0.0054698273231352,-0.728884400140392,0,0.185928687213988,0.00340680989670326,0,0
g120,Gene20,-0.49262783,-0.28452253,-0.24962096,-1.0659994,0.029597448,0.04229579,0.05257913,0.06312513,-0.485108172293491,0,-0.275701454227717,2.59916532741045e-11,-0.239775233481128,2.16190915491854e-06,-1.04748826572567,0,0,0
g121,Gene21,0.15948145,0.18877089,0.11572297,0.14065693,0.02669192,0.039878484,0.049495496,0.057347562,0.159519546365202,3.72739683416615e-09,0.160282668156527,9.62906079736356e-07,0.158320677932765,0.00028266469052018,0.158969242418794,0.000209229704673515,3.72739683416615e-09,0
g122,Gene22,0.4918434,-0.27025038,0.4353158,-0.20812722,0.030347496,0.044796325,0.058588214,0.06873505,0.491759200615832,2.10678523239562e-60,-0.269944271754623,5.9341120905998e-10,0.4330218564436,4.01264940533391e-14,-0.207311508306134,0.00113577218258887,2.10678523239562e-60,0
g123,Gene23,0.22151999,1.0635514,0.2545066,0.6779817,0.02973767,0.046901815,0.059318822,0.069428,0.214500169721147,1.77460195419304e-13,1.05054299090855,1.69572946993625e-113,0.24175901607491,1.94221792269682e-05,0.659874410517047,4.76119803690534e-21,1.69572946993625e-113,1
g124,Gene24,0.15212251,0.20691444,0.16186036,0.3672782,0.031862557,0.045417525,0.056678414,0.065670304,0.148753795029553,0.000131762783784933,0.202278702288613,0.000131438613686633,0.15653170801996,0.00277496365094779,0.359286588862778,4.52829906947881e-05,4.52829906947881e-05,3
g125,Gene25,0.23094486,0.18455069,-0.70758766,0.22088294,0.030970415,0.044073313,0.057767093,0.06784143,0.230209249462305,3.20218639917813e-14,0.185617910602916,1.05919675263247e-05,-0.701581826662799,0,0.220417134632894,0.000503871126264197,0,2
g126,Gene26,0.05530942,0.057015583,0.042894814,0.065805815,0.02775959,0.03800376,0.05041808,0.060966734,0.0363462961698546,0.26303495377892,0.0362540662284059,0.265532730969669,0.0361835339004666,0.266519903876505,0.0359048431834672,0.266906202783338,0.26303495377892,0
g127,Gene27,0.88865304,0.30316687,0.69240665,0.70417964,0.03526041,0.04700796,0.058950506,0.069550544,0.879476683544464,5.10221936958276e-140,0.292405470261708,1.7787549584689e-10,0.678310555091992,1.7334707013939e-31,0.684896594009537,1.18301476820367e-23,5.10221936958276e-140,0
g128,Gene28,0.07550126,0.06816642,0.111255065,-0.6265073,0.029681694,0.042467386,0.0528776,0.062094606,0.038568433105404,0.509830284640907,0.0348554425225682,0.530709385547697,0.05609393035248,0.515211045118682,-0.694088141806606,0,0,3
g129,Gene29,-0.6299933,-0.16903172,0.5781306,0.15242615,0.0321425,0.045578126,0.057969857,0.06950752,-0.630325564694509,0,-0.171563555265464,7.16250661664253e-05,0.570700037487706,1.32405646130997e-23,0.148385875788269,0.0153103209614518,0,0
g13,Gene13,-0.025043372,-0.08600867,0.46611297,0.8131514,0.03014985,0.04360985,0.056277044,0.069586486,-0.0307789178823002,0.151545783359963,-0.0933927120525906,0.0153631986708674,0.454710282067186,1.6628273953897e-16,0.795900984170258,2.70298497766798e-31,2.70298497766798e-31,3
g130,Gene30,0.22086713,-0.11822328,0.19823025,0.190556,0.030880172,0.04402524,0.054676253,0.06568181,0.219146144045365,4.15840793287213e-13,-0.119858181098711,0.00301709102903891,0.195329182580663,0.000155590736610864,0.186385022210239,0.0020589292123532,4.15840793287213e-13,0
g131,Gene31,0.6437301,0.694236,-0.52315784,-0.74679446,0.032971285,0.04569089,0.058412947,0.06782664,0.646226925745955,1.77377912151339e-87,0.696835538946074,6.87085887276367e-54,-0.514591256643421,0,-0.736300225511491,0,0,2
g132,Gene32,0.10238025,-0.65383714,-0.42423153,-0.69501084,0.030854188,0.043080494,0.051654454,0.06214339,0.107992002032844,0.000212624846104597,-0.644419183603013,1.11022302462516e-16,-0.413515711661168,5.55111512312578e-16,-0.681034854766036,1.11022302462516e-16,1.11022302462516e-16,1
g133,Gene33,-0.20117606,-0.796443,0.49915007,0.20692053,0.031549323,0.047084842,0.06106364,0.07039726,-0.201259580466448,5.8281490744605e-11,-0.795303073227419,0,0.494716221979919,1.2911913313693e-16,0.204007946901046,0.001662955479459,0,1
g134,Gene34,0.20070371,-0.35664845,-0.02302835,-0.34886155,0.029077372,0.04176305,0.05240964,0.06294125,0.202919708696817,1.02745626448797e-12,-0.352740634428019,0,-0.0191085718786458,0.356542268286406,-0.34268937481162,1.89810087647402e-08,0,1
g135,Gene35,-0.19084467,-0.20798242,-0.2220216,0.0655634,0.029560793,0.044931702,0.05526652,0.066345334,-0.190024304566691,2.58220019810906e-08,-0.205896878377467,1.91270118687914e-06,-0.219329854615342,3.08525907166679e-05,0.066984829105299,0.153674038093384,2.58220019810906e-08,0
g136,Gene36,0.8023177,0.13464834,0.09971676,0.10400383,0.031404678,0.043670177,0.05670849,0.06555631,0.794627930506815,1.25498276305942e-145,0.120608738242323,0.0880675523366148,0.0890835997240419,0.124690573778264,0.0907879434554296,0.144231052995015,1.25498276305942e-145,0
g137,Gene37,0.040224932,0.068248205,0.006592373,0.009617354,0.029994367,0.04265234,0.053979695,0.06051642,0.0321109395246112,0.361234233963663,0.0332960898497899,0.342206048776686,0.0314479398991778,0.367354088472515,0.030304257257843,0.367354291276047,0.342206048776686,1
g138,Gene38,0.53623617,-0.8027269,0.17110838,-0.22835162,0.03355592,0.051680967,0.065035634,0.0732105,0.538443504891502,2.06559733695776e-59,-0.795805754762997,0,0.175773151277923,0.00308495145835826,-0.221980429081839,0.00104504919859294,0,1
g139,Gene39,-0.61306,0.062873505,0.112597205,-0.24239399,0.029584108,0.04390009,0.057945453,0.06591188,-0.610876599749634,2.22044604925031e-16,0.063782973056369,0.0713611955147813,0.112447236609162,0.0250299897006044,-0.238295463487793,0.000128035514563862,2.22044604925031e-16,0
g14,Gene14,0.76078194,0.26565698,0.2139011,0.9930038,0.030903928,0.043706812,0.055920754,0.067599475,0.752488263635238,2.15926347125903e-133,0.256666960852798,1.62896320838816e-09,0.204072341123629,0.000116640124969604,0.97303434224099,2.8893770953614e-48,2.15926347125903e-133,0
