guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.25812992,0.247136,0.2197516,0.25326255,0.030895894,0.04393105,0.054634847,0.066842586,0.250669953050813,1.26226306348131e-16,0.250613754632842,6.46357537622647e-09,0.250486609155461,1.83070637862378e-07,0.25062810376737,4.85589822123837e-07,1.26226306348131e-16,0
g10,Gene10,0.033350836,0.19881198,-0.552143,0.012767207,0.027859239,0.039643936,0.053242356,0.06505437,0.0338795293227605,0.110083232913826,0.200328701694645,1.79054887648841e-07,-0.546987316213978,0,0.015043082190334,0.407525860757188,0,2
g100,Gene100,-0.0031770119,-0.0060249795,-0.022617942,-0.031724785,0.031018138,0.042806823,0.05418444,0.06563445,0.00526427036805307,0.495280650122137,0.005382828028544,0.481225605969639,0.00474416731177525,0.486615273325472,0.00368769100167257,0.485818254085502,0.481225605969639,1
g101,Gene1,-0.11211062,-0.12310445,-0.15048894,-0.116977856,0.029924177,0.042584952,0.053395823,0.06626476,-0.114917784412752,7.9296258207906e-05,-0.11493953661652,0.000295107161811803,-0.115031735506969,0.000294601212656898,-0.114903731147039,0.000439382111405151,7.9296258207906e-05,0
g102,Gene2,0.026314156,-0.47804657,0.01793173,0.013841971,0.029831748,0.041824616,0.05134121,0.05955383,0.00161967982689767,0.951876048718503,-0.497897897350696,0,0.00118923500392807,0.961778372130012,0.000983071387402818,0.964302427811759,0,1
g103,Gene3,-0.11842401,0.35586852,-0.62807417,-0.19033095,0.030639315,0.043983072,0.055991765,0.066103265,-0.116514927876764,6.254146039264e-05,0.358370621023763,1.06416915746495e-16,-0.620911350740777,0,-0.184557634281201,0.00237045732398988,0,2
g104,Gene4,0.1733073,1.0346482,0.16279057,-0.7315169,0.029804306,0.04205629,0.05341435,0.06390317,0.168345317987405,2.26364530596272e-09,1.02569910558736,4.27775072496492e-136,0.152172483562393,0.00151592630659413,-0.741748673825652,1.11022302462516e-16,4.27775072496492e-136,1
g105,Gene5,0.028480029,0.22890323,0.25019902,0.27713698,0.030336961,0.04271683,0.055178043,0.06487464,0.0254503722995879,0.199498761673507,0.224010594846423,3.84841911263104e-06,0.243710323252175,8.01441080474633e-06,0.26935203442448,1.761800582253e-05,3.84841911263104e-06,1
g106,Gene6,0.08803922,-0.21776013,0.14807373,-0.29808635,0.03387196,0.046099048,0.058024406,0.06818708,0.090338789532736,0.00355695339657169,-0.214741830706371,1.21540548991828e-06,0.149945528606494,0.00448256514302752,-0.292397638910061,6.7780719117394e-06,1.21540548991828e-06,1
g107,Gene7,-0.80086863,-0.16136728,-0.3988978,-1.1652592,0.028608672,0.04080645,0.048893727,0.059727814,-0.793448599112419,0,-0.153424531746186,7.85756551566763e-05,-0.389932681780973,4.44089209850063e-16,-1.1478000202195,0,0,0
g108,Gene8,-0.5785109,0.5564275,-0.5949706,-0.05238669,0.029178813,0.046103038,0.06138599,0.069111146,-0.577072296345026,0,0.55701185259894,1.71146588920611e-34,-0.589529138957979,0,-0.0486970471291977,0.237842282642136,0,0
g109,Gene9,0.61717045,-0.54178727,-0.0499697,-0.06568915,0.03176965,0.049838684,0.06035929,0.06931208,0.617807932240375,4.94574971869193e-86,-0.537120347987892,0,-0.0454583320316187,0.223121175915585,-0.06265487641238,0.179949223016377,0,1
