gene,true_betahat_d0,true_betahat_d1,true_betahat_d2,true_betahat_d3
Gene1,0.0,0.0,0.0,0.0
Gene2,0.0,0.0,0.6000865697860718,0.0
Gene3,0.0,-0.42178988456726074,0.0,0.8499174118041992
Gene4,0.0,0.0,0.0,0.0
Gene5,0.0,0.0,0.0,0.0
Gene6,0.0,0.0,0.0,0.0
Gene7,0.0,0.0,0.0,-0.4238804578781128
Gene8,0.0,0.0,0.0,0.0
Gene9,0.29081982374191284,0.0,0.0,0.0
Gene10,0.9479184150695801,0.0,0.0,0.0
Gene11,-0.8250645399093628,0.0,0.0,0.0
Gene12,0.0,0.0,0.0,0.0
Gene13,0.0,0.0,0.0,0.0
Gene14,0.0,0.0,0.0,0.0
Gene15,0.0,-0.7098643183708191,0.8116664290428162,-0.5454572439193726
Gene16,0.0,0.0,0.0,0.7078965902328491
Gene17,0.0,0.0,0.0,0.0
Gene18,0.0,0.0,0.7596802115440369,0.0
Gene19,0.0,0.0,0.0,0.0
Gene20,0.0,0.0,0.0,0.0
Gene21,0.0,0.0,0.0,0.0
Gene22,0.0,0.5632776618003845,0.0,0.0
Gene23,-0.6162139177322388,0.0,0.0,0.0
Gene24,0.0,0.0,0.0,0.0
Gene25,0.0,0.0,0.0,0.0
Gene26,0.0,0.0,0.0,0.0
Gene27,0.0,0.0,0.0,0.0
Gene28,0.0,0.0,0.0,0.0
Gene29,0.0,0.0,0.0,0.0
Gene30,0.0,0.0,0.0,0.0
Gene31,0.0,0.0,0.0,0.0
Gene32,0.0,0.0,0.0,0.36866676807403564
Gene33,0.0,0.0,0.0,0.0
Gene34,0.0,0.0,-0.44393640756607056,0.0
Gene35,0.0,0.0,0.0,0.0
Gene36,0.0,0.0,0.0,-0.2817167341709137
Gene37,0.0,0.4144223928451538,0.0,0.0
Gene38,0.0,0.0,0.0,0.0
Gene39,0.0,0.0,0.0,0.0
Gene40,0.0,0.0,0.0,0.0
Gene41,0.0,0.0,0.0,0.0
Gene42,0.0,0.0,0.0,0.0
Gene43,0.0,0.0,0.0,0.0
Gene44,0.0,0.0,0.2553529441356659,0.0
Gene45,0.0,0.0,0.0,0.0
Gene46,0.0,-0.8732302188873291,0.0,0.0
Gene47,0.0,0.5545064806938171,0.0,0.0
Gene48,0.0,0.0,0.0,0.0
Gene49,0.3266666531562805,0.0,0.0,0.0
Gene50,0.0,0.0,0.0,0.0
Gene51,0.0,0.0,-0.8813109397888184,0.0
Gene52,0.0,0.804122269153595,0.0,0.5325061082839966
Gene53,0.0,0.0,0.0,0.0
Gene54,0.0,0.0,0.0,0.0
Gene55,0.0,0.0,0.0,0.0
Gene56,0.0,0.0,0.0,0.0
Gene57,0.0,0.0,0.0,0.0
Gene58,0.0,0.0,0.0,0.0
Gene59,0.0,0.0,0.0,0.0
Gene60,-0.6137728095054626,0.0,0.0,0.0
Gene61,0.0,0.0,0.0,0.0
Gene62,0.0,0.0,0.0,0.0
Gene63,0.3571021854877472,0.0,0.0,0.0
Gene64,0.0,0.0,0.0,0.0
Gene65,0.0,0.0,0.0,0.0
Gene66,0.0,0.0,0.0,0.0
Gene67,0.0,0.0,0.0,0.0
Gene68,-0.7257211208343506,0.0,0.0,0.0
Gene69,0.0,0.0,0.0,0.0
Gene70,0.0,-0.6477429270744324,0.0,0.0
Gene71,0.0,0.0,-0.7083247303962708,0.8886002898216248
Gene72,0.5858810544013977,0.0,0.0,0.0
Gene73,0.0,0.0,0.0,0.0
Gene74,0.0,-0.7725715041160583,0.0,0.0
Gene75,0.0,0.0,-0.9207087159156799,0.21502546966075897
Gene76,0.0,0.0,0.0,0.0
Gene77,0.0,0.0,0.0,0.0
Gene78,0.0,0.0,0.0,0.0
Gene79,0.8664010763168335,0.0,0.0,0.6886931657791138
Gene80,0.0,0.0,0.0,0.0
Gene81,0.0,0.0,0.0,0.0
Gene82,0.0,0.0,0.0,0.0
Gene83,0.0,0.0,0.0,0.0
Gene84,0.0,0.4148755669593811,0.0,0.0
Gene85,0.0,0.0,0.0,0.0
Gene86,0.0,0.0,0.0,0.0
Gene87,0.0,0.0,0.0,0.0
Gene88,0.0,0.0,0.0,0.0
Gene89,0.0,0.0,0.0,0.0
Gene90,0.0,0.0,0.0,0.0
Gene91,0.0,0.0,0.0,0.0
Gene92,0.0,0.0,0.7512545585632324,0.0
Gene93,0.0,0.0,0.0,0.0
Gene94,0.0,0.0,0.0,0.0
Gene95,0.0,0.0,0.0,0.0
Gene96,0.0,0.0,-0.9612405896186829,0.0
Gene97,0.0,0.0,0.0,0.0
Gene98,0.0,0.0,0.0,0.0
Gene99,0.0,0.0,0.0,0.0
Gene100,0.0,0.0,0.0,0.0
