guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g1,Gene1,0.07946051,0.090650976,0.083343215,0.11266207,0.02121844,0.029190259,0.037176494,0.046178397
g10,Gene10,0.8770585,0.2615416,0.033749964,0.16226491,0.026676582,0.035529274,0.043521974,0.051588353
g100,Gene100,-0.08808882,-0.14863478,-0.078808434,-0.07953515,0.023143148,0.02998381,0.03686314,0.045039307
g101,Gene1,0.3362856,0.34747645,0.34016842,0.36948702,0.020959245,0.028918749,0.036485408,0.045761377
g102,Gene2,-0.0093196295,0.030288476,0.62195855,0.037192598,0.020766119,0.027851298,0.0356051,0.043483887
g103,Gene3,0.052329943,-0.3191552,0.07017579,0.89945227,0.021561949,0.030701907,0.03889194,0.05122309
g104,Gene4,-0.013516382,-0.017658276,0.010055102,-0.022561058,0.020439688,0.027541343,0.034589197,0.04234968
g105,Gene5,-0.10906749,-0.1292861,-0.12570707,-0.14907576,0.02193418,0.030223504,0.038991004,0.04720942
g106,Gene6,-0.4739206,-0.51287353,-0.51786786,-0.46926275,0.023765871,0.030588,0.037796065,0.04454674
g107,Gene7,-0.17541464,-0.1636107,-0.15261716,-0.5764607,0.019973934,0.026123375,0.031887993,0.0397049
g108,Gene8,-0.1590457,-0.20223951,-0.2036272,-0.15514277,0.020148514,0.02935336,0.037824932,0.04481355
g109,Gene9,0.22417846,0.02967884,-0.07289634,0.029854001,0.020636009,0.029225955,0.037316527,0.044211786
g11,Gene11,-0.7821699,-0.11249247,-0.006955057,-0.027798664,0.02441381,0.034253903,0.040203054,0.04726681
g110,Gene10,1.0617708,0.44625413,0.2184624,0.34697753,0.027799092,0.037200868,0.044414297,0.052564215
g111,Gene11,-0.6893448,-0.019666977,0.08587044,0.065026894,0.022851136,0.034591362,0.040080227,0.047588315
g112,Gene12,0.26598462,0.23831874,0.27405006,0.22764327,0.019449672,0.027864615,0.035087362,0.04259077
g113,Gene13,0.031555384,0.012431997,0.008543433,0.0003190644,0.020218039,0.028249176,0.034903534,0.04384283
g114,Gene14,0.14559507,0.15942977,0.19079715,0.14206451,0.020393066,0.02661809,0.034750987,0.041944798
g115,Gene15,0.14188984,-0.39139497,0.82015526,-0.3401035,0.021390459,0.030460779,0.045127295,0.057492368
g116,Gene16,0.11125838,0.0811538,0.099037856,0.75502676,0.021299487,0.02855116,0.03661018,0.047606427
g117,Gene17,0.22989109,0.14902277,0.11833708,0.1696377,0.020122122,0.02770429,0.035463795,0.043254156
g118,Gene18,-0.35734147,-0.30004683,0.367638,-0.38885728,0.021065764,0.028856942,0.038124435,0.04790875
g119,Gene19,0.02838786,-0.050051004,-0.0100039365,-1.33964795e-05,0.021014811,0.029149167,0.03686952,0.044779953
g12,Gene12,-0.1035838,-0.13124979,-0.09551842,-0.14192528,0.022155292,0.029181452,0.035901394,0.043182213
g120,Gene20,-0.12080959,-0.11044742,-0.07446958,-0.10648365,0.019634886,0.0275788,0.03543988,0.04402988
g121,Gene21,0.30786666,0.34485143,0.31550312,0.30895096,0.019486962,0.027070995,0.033716172,0.040153407
g122,Gene22,0.18554302,0.60477746,0.19154698,0.112237394,0.021400621,0.030500453,0.039866228,0.047607128
g123,Gene23,-0.42920467,0.054087304,0.17529105,0.13049908,0.022154307,0.031923,0.03895612,0.04682082
g124,Gene24,0.40987763,0.38831836,0.44994265,0.43623564,0.021141276,0.02914029,0.03688383,0.044124894
g125,Gene25,-0.10668478,-0.049341165,-0.086778395,-0.08674253,0.021166764,0.0289738,0.036686018,0.042760525
g126,Gene26,0.15682611,0.15514177,0.16726805,0.20747602,0.020265931,0.026873792,0.034558643,0.04238158
g127,Gene27,0.18073948,0.18329063,0.21056348,0.13980797,0.022450227,0.027826928,0.035012543,0.042360548
g128,Gene28,-0.16557953,-0.17100026,-0.15329319,-0.14964844,0.022204865,0.029875923,0.036640443,0.044109013
g129,Gene29,0.16842647,0.15692717,0.1827994,0.14256068,0.0212399,0.029297397,0.036441203,0.045255005
g13,Gene13,0.2017715,0.18264808,0.17875962,0.1705352,0.019354764,0.026795428,0.033909697,0.043574657
g130,Gene30,0.17615741,0.17990766,0.20671947,0.17549795,0.022047196,0.029504146,0.03732735,0.045514442
g131,Gene31,-0.38669646,-0.38197374,-0.37888122,-0.35448366,0.021820508,0.028459454,0.034889046,0.043731526
g132,Gene32,-0.36662552,-0.3670043,-0.31185812,0.09447828,0.022427961,0.028158884,0.034277156,0.043563087
g133,Gene33,0.16706125,0.1922646,0.16279869,0.1188424,0.020167433,0.027160129,0.034716625,0.0411026
g134,Gene34,0.091967836,0.06740769,-0.37125188,0.08870858,0.020014375,0.027029684,0.03618701,0.04579281
g135,Gene35,0.12378586,0.11691244,0.12412121,0.107773684,0.020238059,0.028400898,0.03449658,0.043230187
g136,Gene36,0.03819098,0.059618715,0.011835831,-0.22184338,0.019498212,0.02583536,0.034268156,0.041510936
g137,Gene37,0.064821064,0.3598049,0.005309242,-0.0024611938,0.021240884,0.02971195,0.037955407,0.042403486
g138,Gene38,-0.15085103,-0.19129865,-0.23280904,-0.17948619,0.020424444,0.02755521,0.034812313,0.042550568
g139,Gene39,0.16276294,0.20598206,0.23187163,0.2017679,0.02021283,0.029091965,0.03784222,0.04391531
g14,Gene14,-0.017540619,-0.0037058832,0.027661439,-0.021071319,0.01880806,0.025631,0.0331846,0.040449902
g140,Gene40,-0.11465046,-0.12977454,-0.1383628,-0.103390075,0.020125872,0.027996058,0.03525816,0.04319955
g141,Gene41,0.31112647,0.37851337,0.40818858,0.39170888,0.019861892,0.02696588,0.033825867,0.043318987
g142,Gene42,-0.18941836,-0.17300834,-0.16816637,-0.17306979,0.02131636,0.028632859,0.0366232,0.04445961
g143,Gene43,-0.30675858,-0.33990225,-0.28677893,-0.333429,0.02164703,0.028778188,0.036171693,0.041877404
g144,Gene44,-0.029549686,-0.020762444,0.20412506,-0.025469592,0.020408018,0.02816195,0.034824707,0.043178555
g145,Gene45,-0.055355404,-0.03507052,-0.052795723,-0.049738564,0.021111941,0.02754879,0.03517581,0.041144915
g146,Gene46,0.06260019,-0.6891831,0.058598243,0.11647342,0.019619502,0.034178723,0.04270465,0.05018121
g147,Gene47,-0.34625468,0.0768931,-0.36566848,-0.3844129,0.02225594,0.0314062,0.040656045,0.04761548
g148,Gene48,0.4767738,0.45134228,0.43422425,0.47288057,0.02003393,0.027643703,0.034279,0.041411523
g149,Gene49,0.3183643,0.06286372,0.013201571,0.0053866925,0.020431273,0.02835988,0.036155526,0.042655338
g15,Gene15,0.0934124,-0.4398723,0.7716775,-0.38858128,0.019851672,0.029813236,0.04517234,0.056921422
g150,Gene50,-0.18638435,-0.18179874,-0.14093792,-0.17264107,0.01953435,0.026912294,0.034083918,0.043313783
g151,Gene51,0.28688863,0.22518736,-0.57415444,0.29624867,0.021492088,0.028366694,0.040168166,0.050093766
g152,Gene52,0.15780984,0.6771052,0.050459273,0.59939617,0.022526508,0.03278904,0.044766046,0.053564787
g153,Gene53,-0.106557466,-0.06441658,-0.078973405,-0.0449221,0.023157936,0.030253572,0.03911952,0.046109278
g154,Gene54,0.26487753,0.21855158,0.20178689,0.20605925,0.019874778,0.027500838,0.034529697,0.04161954
g155,Gene55,0.27950305,0.260182,0.21505323,0.23909456,0.022683999,0.028730907,0.03489196,0.04395754
g156,Gene56,0.22944449,0.27114475,0.24998763,0.23105495,0.020054387,0.02734759,0.0354308,0.04334201
g157,Gene57,0.07940549,0.044957723,0.057538576,0.057172015,0.017887073,0.02643301,0.033757128,0.04189315
g158,Gene58,0.019379908,0.011861559,0.0035761313,0.01543091,0.019646483,0.026447635,0.034024157,0.042355534
g159,Gene59,-0.19355178,-0.19968674,-0.15282011,-0.14919055,0.020223003,0.026975943,0.03465374,0.043585654
g16,Gene16,0.122470036,0.092365384,0.11024943,0.76623785,0.020388246,0.027487075,0.036401123,0.047870412
g160,Gene60,-0.73218566,-0.2773789,-0.18529326,-0.19914006,0.022991562,0.030122334,0.037589952,0.044820555
g161,Gene61,0.2151112,0.21845503,0.18602948,0.18389456,0.021030307,0.028300911,0.03465867,0.042255763
g162,Gene62,-0.07229097,-0.12207234,-0.052958123,-0.04266602,0.018904375,0.027406923,0.036281127,0.043267827
g163,Gene63,0.19484118,-0.08623611,-0.04392004,-0.055776026,0.0206929,0.029615453,0.037317682,0.045291275
g164,Gene64,-0.34566456,-0.3052276,-0.36566195,-0.3335292,0.022416646,0.028916119,0.03504469,0.04321292
g165,Gene65,0.12682225,0.1520542,0.15673053,0.12814416,0.02034384,0.02758578,0.03450824,0.042060897
g166,Gene66,0.10278221,0.10933927,0.12605682,0.15043372,0.019418579,0.026673334,0.03516499,0.041704267
g167,Gene67,0.24527863,0.23514491,0.24145013,0.2670911,0.01873645,0.025778333,0.03415726,0.041344825
g168,Gene68,-0.5707812,0.029221311,0.1367556,0.16446787,0.025103834,0.034508158,0.039884,0.04732772
g169,Gene69,-0.16310427,-0.17943408,-0.12325395,-0.16469346,0.02042391,0.0275655,0.03473261,0.04219974
g17,Gene17,0.3610691,0.2802011,0.24951516,0.3008158,0.022149304,0.028928434,0.036245666,0.043325163
g170,Gene70,-0.07380802,-0.62462264,-0.07089109,0.003823993,0.019197222,0.030482773,0.03897535,0.04681464
g171,Gene71,0.24323116,0.2032336,-0.4446978,1.0816349,0.020865891,0.029646078,0.039483447,0.05692351
g172,Gene72,0.63620603,0.2630974,0.13424352,0.15619384,0.02347289,0.030185355,0.037312776,0.04499947
g173,Gene73,0.15858649,0.16808881,0.20166285,0.16382466,0.019916847,0.027284244,0.034512307,0.04197289
g174,Gene74,0.39008158,-0.19889104,0.5099413,0.51665854,0.021027802,0.033124186,0.04250131,0.049364056
g175,Gene75,0.08880412,0.011487798,-0.8896604,0.2638828,0.022012351,0.029580427,0.04312376,0.057556786
g176,Gene76,0.17456923,0.15974617,0.07503136,0.13327478,0.020674147,0.02811123,0.03668819,0.045064136
g177,Gene77,-0.029131703,-0.05266498,-0.041601565,-0.05394194,0.020699222,0.027773393,0.035251122,0.04372002
g178,Gene78,0.27030346,0.27161103,0.25217402,0.26067433,0.02114024,0.028031042,0.03577616,0.04489656
g179,Gene79,0.3579829,-0.13498756,-0.23876704,0.43211013,0.02493588,0.034817655,0.043297905,0.053144272
g18,Gene18,0.40537155,0.46266636,1.1303512,0.37385562,0.021163398,0.028732695,0.03787505,0.04745231
g180,Gene80,0.009396932,0.06660102,0.026078064,0.028682156,0.022456441,0.029188128,0.03522299,0.04192733
g181,Gene81,0.55247945,0.57851845,0.5830326,0.57232165,0.022107398,0.028896708,0.0359379,0.043162685
g182,Gene82,0.17934221,0.1962941,0.20171005,0.23489685,0.02147354,0.028684963,0.036716525,0.044617463
g183,Gene83,-0.035472397,0.010783064,0.04144487,0.0065961913,0.019878652,0.025524173,0.034290805,0.042833336
g184,Gene84,-0.07851707,0.23006696,-0.101584084,-0.14738806,0.020747991,0.03062624,0.039010048,0.046349715
g185,Gene85,0.24316683,0.2374025,0.20164473,0.22006826,0.019224139,0.02749979,0.034818616,0.04282099
g186,Gene86,0.23950629,0.2426852,0.22401802,0.25854963,0.019577563,0.026675036,0.033693958,0.04447081
g187,Gene87,-0.11660298,-0.15592967,-0.12681924,-0.10335807,0.019681145,0.026708648,0.033364378,0.040896088
g188,Gene88,0.51360863,0.5149323,0.5156636,0.52032197,0.022134328,0.029136598,0.03556228,0.044234112
g189,Gene89,-0.11987243,-0.073015705,-0.09364033,-0.12891234,0.020514894,0.029435126,0.035893895,0.04340757
g19,Gene19,-0.051886883,-0.13032562,-0.09027867,-0.08028811,0.020842968,0.028562203,0.035983328,0.044560872
g190,Gene90,-0.13354786,-0.07790456,-0.11646979,-0.11959175,0.020389782,0.027852423,0.034508064,0.040485084
g191,Gene91,0.025716139,-0.0032506445,-0.0023802498,-0.029791193,0.017785648,0.025670027,0.032690167,0.042477254
g192,Gene92,-0.15618895,-0.12607262,0.54530877,-0.13234738,0.02166666,0.029737502,0.037985194,0.048826028
g193,Gene93,0.029569395,0.06898658,0.03501768,0.028376816,0.019533928,0.026515493,0.034874927,0.04234624
g194,Gene94,0.20656967,0.21287848,0.18437812,0.20267344,0.022668066,0.029952092,0.03656971,0.043807454
g195,Gene95,0.08601543,0.11931304,0.1733173,0.113165386,0.020204648,0.027451215,0.03453062,0.041973468
