gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene11,0.0,0,-0.77731735923308,6,0.0,0.0,1.20342317346021,True
Gene15,0.0,1,-0.389034987355511,6,0.0,0.0,1.05426511633159,True
Gene16,0.0,0,-0.211937443461332,6,0.0,3.475120081013113e-56,0.800771098748003,True
Gene18,0.0,0,-0.355777702621934,6,0.0,7.6842894143423e-151,1.22723247676086,True
Gene19,0.0,0,-0.300465308637406,6,0.0,9.473793106780552e-05,0.365890015008355,True
Gene2,0.0,0,-0.31917619429789,6,0.0,5.6215358307323e-95,0.987888384512075,True
Gene20,0.0,0,-0.209053129586511,6,0.0,2.497463252683821e-20,0.209053129586511,True
Gene21,0.0,0,-0.4099019767486,6,0.0,5.926431663294322e-27,0.4099019767486,True
Gene23,0.0,0,-0.338842067223705,6,0.0,0.0,0.788409466953609,True
Gene29,0.0,0,-0.214856005681593,6,0.0,5.4908069109781886e-17,0.214866987431857,True
Gene3,0.0,1,-0.348342960497894,6,0.0,1.287652116801405e-99,1.07078421720773,True
Gene30,0.0,0,-0.232252574284281,6,0.0,5.7021058591796016e-12,0.232252574284281,True
Gene31,0.0,0,-0.190112074678414,6,0.0,5.5511151231258e-17,0.38676391274312,True
Gene32,0.0,0,-0.365946423619962,6,0.0,9.983394592241522e-36,0.710171060491128,True
Gene34,0.0,2,-0.368315424002658,6,0.0,1.569352200197065e-151,0.642850280797487,True
Gene37,0.0,0,-0.189331144672071,6,0.0,1.1580611909397404e-49,0.881529825105226,True
Gene38,0.0,0,-0.18070384473492,6,0.0,2.220446049250315e-16,0.355007091234744,True
Gene39,0.0,0,-0.297493029988054,6,0.0,0.0013258085025344,0.311889336817793,True
Gene4,0.0,0,-0.260760345666439,6,0.0,0.0028543244818295,0.260762807134485,True
Gene42,0.0,0,-0.183185860123614,6,0.0,8.0436036806858e-60,0.401173343093482,True
Gene43,0.0,0,-0.302873543074304,6,0.0,4.1574207424464237e-13,0.302929877688681,True
Gene45,0.0,0,-0.358456566464252,6,0.0,5.551115441003117e-17,0.358456566464252,True
Gene46,0.0,1,-0.512963117418844,6,0.0,0.0,0.890708102277578,True
Gene47,0.0,0,-0.344113525028047,6,0.0,1.105488664638984e-59,0.534997374374411,True
Gene48,0.0,0,-0.274331219446144,6,0.0,5.356970084191552e-08,0.460742230238313,True
Gene50,0.0,0,-0.17761761677094,6,0.0,2.7880531217050475e-10,0.19159427025447,True
Gene51,0.0,2,-0.570559441815873,6,0.0,0.0,0.93633539642076,True
Gene52,0.0,0,-0.186614455318212,6,0.0,1.2770255242443752e-91,0.879743667049765,True
Gene53,0.0,0,-0.242221533975517,6,0.0,5.7843950336087005e-25,0.295051740024423,True
Gene54,0.0,0,-0.207195224066991,6,0.0,5.5511151231258e-17,0.474345265604216,True
Gene56,0.0,0,-0.178221483703785,6,0.0,7.6332289673888e-17,0.348902304634928,True
Gene59,0.0,0,-0.179342343496029,6,0.0,4.9036109542830996e-29,0.406158172701739,True
Gene6,0.0,0,-0.488719543191141,6,0.0,0.000106907171535,0.488817066092708,True
Gene60,0.0,0,-0.729670200549038,6,0.0,2.8048102546934687e-19,0.729670200549038,True
Gene62,0.0,0,-0.401200297617132,6,0.0,0.0031388605327058,0.401866302632411,True
Gene66,0.0,0,-0.296999811413629,6,0.0,7.866474215367237e-28,0.37592751509429,True
Gene68,0.0,0,-0.569351427816125,6,0.0,0.0,0.949228351793956,True
Gene69,0.0,0,-0.217556746733885,6,0.0,5.5511151231258e-17,0.392312565458658,True
Gene7,0.0,3,-0.38817234669675,6,0.0,1.1102230246251547e-16,0.568945557840663,True
Gene70,0.0,1,-0.703968734444385,6,0.0,0.0,0.901304402925161,True
Gene71,0.0,2,-0.714437422256282,6,0.0,0.0,1.09805481233215,True
Gene74,0.0,1,-0.34537550963881,6,0.0,6.175722872304249e-77,0.883398314351046,True
Gene75,0.0,2,-0.884815614941918,6,0.0,0.0,1.01562383941645,True
Gene76,0.0,0,-0.283872214194102,6,0.0,9.984981012112704e-17,0.407676876408725,True
Gene77,0.0,0,-0.218957277811189,6,0.0,3.491922276405511e-05,0.479586037963774,True
Gene78,0.0,0,-0.283653157050207,6,0.0,2.1718127836212495e-41,0.420701147042772,True
Gene80,0.0,0,-0.281026303343544,6,0.0,0.0015538437784005,0.281026303343544,True
Gene81,0.0,0,-0.466992620065815,6,0.0,0.0001271237755893,0.557046413432796,True
Gene82,0.0,0,-0.175112968999381,6,0.0,6.650519059560236e-08,0.235673684048632,True
Gene83,0.0,0,-0.266212303948416,6,0.0,5.638267630558854e-13,0.342495908082818,True
Gene85,0.0,0,-0.286884349200142,6,0.0,2.8494884209556572e-40,0.49131982703286,True
Gene87,0.0,0,-0.177218692525722,6,0.0,1.2227439125100932e-06,0.177257234997069,True
Gene90,0.0,0,-0.277212285523205,6,0.0,3.76351172448608e-11,0.281861788202617,True
Gene91,0.0,0,-0.509726336377733,6,0.0,9.113185218069126e-16,0.509810519356178,True
Gene92,0.0,0,-0.343059243026737,6,0.0,7.7097870557334e-113,1.09003117563897,True
Gene94,0.0,0,-0.221757511622192,6,0.0,1.3208656390911634e-11,0.237107666984229,True
Gene96,0.0,2,-0.748128280428126,6,0.0,0.0,0.918741163130941,True
Gene98,0.0,0,-0.205144041049905,6,0.0,1.2555686416773451e-117,0.48344891058074,True
Gene10,1.11253692946955e-308,0,1.05736671378984,6,1.11253692946955e-308,2.3834786177362464e-235,1.05736671378984,True
Gene79,7.57055553401554e-269,0,0.900673067062979,6,7.57055553401554e-269,4.2417122978991897e-159,0.967734286151748,True
Gene72,6.462704984536019e-265,0,0.825847408900981,6,6.462704984536019e-265,3.66392171792835e-119,0.825847408900981,True
Gene22,1.11525767987295e-157,1,0.833368103807839,6,1.11525767987295e-157,6.361521457254107e-85,0.833368103807839,True
Gene14,1.81819253629004e-138,0,0.540084527832065,6,1.81819253629004e-138,3.791845113863199e-05,0.540166597543442,True
Gene63,9.39315145829639e-125,0,0.480948333636421,6,9.39315145829639e-125,6.7649180867114e-22,0.480948333636421,True
Gene88,3.5659462748313696e-122,0,0.509221983469855,6,3.5659462748313696e-122,2.3728929453570328e-06,0.50922381381171,True
Gene49,2.2494905467458097e-103,0,0.48709118374391,6,2.2494905467458097e-103,4.171830526419325e-59,0.48709118374391,True
