gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.010410272,0.020841649,0.016356362,0.045073234,0.010115025,0.021054218,0.031645328,0.040005088,0.00397930806395707,0.631044901763347,0.00470005300773154,0.626481394132909,0.00375422001735263,0.674318634170519,0.00536982460544756,0.647402350694358,0.626481394132909,1
Gene10,0.28775465,-0.3267604,-0.55535597,-0.4275594,0.016682506,0.028527355,0.039004613,0.04698206,0.28822250310777,2.05661989656453e-67,-0.319904789171323,2.22044604925031e-16,-0.543774138559038,2.22044604925031e-16,-0.413840708344949,2.22044604925031e-16,2.05661989656453e-67,0
Gene100,0.023810523,-0.037548047,0.032122765,0.029828168,0.009867964,0.021342611,0.028796028,0.03932911,0.0158688943513418,0.191196865002926,-0.0173224740312649,0.206711654317124,0.0123418708300796,0.331703888855303,0.0106859042527968,0.378296822059592,0.191196865002926,0
Gene11,-0.24936895,0.42065656,0.52677494,0.5064472,0.014973779,0.029230399,0.036377564,0.041964546,-0.249995182843756,0,0.413037899178286,3.53590117456994e-46,0.516231124820605,1.19287434538621e-46,0.493685063328612,8.20596305153546e-33,0,0
Gene12,0.051418807,0.02557404,0.060912393,0.013417183,0.01094049,0.021962458,0.029889844,0.039844338,0.0463145747875873,2.22996771396846e-05,0.0349607085544938,0.0273728918469857,0.0433356411003305,0.0172504911444024,0.0339151329745228,0.0530202593111388,2.22996771396846e-05,0
Gene13,0.048529323,0.029101206,0.025536513,0.015027695,0.010685432,0.022874393,0.030921418,0.040371265,0.0425360273055753,0.000126979760731214,0.0339648080976378,0.0412487771946402,0.0336194688471115,0.0508183478422658,0.0319545617126129,0.0701582191445265,0.000126979760731214,0
Gene14,0.03946299,0.053200666,0.08446782,0.034514677,0.009561286,0.020984728,0.02891777,0.03631053,0.0393340031652231,4.14685082996911e-05,0.0406507164492847,0.00258109824330979,0.0452564824868756,0.00201627829000899,0.0345866583794192,0.0287368585246659,4.14685082996911e-05,0
Gene15,0.05219942,-0.48149562,0.73030007,-0.43245152,0.0100928275,0.023888845,0.039994266,0.052694123,0.052529184971308,9.42907331360669e-08,-0.479389986497719,0,0.726189626294604,2.2680149035156e-75,-0.426553203148439,1.11022302462516e-16,0,1
Gene16,0.016221924,-0.013843403,0.00459237,0.6606575,0.010210678,0.0212812,0.032329686,0.04401198,4.98311251220167e-05,0.997010816711011,-5.32502210714328e-05,0.997496883261045,1.47833665676146e-06,0.998386890008155,0.656626885940796,7.92531969686255e-53,7.92531969686255e-53,3
Gene17,0.06573801,-0.015537398,-0.04539496,0.0059138313,0.010738704,0.022090733,0.031899042,0.03866414,0.0580555434957978,3.70372195640119e-07,0.00556987798464845,0.65143820097693,0.00448296142101913,0.674033173275178,0.0121563637585831,0.594710900951364,3.70372195640119e-07,0
Gene18,0.06256493,0.11931552,0.788318,0.03093272,0.010682619,0.022808276,0.034270324,0.045549158,0.0622079526415248,2.8096014118711e-09,0.116358111849525,1.44648203185442e-07,0.779916266640422,1.15060496129164e-116,0.0245344789663536,0.293118931257753,1.15060496129164e-116,2
Gene19,-0.0005138595,-0.079168275,-0.039998733,-0.029722134,0.010692415,0.022143595,0.030953346,0.039844003,-0.00153249842327735,0.784177837311292,-0.0504539186937797,0.0301554596272642,-0.00578044103398043,0.730339736821463,-0.00423902355883629,0.758828756084938,0.0301554596272642,1
Gene2,0.01887065,0.057481978,0.6525367,0.06567785,0.010935561,0.021378366,0.031420212,0.041570995,0.00128037920519654,0.934200709112835,0.00380866684808467,0.931467140534197,0.616745541453083,1.24573046033875e-96,0.004179343502972,0.935986459190099,1.24573046033875e-96,2
Gene20,0.01956153,0.02996611,0.06644186,0.031737503,0.011026279,0.021615883,0.030268379,0.04144971,0.0177304329872591,0.147513400998007,0.0184611220542189,0.177202985628467,0.0236823058004025,0.157542898078092,0.0170409762536772,0.22751838715571,0.147513400998007,0
Gene21,0.031848546,0.06805283,0.03934288,0.03073277,0.01033354,0.02092489,0.029659932,0.036713585,0.0316186583654035,0.00571750188172344,0.0425853811245517,0.00269343791764192,0.0317923454668953,0.0297268860324684,0.0289702598658293,0.0560361300597342,0.00269343791764192,1
Gene22,0.07465373,0.49345312,0.08191496,0.0017257471,0.010822318,0.024506446,0.034974944,0.04425083,0.0743409147271979,1.6086202915359e-10,0.490173378906041,1.57677271997188e-90,0.0793782159454249,0.0109865395538732,-0.00135845338216832,0.487614705647739,1.57677271997188e-90,1
Gene23,-0.16846485,0.3143699,0.4359831,0.39153105,0.011700547,0.025246963,0.03334046,0.041108824,-0.168910395113942,0,0.309372915062666,4.13888836530489e-35,0.428384398421416,1.97843478645012e-38,0.381722478758577,4.02869849563833e-21,0,0
Gene24,0.024537822,0.0034723291,0.063347936,0.050088655,0.009706475,0.02148813,0.031003643,0.03878737,0.0200504145465205,0.0836549597365054,0.00891331642786461,0.319711597049719,0.0231367122123957,0.133327686472425,0.0191124344937208,0.181839977165336,0.0836549597365054,0
Gene25,0.019789271,0.07733103,0.0395771,0.040077817,0.010812628,0.022797395,0.0315704,0.03905412,0.0179419502413458,0.165218499872477,0.0405475430360077,0.0268515883523816,0.02140060993869,0.203104270988211,0.0200545789231603,0.226807193208939,0.0268515883523816,1
Gene26,0.06351636,0.06180591,0.07236441,0.11277551,0.009788089,0.021403631,0.030012976,0.039700612,0.0561070231578262,4.83220192240107e-09,0.0503273679808725,0.00174948801558566,0.0515891700027763,0.00237206492269343,0.0552744283178476,0.00206246181649227,4.83220192240107e-09,0
Gene27,0.03810528,0.040567484,0.065836295,-0.0061858054,0.010726723,0.01992744,0.030438572,0.03972058,0.0378728159088763,0.000444447991599287,0.0376146271871502,0.0055121513258164,0.0412477859647999,0.00646489182960549,0.0278294771122866,0.0789078722915338,0.000444447991599287,0
Gene28,-0.019874739,-0.026085319,-0.009115478,-0.006245819,0.011342583,0.022387393,0.030826485,0.038719203,-0.0134633557941506,0.287062021800381,-0.0145780085525199,0.299911557388001,-0.0112225084163701,0.377607630228576,-0.0107621829557986,0.391900035563124,0.287062021800381,0
Gene29,-0.0031915172,-0.014529255,0.012629689,-0.029955534,0.010251348,0.020992894,0.028735599,0.036913037,-0.000609196512806222,0.800401255962904,-0.00189518082138356,0.753316267073447,0.000720869814623565,0.817650935801759,-0.00210716197471028,0.779195377746555,0.753316267073447,1
