gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.010410272,0.020841649,0.016356362,0.045073234,0.010115025,0.021054218,0.031645328,0.040005088,0.00783724742870078,0.275286990254833,0.00920964131965923,0.231236732356449,0.0074811943707736,0.340644330399765,0.0097741598325641,0.30215484026147,0.231236732356449,1
Gene10,0.28775465,-0.3267604,-0.55535597,-0.4275594,0.016682506,0.028527355,0.039004613,0.04698206,0.287632580855841,2.91206668874069e-67,-0.322687739286286,0,-0.548467244437362,0,-0.41920856582644,0,0,1
Gene100,0.023810523,-0.037548047,0.032122765,0.029828168,0.009867964,0.021342611,0.028796028,0.03932911,0.0143631411373637,0.265307885852391,-0.0207049010273693,0.176518517798708,0.011237057299709,0.392295495382185,0.00977354883072945,0.433417121958462,0.176518517798708,1
Gene11,-0.24936895,0.42065656,0.52677494,0.5064472,0.014973779,0.029230399,0.036377564,0.041964546,-0.24955232254785,0,0.41581529686499,1.23446745211139e-46,0.520511380150345,3.94348276909209e-47,0.498561563016043,2.86467920945641e-33,0,0
Gene12,0.051418807,0.02557404,0.060912393,0.013417183,0.01094049,0.021962458,0.029889844,0.039844338,0.0461107069507894,5.10931037099731e-06,0.0370436805531058,0.0254291231353834,0.043611699196495,0.0174001471886964,0.0362112033632839,0.0457484306678628,5.10931037099731e-06,0
Gene13,0.048529323,0.029101206,0.025536513,0.015027695,0.010685432,0.022874393,0.030921418,0.040371265,0.0422914732757452,2.59396093685953e-05,0.0355232046933833,0.0386365575928596,0.0352627615399731,0.0458587900958597,0.0340110111840055,0.0604126110455014,2.59396093685953e-05,0
Gene14,0.03946299,0.053200666,0.08446782,0.034514677,0.009561286,0.020984728,0.02891777,0.03631053,0.0396733388533035,1.56797918277661e-05,0.040652773550652,0.00209844681315941,0.044090823798384,0.00167928957019611,0.0361479943092731,0.021650821311262,1.56797918277661e-05,0
Gene15,0.05219942,-0.48149562,0.73030007,-0.43245152,0.0100928275,0.023888845,0.039994266,0.052694123,0.0523665240879757,1.02363009960502e-07,-0.479547999957175,0,0.726987804737414,4.85144393974435e-75,-0.42973104372484,0,0,1
Gene16,0.016221924,-0.013843403,0.00459237,0.6606575,0.010210678,0.0212812,0.032329686,0.04401198,5.31943101059891e-05,0.996812924917954,-5.34336114014972e-05,0.997380024056257,3.20266528745494e-06,0.998260624922207,0.656629238813016,1.26051210329766e-52,1.26051210329766e-52,3
Gene17,0.06573801,-0.015537398,-0.04539496,0.0059138313,0.010738704,0.022090733,0.031899042,0.03866414,0.0588115300444951,9.10257589237247e-08,0.00403423604396235,0.711342697495805,0.00213315219255446,0.734877470467104,0.00997303159550798,0.655226172177903,9.10257589237247e-08,0
Gene18,0.06256493,0.11931552,0.788318,0.03093272,0.010682619,0.022808276,0.034270324,0.045549158,0.0621804809122978,2.80334662758928e-09,0.11744965478125,1.16759656854003e-07,0.782611937705705,6.4438508857702e-117,0.0266344155340741,0.277753837659465,6.4438508857702e-117,2
Gene19,-0.0005138595,-0.079168275,-0.039998733,-0.029722134,0.010692415,0.022143595,0.030953346,0.039844003,-0.0010259225300739,0.859338589752549,-0.0531875275806339,0.00369121629467661,-0.00373575259391142,0.825230899855802,-0.00275743538422012,0.843138696128535,0.00369121629467661,1
Gene2,0.01887065,0.057481978,0.6525367,0.06567785,0.010935561,0.021378366,0.031420212,0.041570995,0.00254531266507716,0.868939160716608,0.0076937208186614,0.863394478189754,0.619127270653239,1.96436100880666e-96,0.00847810085092557,0.872026753249183,1.96436100880666e-96,2
Gene20,0.01956153,0.02996611,0.06644186,0.031737503,0.011026279,0.021615883,0.030268379,0.04144971,0.0202125116521186,0.0403305436357058,0.0208687826071705,0.0606729189736356,0.0251571956632621,0.0508401072750005,0.0196004974426919,0.10923491971024,0.0403305436357058,0
Gene21,0.031848546,0.06805283,0.03934288,0.03073277,0.01033354,0.02092489,0.029659932,0.036713585,0.0320600438504743,0.00688377802343632,0.0409305539155967,0.00143240867375842,0.0321977325139187,0.0262423443343038,0.0299492406148318,0.0472314959582218,0.00143240867375842,1
Gene22,0.07465373,0.49345312,0.08191496,0.0017257471,0.010822318,0.024506446,0.034974944,0.04425083,0.0743429431644363,2.79661914246823e-10,0.490537079856587,2.87933513722344e-90,0.0809750076396562,0.0099401789607991,0.00113259425979189,0.489707522108023,2.87933513722344e-90,1
Gene23,-0.16846485,0.3143699,0.4359831,0.39153105,0.011700547,0.025246963,0.03334046,0.041108824,-0.168706435531116,0,0.31083946158255,2.85260815611498e-35,0.43087508295841,1.26438544721686e-38,0.38465932907611,2.67334882182617e-21,0,0
Gene24,0.024537822,0.0034723291,0.063347936,0.050088655,0.009706475,0.02148813,0.031003643,0.03878737,0.0211176025295127,0.0270683129108791,0.0111746354694946,0.236044393088425,0.0237068918290322,0.0754704550099068,0.0202096377418558,0.117504414460939,0.0270683129108791,0
Gene25,0.019789271,0.07733103,0.0395771,0.040077817,0.010812628,0.022797395,0.0315704,0.03905412,0.0171750514871075,0.217667885609578,0.0405125217065766,0.00455024493897396,0.0199934822548854,0.248646301650583,0.0189054748011605,0.267857394990818,0.00455024493897396,1
Gene26,0.06351636,0.06180591,0.07236441,0.11277551,0.009788089,0.021403631,0.030012976,0.039700612,0.0559443094662506,8.93112640898216e-10,0.0518586266941725,0.00155739215886994,0.0527572052366313,0.00200814204689471,0.0553964505473951,0.00177851309633045,8.93112640898216e-10,0
Gene27,0.03810528,0.040567484,0.065836295,-0.0061858054,0.010726723,0.01992744,0.030438572,0.03972058,0.0381469619521946,0.000225586944407272,0.0379347577820588,0.00461225824558702,0.0407575419311562,0.00537442877412168,0.0303606845797745,0.0618252486932838,0.000225586944407272,0
Gene28,-0.019874739,-0.026085319,-0.009115478,-0.006245819,0.011342583,0.022387393,0.030826485,0.038719203,-0.0171026560519703,0.0963304184097472,-0.0185691245601954,0.0868665283813646,-0.0149546658034284,0.184413056802819,-0.0145260390426244,0.197484988252441,0.0868665283813646,1
Gene29,-0.0031915172,-0.014529255,0.012629689,-0.029955534,0.010251348,0.020992894,0.028735599,0.036913037,-0.00139577363205716,0.541587876564937,-0.00431736285063573,0.399620950656656,0.000871280530921173,0.605315151377721,-0.00397434328859494,0.507762649998383,0.399620950656656,1
Gene3,-0.016292635,-0.38809386,0.00089009764,0.82976985,0.010178729,0.02571382,0.035131384,0.04822952,-0.016784758122842,0.0493871213337582,-0.388734017345218,0,-0.00324671094352864,0.463012305715097,0.817825019006372,9.40467213857181e-66,0,1
Gene30,-0.021717213,-0.017464986,0.00858851,-0.023113647,0.010695674,0.023357922,0.03272652,0.040125042,-0.0167592912240077,0.0820640904781854,-0.0150467880014205,0.140655898537084,-0.0115601540935901,0.240282873083787,-0.0149576475252109,0.18426889687044,0.0820640904781854,0
Gene31,-0.010369421,-0.0055254544,-0.0016876758,0.022034777,0.010164204,0.021076698,0.030865507,0.040482596,-0.00874919645680277,0.249315672337681,-0.00880013853954799,0.24424895337675,-0.00752129307052735,0.339536416680593,-0.00520489717937945,0.382625868398631,0.24424895337675,1
