guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.07946051,0.090650976,0.083343215,0.11266207,0.02121844,0.029190259,0.037176494,0.046178397,0.0760067157710456,0.000222081607229693,0.0760042642257984,0.000352273819344548,0.076001862608214,0.000355390906305398,0.0760108812136274,0.000355063623760792,0.000222081607229693,0
g10,Gene10,0.8770585,0.2615416,0.033749964,0.16226491,0.026676582,0.035529274,0.043521974,0.051588353,0.873544941940537,5.61128949832112e-237,0.260424221622472,3.6816511525857e-13,0.0353641292169864,0.206834020033079,0.160899477003673,0.000835933743562106,5.61128949832112e-237,0
g100,Gene100,-0.08808882,-0.14863478,-0.078808434,-0.07953515,0.023143148,0.02998381,0.03686314,0.045039307,-0.0999112872978244,2.67224957201107e-05,-0.100343295167958,5.03585498290438e-06,-0.0998416332161977,0.000147741157893511,-0.0998442451261688,0.00031412414878107,5.03585498290438e-06,1
g101,Gene1,0.3362856,0.34747645,0.34016842,0.36948702,0.020959245,0.028918749,0.036485408,0.045761377,0.331013407522674,2.30478612166742e-61,0.331017333077565,2.1338287126985e-36,0.331014124350283,3.44184955778027e-24,0.33102499266188,2.18769082993389e-19,2.30478612166742e-61,0
g102,Gene2,-0.0093196295,0.030288476,0.62195855,0.037192598,0.020766119,0.027851298,0.0356051,0.043483887,-0.000172897700473542,0.987284284946414,0.000553067158465666,0.983806702551426,0.592492434788119,6.47099940052255e-70,0.000668915394102178,0.984954231861509,6.47099940052255e-70,2
g103,Gene3,0.052329943,-0.3191552,0.07017579,0.89945227,0.021561949,0.030701907,0.03889194,0.05122309,0.0500492497122318,0.00999474936110101,-0.320883969758589,1.11022302462516e-16,0.0658865898766613,0.0442793234595125,0.886933082405644,2.37208133312401e-68,2.37208133312401e-68,3
g104,Gene4,-0.013516382,-0.017658276,0.010055102,-0.022561058,0.020439688,0.027541343,0.034589197,0.04234968,-0.00420779397271788,0.63708705032347,-0.00419655385051495,0.641507023170747,-0.00402048411565335,0.641891736998563,-0.00426218176190554,0.63805711121843,0.63708705032347,0
g105,Gene5,-0.10906749,-0.1292861,-0.12570707,-0.14907576,0.02193418,0.030223504,0.038991004,0.04720942,-0.108469471290123,1.23872818891257e-07,-0.108477275535017,1.32671745833868e-06,-0.108475650233578,1.59758497653151e-06,-0.108484712725516,1.677288692159e-06,1.23872818891257e-07,0
g106,Gene6,-0.4739206,-0.51287353,-0.51786786,-0.46926275,0.023765871,0.030588,0.037796065,0.04454674,-0.488736685784858,0,-0.488804563009818,0,-0.488811686104882,0,-0.4887206983851,0,0,0
g107,Gene7,-0.17541464,-0.1636107,-0.15261716,-0.5764607,0.019973934,0.026123375,0.031887993,0.0397049,-0.173762195071524,0,-0.161465879164908,2.82897483216971e-10,-0.149930236590985,1.16555340190505e-06,-0.569960471950349,0,0,0
