guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.07946051,0.090650976,0.083343215,0.11266207,0.02121844,0.029190259,0.037176494,0.046178397,0.0759957723951721,6.65436711217472e-05,0.0759850296772971,0.00041027133909525,0.0759816627166097,0.00044411693488538,0.0759913556661086,0.000443415183452508,6.65436711217472e-05,0
g10,Gene10,0.8770585,0.2615416,0.033749964,0.16226491,0.026676582,0.035529274,0.043521974,0.051588353,0.873074915495333,6.11630691804327e-237,0.261515149748539,6.90951822736841e-13,0.0372336248830782,0.19508622508774,0.163229270714333,0.000735367591420185,6.11630691804327e-237,0
g100,Gene100,-0.08808882,-0.14863478,-0.078808434,-0.07953515,0.023143148,0.02998381,0.03686314,0.045039307,-0.0998786961480156,8.76680095353022e-05,-0.10034545644377,5.24090071074568e-06,-0.0998031218066541,0.000221270184452727,-0.0998059825199163,0.000399717499637631,5.24090071074568e-06,1
g101,Gene1,0.3362856,0.34747645,0.34016842,0.36948702,0.020959245,0.028918749,0.036485408,0.045761377,0.330993815321373,2.58460057127621e-61,0.330998128210592,2.13444226525366e-36,0.33099460515795,3.83642087137012e-24,0.331006557517983,2.35033006460279e-19,2.58460057127621e-61,0
g102,Gene2,-0.0093196295,0.030288476,0.62195855,0.037192598,0.020766119,0.027851298,0.0356051,0.043483887,-0.000276562570931371,0.980163540240787,0.000849949440004249,0.974983549075334,0.592754977510497,7.68999114700371e-70,0.000998377236123712,0.976949907046493,7.68999114700371e-70,2
g103,Gene3,0.052329943,-0.3191552,0.07017579,0.89945227,0.021561949,0.030701907,0.03889194,0.05122309,0.0490104339734162,0.0112524078213404,-0.322098529077734,1.11022302462516e-16,0.063033801901479,0.0511460298173903,0.881288914344239,5.2813867281909e-68,5.2813867281909e-68,3
g104,Gene4,-0.013516382,-0.017658276,0.010055102,-0.022561058,0.020439688,0.027541343,0.034589197,0.04234968,-0.00676549204280253,0.402017556664663,-0.00729559255501793,0.386372163141436,-0.00631957657711353,0.439068211877563,-0.00667567967396121,0.43297503133709,0.386372163141436,1
g105,Gene5,-0.10906749,-0.1292861,-0.12570707,-0.14907576,0.02193418,0.030223504,0.038991004,0.04720942,-0.108449710687718,5.46581259142087e-08,-0.10845796734623,2.51837594456017e-06,-0.10845620016599,2.84687200746703e-06,-0.108465869125531,2.9307020504854e-06,5.46581259142087e-08,0
g106,Gene6,-0.4739206,-0.51287353,-0.51786786,-0.46926275,0.023765871,0.030588,0.037796065,0.04454674,-0.488719543191141,0,-0.488807174011652,0,-0.488817066092708,0,-0.488700513128877,0,0,0
g107,Gene7,-0.17541464,-0.1636107,-0.15261716,-0.5764607,0.019973934,0.026123375,0.031887993,0.0397049,-0.173681731879563,2.22044604925031e-16,-0.161211003651471,2.98393532105479e-10,-0.14916327230192,1.3048027570628e-06,-0.568945557840663,2.22044604925031e-16,2.22044604925031e-16,0
g108,Gene8,-0.1590457,-0.20223951,-0.2036272,-0.15514277,0.020148514,0.02935336,0.037824932,0.04481355,-0.174005706644167,2.22044604925031e-16,-0.174059780593745,1.35003119794419e-13,-0.174060813821832,5.49966738816465e-11,-0.173998096916617,3.88353790681251e-07,2.22044604925031e-16,0
g109,Gene9,0.22417846,0.02967884,-0.07289634,0.029854001,0.020636009,0.029225955,0.037316527,0.044211786,0.221127869925412,7.75575393983652e-28,0.0261034216614621,0.262322922998515,-0.0619936048596581,0.154939542002108,0.0264611445345551,0.342891242310746,7.75575393983652e-28,0
g11,Gene11,-0.7821699,-0.11249247,-0.006955057,-0.027798664,0.02441381,0.034253903,0.040203054,0.04726681,-0.77731735923308,0,-0.103932771695335,0.0824386448691884,-0.00914258954270825,0.450761460870987,-0.0270112219061471,0.325760191210915,0,0
g110,Gene10,1.0617708,0.44625413,0.2184624,0.34697753,0.027799092,0.037200868,0.044414297,0.052564215,1.05736671378984,1.11253692946955e-308,0.446184650491969,2.63560786848362e-30,0.221896324991272,2.63695773167255e-07,0.348015106313143,1.53835264584052e-11,1.11253692946955e-308,0
g111,Gene11,-0.6893448,-0.019666977,0.08587044,0.065026894,0.022851136,0.034591362,0.040080227,0.047588315,-0.689703705592383,0,-0.0100336737151111,0.657369476486482,0.0381514297269861,0.542494187442279,0.0288005179233542,0.577751028020845,0,0
g112,Gene12,0.26598462,0.23831874,0.27405006,0.22764327,0.019449672,0.027864615,0.035087362,0.04259077,0.267611405596349,1.11293508745229e-45,0.267579930400691,1.04801428925878e-20,0.267618640901007,3.97416271038753e-18,0.267566619203026,6.12814376241329e-11,1.11293508745229e-45,0
g113,Gene13,0.031555384,0.012431997,0.008543433,0.0003190644,0.020218039,0.028249176,0.034903534,0.04384283,0.0274519811561475,0.0819438192766093,0.0253952886100969,0.146440131966396,0.0254019345876979,0.156534638190643,0.0251832371935829,0.157144781459172,0.0819438192766093,0
