gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.0595306,0.07181853,0.06092857,0.087403625,0.014895793,0.02386729,0.03350418,0.04185805
Gene10,0.82047635,0.27294326,0.02082763,0.14601992,0.025493233,0.034438863,0.044087492,0.05051374
Gene100,0.06245807,-0.001320765,0.06409045,0.06456927,0.015220576,0.023496082,0.030253429,0.040246133
Gene11,-0.743974,-0.10089239,0.024583207,-0.0023765848,0.02317283,0.034714162,0.040994003,0.04585846
Gene12,0.14001885,0.119351976,0.15343441,0.097893186,0.016369788,0.024758585,0.03224941,0.04161046
Gene13,0.132992,0.11818654,0.106085315,0.102647364,0.01545163,0.025665523,0.03356341,0.04247725
Gene14,0.15066394,0.16748318,0.19704612,0.14749782,0.014442239,0.023179404,0.030764982,0.03764828
Gene15,0.1336593,-0.39253956,0.82100374,-0.34408477,0.01558734,0.027237736,0.04237417,0.054165553
Gene16,0.04849759,0.017841032,0.039034657,0.6853559,0.015186635,0.02505258,0.034963023,0.046324473
Gene17,0.1837044,0.11018173,0.07054222,0.12089895,0.015546024,0.024157705,0.03338701,0.039474234
Gene18,0.17773828,0.23579198,0.8921962,0.14411387,0.015930748,0.025680907,0.036334503,0.046784878
Gene19,-0.06882707,-0.13625444,-0.09553024,-0.09189641,0.015766082,0.025000283,0.033735786,0.041602094
Gene2,0.058538,0.09944639,0.68858546,0.106497206,0.01585186,0.023829298,0.03348453,0.043336138
Gene20,0.041609127,0.049408995,0.082058914,0.04756536,0.016678305,0.024971131,0.03218273,0.042589154
Gene21,0.074370354,0.10623869,0.0707034,0.063431405,0.015173379,0.02407737,0.031969562,0.038822897
Gene22,0.22860567,0.65670776,0.23569705,0.14990889,0.017685506,0.028790241,0.038177144,0.04717293
Gene23,-0.5053965,-0.048587088,0.09668639,0.0459083,0.018564617,0.029128045,0.0365658,0.04446829
Gene24,0.103238404,0.08947225,0.15034744,0.13467498,0.014894425,0.023944033,0.032771632,0.04014974
Gene25,0.025406286,0.084238105,0.0450875,0.04504438,0.015539923,0.025110152,0.03365116,0.041282818
Gene26,0.16763239,0.15647519,0.17937519,0.20806573,0.014810895,0.024771923,0.032577977,0.041775085
Gene27,0.16192241,0.16784433,0.1827614,0.11849144,0.016560683,0.02398015,0.032863878,0.04161319
Gene28,-0.04356242,-0.039354425,-0.021737913,-0.017232332,0.017247139,0.025133261,0.03325985,0.040253956
Gene29,-0.03112807,-0.044182967,-0.021290613,-0.058688466,0.015109703,0.02341684,0.030737767,0.03813429
Gene3,-0.06997237,-0.4376273,-0.041163955,0.7843569,0.015769945,0.029078934,0.038091242,0.05035375
Gene30,-0.08375103,-0.07784312,-0.05155393,-0.08500679,0.01616282,0.02717945,0.035337407,0.042037446
Gene31,-0.0406601,-0.027283745,-0.02343982,-0.0046228683,0.015166517,0.024226544,0.033788368,0.042408947
Gene32,0.03350024,0.024261354,0.08041385,0.4885761,0.015879478,0.024178479,0.031839646,0.042154867
Gene33,0.110610634,0.13282329,0.099002674,0.054392196,0.015256857,0.024149114,0.033125747,0.04087026
Gene34,0.098187,0.08947683,-0.35589504,0.10501708,0.016499417,0.02442816,0.03293932,0.04197788
Gene35,0.089942895,0.08908663,0.08828225,0.075368926,0.01466023,0.023579901,0.03186191,0.041512407
Gene36,0.06395522,0.096197985,0.042489924,-0.18977684,0.014292712,0.022370283,0.031283733,0.04152175
Gene37,0.13140512,0.434445,0.07417389,0.055482835,0.016165579,0.026934473,0.036337633,0.043629736
Gene38,-0.018012114,-0.051288597,-0.09197647,-0.045572083,0.014729617,0.023936205,0.031186944,0.040675454
Gene39,0.034643788,0.08562713,0.104532406,0.07639835,0.014519966,0.02421565,0.033715766,0.042095322
Gene4,-0.020471606,-0.033339612,0.0008122234,-0.03457812,0.01504011,0.02403763,0.03174244,0.039378934
Gene40,0.12623794,0.11380493,0.096360035,0.13185793,0.015845615,0.024607353,0.03282368,0.04118725
Gene41,0.12412312,0.19170275,0.21377952,0.19510885,0.0141973635,0.02373709,0.033118177,0.041321594
Gene42,-0.1099268,-0.08522283,-0.09311744,-0.08521941,0.015767628,0.02398244,0.033145808,0.043102317
Gene43,-0.07479437,-0.1132847,-0.054548413,-0.10608049,0.014609194,0.022403197,0.030422483,0.038608
Gene44,0.13163923,0.13897407,0.35622203,0.1271011,0.0146412235,0.022863176,0.032281447,0.03863021
Gene45,-0.05857311,-0.035820235,-0.05670164,-0.052915454,0.0138916625,0.022705374,0.03135234,0.039277095
Gene46,0.032191806,-0.70040095,0.045670222,0.0972515,0.015444536,0.029970683,0.04028015,0.048237983
Gene47,-0.017176397,0.393116,-0.047414172,-0.07060297,0.01611862,0.026773466,0.03639495,0.044033393
Gene48,0.017339991,-0.0021528644,-0.021152109,0.009350669,0.014750675,0.023453055,0.031157926,0.039471887
Gene49,0.36967254,0.12796362,0.0726655,0.06291523,0.016507892,0.025759092,0.033892695,0.041307174
