gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene1,6,0,,,False,0.09354644382366949,0.0,,0.0,6.632950855234301e-10,0.05560035416738455,0.0059033293330946176,0.0,0.06959388802554985,0.006280299184953139,0.0,0.07151319684181308,0.006570433542631812,0.0,0.09354644382366949,0.006973338404359769,0.0
Gene10,6,0,0.0,"d0,d1",True,0.8181861146665451,0.0,0.0,1.0936929654925e-136,7.861231208027626e-87,0.8181861146665451,0.016858739443577946,0.0,0.2673696846295792,0.021844306003847607,0.0,0.015181697896058232,0.027374169665990634,0.2895843519626255,0.139124979166075,0.03109869355351132,3.844599946178917e-06
Gene100,6,0,,,False,0.04476519298254323,3.547129470149457e-07,,3.44815026793783e-10,0.0006698182040669042,0.04476519298254323,0.009027487643925665,3.547129470149457e-07,-0.017369463391420474,0.012190350164692432,0.07709977329538198,0.03992799620754721,0.014873905741823007,0.003632652450026308,0.0350811150762705,0.01859094524187954,0.029580157743300473
Gene11,6,0,0.0,d0,True,0.7375197407605018,0.0,0.0,0.0,0.0,-0.7375197407605018,0.01562092079385461,0.0,-0.09703294289501731,0.02203637907426709,5.33065577412728e-06,0.0281620876026822,0.025634009357911016,0.135966480498943,0.0006375701574386832,0.028447988441631197,0.4910597404271909
Gene12,6,0,2.0,d2,True,0.22339517204551193,0.0,0.0,2.19140778138008e-43,2.637489071412924e-06,0.16243741136498557,0.008806827114999168,0.0,0.1613139757558874,0.011950705785601342,0.0,0.22339517204551193,0.012057619424972658,0.0,0.16311002354477427,0.017327706835038294,0.0
Gene13,6,0,,,False,0.1888376122761662,0.0,,5.17965347325854e-54,0.006814192841712922,0.14341522057833153,0.006062091449167398,0.0,0.16285683383081226,0.006812428272415994,0.0,0.1791120342579887,0.0074508366287119225,0.0,0.1888376122761662,0.007846687831374924,0.0
Gene14,6,0,1.0,"d1,d2,d3",True,0.23437209086024086,0.0,0.0,5.2251637054648396e-79,0.018980786547472702,0.16849060858676998,0.008206939794092238,0.0,0.2083940177842894,0.010628233294452345,0.0,0.2292905040173113,0.013406670768459994,0.0,0.23437209086024086,0.014709709669345592,0.0
Gene15,6,0,1.0,"d1,d2,d3",True,0.8187048571733114,0.0,0.0,0.0,9.905235142920651e-59,0.13553165669764,0.011628500649037218,0.0,-0.39220589875962236,0.01773169628466635,0.0,0.8187048571733114,0.026305732510209325,0.0,-0.34428154241877984,0.03314251761421288,0.0
Gene16,6,3,3.0,d3,True,0.6679549165314573,0.0,0.0,2.58995602604366e-29,6.555791005414541e-22,0.04075307258006715,0.011572983832534972,0.0002146395581597016,0.008618593240527335,0.016506555550424875,0.30078937451454313,0.02696136750621753,0.02204222059517479,0.11063287943213368,0.6679549165314573,0.02862574346231013,0.0
Gene17,6,0,,,False,0.171340951283048,0.0,,1.02916174054241e-37,5.5424217093318625e-11,0.171340951283048,0.010225608554203939,0.0,0.10267783708057164,0.014093698562108417,1.6042722705833512e-13,0.06575221943769759,0.0184045325816568,0.00017672038639432452,0.11041637443773142,0.021119143368911904,8.555634178897265e-08
Gene18,6,0,1.0,"d1,d2",True,0.8852629074039883,0.0,0.0,0.0,5.77005265319915e-70,0.18800125697114534,0.011983614458536816,0.0,0.2376014169553469,0.017069567219846694,0.0,0.8852629074039883,0.023049822753089387,0.0,0.13455016487492855,0.029081921654508902,1.858665451992536e-06
Gene19,6,1,,,False,0.10078297511472187,1.7696955012524995e-13,,0.0,0.00024602559718629795,-0.040981782342609845,0.009990979805340437,2.0490498890635145e-05,-0.10078297511472187,0.013858949714647828,1.7696955012524995e-13,-0.05886944794955418,0.017534807868199116,0.00039355150455944177,-0.05262095108039423,0.02071219355228283,0.0055334642968378756
