gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene1,6,0,,,False,0.09364593531597076,0.0,,0.0,4.815866039287186e-10,0.05551404661528511,0.005863707247315316,0.0,0.069443134032559,0.006256319877706379,0.0,0.07161898891597734,0.0065956684181287355,0.0,0.09364593531597076,0.006973555141311776,0.0
Gene10,6,0,0.0,"d0,d1",True,0.8204293546397446,0.0,0.0,3.04833446906775e-137,3.3699577982258897e-87,0.8204293546397446,0.01692675429749314,0.0,0.27064529441994145,0.02193022323703533,0.0,0.019651226335980095,0.027478709184495777,0.23726012020060572,0.14429518994574786,0.03121325756158289,1.892229960498426e-06
Gene100,6,0,,,False,0.04424186359242287,3.978269348392516e-07,,2.89273588580121e-10,0.0006377947724684533,0.04424186359242287,0.008962318805076943,3.978269348392516e-07,-0.01761928309520361,0.012090991447119177,0.07252727687765903,0.03926247418669172,0.01474456472907256,0.0038741675073598048,0.034381902191372375,0.018387699859924864,0.03075360355950707
Gene11,6,0,0.0,d0,True,0.7384720271817259,0.0,0.0,0.0,0.0,-0.7384720271817259,0.015629279668792524,0.0,-0.09904215389774851,0.022044888791127277,3.515480406002247e-06,0.025566627962358937,0.025641944187276385,0.15936702078615161,-0.0024171917571884187,0.028452515355153023,0.4661484668860244
Gene12,6,0,2.0,d2,True,0.22207372270583803,0.0,0.0,2.14567533025501e-43,2.2533087383428127e-06,0.16042308858064658,0.008767254317260975,0.0,0.1583982210628791,0.011908092053482113,0.0,0.22207372270583803,0.012009650071223994,0.0,0.15989462679758365,0.017277849369894162,0.0
Gene13,6,0,2.0,"d2,d3",True,0.21386931308463564,0.0,0.0,4.8401461261628104e-54,0.005032486765556551,0.16321359878241348,0.006434929041214112,0.0,0.18641896971654992,0.007252512191135838,0.0,0.2041789053054823,0.007911165039346354,0.0,0.21386931308463564,0.008298243002504374,0.0
Gene14,6,0,2.0,"d2,d3",True,0.2259147167215572,0.0,0.0,5.02117542860948e-79,0.01827612134692195,0.16405200920935478,0.008195825797690126,0.0,0.1995549281764639,0.010701932443187527,0.0,0.21601652500640234,0.013610954590875439,0.0,0.2259147167215572,0.014800528724226426,0.0
Gene15,6,0,1.0,"d1,d2,d3",True,0.8182072576321032,0.0,0.0,0.0,3.313853417116385e-59,0.13604025385185065,0.011316599109842989,0.0,-0.39198735941930984,0.017271643373278214,0.0,0.8182072576321032,0.025612913152187396,0.0,-0.34769925659958223,0.03225156308231719,0.0
Gene16,6,3,3.0,d3,True,0.661468267943621,0.0,0.0,3.79567418896043e-29,9.041723406191193e-22,0.0372996824414854,0.011617116117103624,0.0006619399499505074,0.004590057785661452,0.01655626389412264,0.39079793260243273,0.021908383173462657,0.022109305555882523,0.1608641989733035,0.661468267943621,0.028706894823749277,0.0
Gene17,6,0,,,False,0.17372556745607354,0.0,,9.32284641158938e-38,4.4203503760137074e-11,0.17372556745607354,0.010143945676417932,0.0,0.10533695610273171,0.01397290423304518,2.375877272697835e-14,0.06830564508509698,0.01825523459171692,9.138914181761049e-05,0.11338890334395671,0.02088534440879249,2.8317344580308657e-08
