guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g1,Gene1,0.08332254,0.095610514,0.084720485,0.111195676,0.018795803,0.025890168,0.035014782,0.042992476
g10,Gene10,0.8376074,0.29007515,0.03795959,0.16315182,0.028768077,0.036942635,0.046385426,0.05282496
g100,Gene100,-0.08833181,-0.15211053,-0.0866994,-0.08622055,0.018906066,0.025964545,0.032296054,0.041806012
g101,Gene1,0.34319574,0.35548344,0.34459352,0.3710685,0.019104924,0.027369518,0.03623163,0.044325642
g102,Gene2,-0.018606946,0.022301411,0.6114403,0.02935212,0.019256439,0.026343063,0.035425633,0.044574235
g103,Gene3,0.042211477,-0.32544306,0.07101985,0.89654005,0.019185653,0.030840738,0.03931475,0.051436227
g104,Gene4,-0.0153770745,-0.028245045,0.0059067756,-0.029483587,0.019324504,0.026761035,0.03428139,0.041463073
g105,Gene5,-0.122276105,-0.14436387,-0.13418613,-0.15148716,0.019352825,0.027236609,0.036026035,0.04508722
g106,Gene6,-0.47450718,-0.5125925,-0.5172743,-0.4682973,0.020284144,0.02773981,0.03443557,0.041989483
g107,Gene7,-0.17184512,-0.16192354,-0.15580243,-0.57666254,0.018555852,0.0244313,0.032367803,0.0397241
g108,Gene8,-0.15898113,-0.20653997,-0.20356548,-0.16472337,0.0208286,0.029728334,0.03776493,0.04499613
g109,Gene9,0.22060573,0.040428218,-0.07319479,0.030871427,0.019217737,0.028338887,0.036720563,0.043676827
g11,Gene11,-0.77178025,-0.1286977,-0.003222145,-0.03018196,0.025915118,0.036840927,0.042668734,0.04713481
g110,Gene10,1.0139537,0.4664211,0.21430552,0.33949775,0.027520454,0.03660974,0.045571256,0.051788025
g111,Gene11,-0.67983377,-0.03675197,0.08872354,0.061763883,0.025281593,0.036435433,0.042490788,0.04734776
g112,Gene12,0.25828755,0.23762092,0.27170333,0.21616203,0.019991698,0.026880536,0.033862203,0.042745225
g113,Gene13,0.028886244,0.014080702,0.0019794782,-0.0014584246,0.019841854,0.0285498,0.03587418,0.04444057
g114,Gene14,0.1424295,0.15924872,0.18881159,0.13926348,0.017824875,0.025540952,0.032764055,0.039325308
g115,Gene15,0.13790701,-0.38829198,0.8252514,-0.33983722,0.018553851,0.029019136,0.043515902,0.054564323
g116,Gene16,0.1094736,0.07881699,0.10001066,0.7463321,0.018874269,0.027288651,0.036860522,0.04781114
g117,Gene17,0.23246849,0.15894598,0.119306445,0.16966318,0.019478375,0.02658365,0.0347365,0.040836517
g118,Gene18,-0.34754297,-0.28948945,0.36691487,-0.38116756,0.02212074,0.030077064,0.039728023,0.049695097
g119,Gene19,0.01802356,-0.04940369,-0.00867955,-0.0050458345,0.019955397,0.027890814,0.035860293,0.043487336
g12,Gene12,-0.09582501,-0.11649189,-0.08240939,-0.13795066,0.019791527,0.02788099,0.035063937,0.043676242
g120,Gene20,-0.12046216,-0.112662196,-0.080012366,-0.11450594,0.02011362,0.027359534,0.03399868,0.044236593
g121,Gene21,0.3186132,0.3504815,0.3149464,0.30767417,0.019295892,0.026699904,0.03414417,0.040613893
g122,Gene22,0.18857521,0.61667675,0.19566628,0.109878235,0.020535586,0.030986836,0.03966949,0.048130643
g123,Gene23,-0.4261633,0.030646414,0.17591996,0.12514187,0.022015598,0.031277187,0.038169507,0.045850858
g124,Gene24,0.40574414,0.39197806,0.45285314,0.4371807,0.019149253,0.026479196,0.03490492,0.041700743
g125,Gene25,-0.11018652,-0.05135462,-0.09050526,-0.09054838,0.019898644,0.028189106,0.03615442,0.043469243
g126,Gene26,0.15317617,0.14201905,0.16491877,0.19360942,0.018364772,0.027044566,0.034761406,0.043629058
g127,Gene27,0.17220318,0.17812492,0.1930423,0.12877224,0.020324813,0.027124586,0.03503214,0.043545395
g128,Gene28,-0.17168759,-0.16747963,-0.14986312,-0.14535752,0.020978503,0.02795104,0.03534746,0.04188493
g129,Gene29,0.1714529,0.15839808,0.18129028,0.14389257,0.019192636,0.026015203,0.03257576,0.04001932
g13,Gene13,0.19695388,0.18214831,0.17004706,0.16660923,0.018579323,0.02787397,0.035182636,0.043812063
g130,Gene30,0.17059427,0.17650233,0.2027915,0.16933851,0.02056629,0.029987684,0.037600666,0.04388566
g131,Gene31,-0.3925309,-0.3791545,-0.37531054,-0.35649344,0.019887008,0.027006347,0.03604429,0.044508796
g132,Gene32,-0.3541826,-0.3634211,-0.30726898,0.10089419,0.020377165,0.027434027,0.03461924,0.0442346
g133,Gene33,0.17588928,0.19810179,0.16428132,0.11967073,0.018979201,0.026430584,0.03475803,0.042036764
g134,Gene34,0.08578896,0.07707876,-0.36829263,0.092619024,0.020501561,0.02755278,0.034779254,0.043472648
g135,Gene35,0.12268339,0.12182701,0.121022746,0.10810933,0.018877432,0.026381439,0.033890814,0.042984795
g136,Gene36,0.031879768,0.06412246,0.010414524,-0.22185214,0.01864539,0.024859495,0.033099264,0.043259542
g137,Gene37,0.07055829,0.37359878,0.013327133,-0.0053639435,0.019318042,0.029220963,0.038458627,0.04540453
g138,Gene38,-0.15061563,-0.1838922,-0.22458003,-0.1781757,0.01834131,0.026414648,0.033548396,0.04246269
g139,Gene39,0.16025579,0.21123902,0.23014447,0.20201045,0.01843451,0.026440538,0.035336193,0.043320376
g14,Gene14,-0.018170983,-0.0013519056,0.028211074,-0.021337206,0.018161066,0.025422238,0.03275664,0.039242245
g140,Gene40,-0.10944987,-0.12188304,-0.13932781,-0.103829876,0.01906983,0.026699802,0.034626752,0.04248027
g141,Gene41,0.31040275,0.37798184,0.40005872,0.38138828,0.018794576,0.026924247,0.03557689,0.043157477
g142,Gene42,-0.18529777,-0.16059402,-0.16848847,-0.16059035,0.02010359,0.027566418,0.03592169,0.045265406
g143,Gene43,-0.30899805,-0.34748846,-0.2887523,-0.3402844,0.018850029,0.025109293,0.03277623,0.0404996
g144,Gene44,-0.026263285,-0.018928317,0.19831955,-0.03080143,0.018398572,0.025338566,0.03401686,0.040369026
g145,Gene45,-0.05217304,-0.029420173,-0.050301578,-0.0465154,0.018428942,0.025585126,0.033677217,0.04124834
g146,Gene46,0.051645894,-0.68094677,0.06512431,0.116705514,0.019323675,0.03228825,0.042242564,0.050059527
g147,Gene47,-0.3293916,0.08090106,-0.35962936,-0.38281846,0.020439407,0.029392676,0.0381745,0.04599887
g148,Gene48,0.46760803,0.4481152,0.4291158,0.45961872,0.01958791,0.02695943,0.033580154,0.041989088
g149,Gene49,0.31262365,0.07091425,0.015616147,0.005865837,0.020108098,0.027985813,0.0354321,0.04265725
g15,Gene15,0.08769245,-0.4385062,0.775037,-0.39005193,0.019374108,0.029647624,0.04380195,0.055100817
