gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene71,0.039832704,0.01095352,-0.6376719,0.8822285,0.016573472,0.026877385,0.039687835,0.055326603,0.0350587665296498,0.024123467319877,0.073000251695436,0.0032215793959281,0.0391099064816414,0.467343308554734,-0.648385354625666,0.0577038960607684,0.0,0.864510118719614,0.080427723149519,2.53335873159206e-27,0.0,2,4.032774114648419e-12,3.4514846924960096e-07,0.9999999999999961,0.9999999999999999,"2,3",2,0.0,2.0,0.864510118719614,"2,3",2,True
Gene75,0.096005835,0.029832741,-0.86614466,0.28126177,0.017083287,0.027812907,0.04050765,0.05247458,0.099849402618829,0.0247864763884912,2.90983591517691e-05,0.0361022330305567,0.0403405385321252,0.185364859687833,-0.855797028315383,0.0587329940150141,0.0,0.292431671926997,0.0759882548768387,6.13646237417155e-05,0.0,2,2.666483097690797e-05,2.4240468565861484e-05,1.0,0.8880826024366276,2,1,0.0,2.0,0.855797028315383,2,1,True
Gene15,0.1336593,-0.39253956,0.82100374,-0.34408477,0.01558734,0.027237736,0.04237417,0.054165553,0.132230113723771,0.0225969599564772,2.47822230316564e-09,-0.394768961683502,0.0394720957167066,0.0,0.816071371880856,0.0613707970306244,2.04721929194447e-40,-0.348176257839087,0.0783731126246201,4.57947303567075e-06,0.0,1,0.0013540211609411879,0.9999995979003271,1.0,0.9706645723558606,"1,2,3",3,0.0,1.0,0.816071371880856,"1,2,3",3,True
Gene96,0.14923896,0.11118218,-0.8229009,0.06425397,0.014584894,0.023710683,0.0356735,0.046644464,0.15364330469563,0.0213107793485077,3.4196656045910197e-13,0.118324542943748,0.0346354357182419,0.0003240351293414,-0.811105817489271,0.052102774544544,0.0,0.0782409581076652,0.0680442591978114,0.125123502178783,0.0,2,0.014804951112832865,0.009183203315630828,1.0,0.03679609842589526,2,1,0.0,2.0,0.811105817489271,2,1,True
Gene3,-0.06997237,-0.4376273,-0.041163955,0.7843569,0.015769945,0.029078934,0.038091242,0.05035375,-0.0753649043165932,0.0229808346718059,0.0005320264657832,-0.447274164576064,0.0423465511401295,0.0,-0.0541539552620283,0.0554572803977838,0.164383024662734,0.765443882761926,0.073313072514388,6.538693258134019e-26,0.0,1,2.9232008591506542e-08,0.9999999973789507,0.0042730319010321205,0.9999999999999939,"1,3",2,0.0,1.0,0.765443882761926,"1,3",2,True
Gene46,0.032191806,-0.70040095,0.045670222,0.0972515,0.015444536,0.029970683,0.04028015,0.048237983,0.0007427140141134,0.0059967944618945,0.979902201933805,-0.750323044216482,0.0154576765968148,0.0,0.0011155234677762,0.0113900407164747,0.98257814588977,0.0022427635313277,0.0182857463134355,0.980031994605215,0.0,1,0.0,1.0,0.0,0.0,1,1,0.0,1.0,0.750323044216482,1,1,True
Gene11,-0.743974,-0.10089239,0.024583207,-0.0023765848,0.02317283,0.034714162,0.040994003,0.04585846,-0.739130597673164,0.0336323029333685,0.0,-0.0941994038945716,0.0503630887715568,0.0306134509018102,0.0322594695695407,0.0594525667182906,0.293550683413071,0.0062469221532705,0.066481970782088,0.462336063303904,0.0,0,1.0,0.017831167250423774,0.002437389596387951,0.0027421555732166647,0,1,0.0,0.0,0.739130597673164,0,1,True
Gene68,-0.7064839,-0.13444889,-0.020173162,0.013067049,0.02342018,0.033413626,0.040235706,0.046977475,-0.701214197798235,0.0339949920433896,0.0,-0.127425708042778,0.0484842956709786,0.0042510561275871,-0.0119136586726768,0.0583601936739698,0.419340486056773,0.0226009757795587,0.0681037937824109,0.369796282759748,0.0,0,1.0,0.06721460586214123,0.0007756922846922087,0.00513644099711541,0,1,0.0,0.0,0.701214197798235,0,1,True
Gene51,0.19815226,0.14284274,-0.65963197,0.20880967,0.01708111,0.025957623,0.036301304,0.047372013,0.199973688579922,0.0248392366279722,5.07812606175623e-16,0.145599517777931,0.0377356417974924,5.79857295938697e-05,-0.654753501906551,0.0527521081109045,0.0,0.213525965423683,0.0687688948357137,0.0009585661380919,0.0,2,0.49957741310166837,0.07470470324261691,1.0,0.5779638602845164,2,1,0.0,2.0,0.654753501906551,2,1,True
Gene70,-0.04919525,-0.59652996,-0.03490962,0.03914914,0.014671804,0.027493289,0.038465146,0.046591505,-0.0463620491895831,0.0213343757623453,0.0148389958276848,-0.590729425184127,0.0399584574832565,0.0,-0.0275275199768763,0.0558702947210394,0.31119861441043,0.0478799984362433,0.0676287245593701,0.239411337349605,0.0,1,2.978728375069295e-13,1.0,0.0010341476134049232,0.012368954748780414,1,1,0.0,1.0,0.590729425184127,1,1,True
