gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.0595306,0.07181853,0.06092857,0.087403625,0.014895793,0.02386729,0.03350418,0.04185805,0.0484859738738543,0.0120741339962154,0.000325738544670186,0.0499511224695035,0.0163980888374728,0.00648367669769482,0.0429469321613763,0.0228272712116362,0.0603845269987605,0.0492793247301996,0.0246812376012812,0.0394745390462221,0.000325738544670186,0
Gene10,0.82047635,0.27294326,0.02082763,0.14601992,0.025493233,0.034438863,0.044087492,0.05051374,0.809799190649768,0.0369705877196658,9.26752021715386e-107,0.259003833186768,0.0499290459089681,9.75289844236593e-08,0.00346216648233268,0.0638839479921135,0.478626674341903,0.125815981740528,0.0731540334237684,0.0426218603933353,9.26752021715386e-107,0
Gene100,0.06245807,-0.001320765,0.06409045,0.06456927,0.015220576,0.023496082,0.030253429,0.040246133,0.051264688991834,0.0154943589887214,0.000467882539902379,-0.0141048127862903,0.0235220243182869,0.274072080233556,0.0414952391044597,0.0295608640073334,0.079967414132282,0.0351209012915512,0.0373324497733326,0.1731582290159,0.000467882539902379,0
Gene11,-0.743974,-0.10089239,0.024583207,-0.0023765848,0.02317283,0.034714162,0.040994003,0.04585846,-0.739130597673164,0.0336323029333685,0,-0.0941994038945716,0.0503630887715568,0.0306134509018102,0.0322594695695407,0.0594525667182906,0.293550683413071,0.00624692215327051,0.066481970782088,0.462336063303904,0,0
Gene12,0.14001885,0.119351976,0.15343441,0.097893186,0.016369788,0.024758585,0.03224941,0.04161046,0.127738792465635,0.0176462533943049,3.36550045144697e-11,0.103597383926559,0.0279948310884676,3.06185612513104e-05,0.125518638331222,0.0309311369533551,3.95816030698938e-05,0.0776522378037457,0.0433939588093377,0.0299191637248178,3.36550045144697e-11,0
Gene13,0.132992,0.11818654,0.106085315,0.102647364,0.01545163,0.025665523,0.03356341,0.04247725,0.144355315917246,0.0142734041134677,1.4294392672198e-12,0.141338032665238,0.0211039442447672,3.54388240915848e-06,0.139150924171456,0.0264982579598242,0.000430441956972227,0.13817635804834,0.0295821825321617,0.00255251293311273,1.4294392672198e-12,0
Gene14,0.15066394,0.16748318,0.19704612,0.14749782,0.014442239,0.023179404,0.030764982,0.03764828,0.127359299230803,0.0153816705604972,2.37194319628636e-14,0.128703620469504,0.023556214766397,5.13255647664581e-08,0.141457600121178,0.0301671903495053,1.98318335781338e-06,0.0941787792688776,0.0383091696546536,0.00645342980639418,2.37194319628636e-14,0
Gene15,0.1336593,-0.39253956,0.82100374,-0.34408477,0.01558734,0.027237736,0.04237417,0.054165553,0.132230113723771,0.0225969599564772,2.47822230316564e-09,-0.394768961683502,0.0394720957167066,0,0.816071371880856,0.0613707970306244,2.04721929194447e-40,-0.348176257839087,0.0783731126246201,4.57947303567075e-06,0,1
Gene16,0.04849759,0.017841032,0.039034657,0.6853559,0.015186635,0.02505258,0.034963023,0.046324473,0.0403885342800574,0.0221903168723806,0.0343436796532217,0.00450473764695169,0.0365868582624994,0.451289522266629,0.0204235661686187,0.0510322687326535,0.344738895663854,0.659114724942078,0.0675853047072161,6.68101786206552e-23,6.68101786206552e-23,3
Gene17,0.1837044,0.11018173,0.07054222,0.12089895,0.015546024,0.024157705,0.03338701,0.039474234,0.180183370332795,0.0170148314097188,9.8995634705782e-17,0.107958241770523,0.0260976477002352,0.000169067142671611,0.072161593450428,0.0352199897389717,0.0226199779772908,0.115947644853263,0.0405927230857632,0.0038465827866879,9.8995634705782e-17,0
Gene18,0.17773828,0.23579198,0.8921962,0.14411387,0.015930748,0.025680907,0.036334503,0.046784878,0.168060259809668,0.023340814961336,2.54388693409274e-13,0.220142617098976,0.0376157738167971,2.21169536803945e-09,0.869073865783438,0.0532060915987225,7.23910762211084e-61,0.115759325375246,0.0684344972281502,0.0452955744978113,7.23910762211084e-61,2
Gene19,-0.06882707,-0.13625444,-0.09553024,-0.09189641,0.015766082,0.025000283,0.033735786,0.041602094,-0.0523232699450888,0.0156687590805644,0.000411954663813052,-0.105623728404081,0.0244079282457737,7.43002903313972e-06,-0.0598300066506829,0.0317877461762677,0.0295470966882778,-0.0503334298247264,0.0375581877046372,0.0895276839732433,7.43002903313972e-06,1
Gene2,0.058538,0.09944639,0.68858546,0.106497206,0.01585186,0.023829298,0.03348453,0.043336138,0.0516574136947416,0.0232187401279421,0.0129939556298647,0.0890858363951908,0.0348948272064245,0.0053066683072188,0.673242115523093,0.0490143560835135,1.9072507584526e-43,0.0876571553167196,0.0633814183135202,0.0832691556198609,1.9072507584526e-43,2
Gene20,0.041609127,0.049408995,0.082058914,0.04756536,0.016678305,0.024971131,0.03218273,0.042589154,0.0283982910710523,0.0168992104744205,0.0772211072039113,0.0299872553033235,0.0236276592942334,0.127745341541158,0.0500197135854536,0.0315938901896191,0.0763021384453393,0.0196514418437514,0.0368124531789919,0.293959821107722,0.0763021384453393,2
Gene21,0.074370354,0.10623869,0.0707034,0.063431405,0.015173379,0.02407737,0.031969562,0.038822897,0.0665072597768707,0.0155543566420055,1.03172719081989e-05,0.0911919781160384,0.0241677694113274,8.29922614604974e-05,0.0552713556292171,0.031160243391105,0.0383701861347295,0.0467677236430575,0.0365330151783973,0.100689381030114,1.03172719081989e-05,0
Gene22,0.22860567,0.65670776,0.23569705,0.14990889,0.017685506,0.028790241,0.038177144,0.04717293,0.220414077402651,0.0257960207526305,5.11048256708098e-18,0.642894337134612,0.0419751581649331,1.3972715123795e-53,0.217932473724326,0.0556309558746401,4.36621022629813e-05,0.128165589988755,0.068688873614863,0.0309642549784168,1.3972715123795e-53,1
Gene23,-0.5053965,-0.048587088,0.09668639,0.0459083,0.018564617,0.029128045,0.0365658,0.04446829,-0.505080761812655,0.0270118280325276,1.11022302462516e-16,-0.0483904231847218,0.0423662742037605,0.126658145787601,0.096699109660624,0.0531620460827473,0.034507305298797,0.0459888297263863,0.0646091578761413,0.238238734846124,1.11022302462516e-16,0
Gene24,0.103238404,0.08947225,0.15034744,0.13467498,0.014894425,0.023944033,0.032771632,0.04014974,0.0771458067632462,0.0149555480890319,1.21568256773285e-07,0.0497192952600297,0.0237655571385777,0.0182829687242956,0.0897924680855505,0.0312669759834371,0.00237194847128449,0.0654477818136109,0.0367560656562052,0.0376968939475455,1.21568256773285e-07,0
Gene25,0.025406286,0.084238105,0.0450875,0.04504438,0.015539923,0.025110152,0.03365116,0.041282818,0.0156042341866474,0.0154562932813513,0.19261368907429,0.0650793927993509,0.0240730184749971,0.00324304680649455,0.0241836822674057,0.0312605529772294,0.255749271036881,0.0209970993945419,0.0364633160894725,0.318011222570169,0.00324304680649455,1
Gene26,0.16763239,0.15647519,0.17937519,0.20806573,0.014810895,0.024771923,0.032577977,0.041775085,0.14357878863964,0.0142286348389772,8.21248340478867e-17,0.130004337725909,0.0287311524044282,1.8534177903432e-05,0.132536422028409,0.0295355665636046,8.90438370422689e-05,0.135732125604048,0.0309826919277548,0.00039772621155094,8.21248340478867e-17,0
Gene27,0.16192241,0.16784433,0.1827614,0.11849144,0.016560683,0.02398015,0.032863878,0.04161319,0.149158260435948,0.0194443159388035,9.10891933445694e-13,0.14725523063266,0.0256086266373697,5.29714352932083e-08,0.150590547271673,0.0319118749100696,5.68972361375603e-06,0.0997682315814042,0.0488023208542015,0.0119926761789553,9.10891933445694e-13,0
Gene28,-0.04356242,-0.039354425,-0.021737913,-0.017232332,0.017247139,0.025133261,0.03325985,0.040253956,-0.0553128235754008,0.0162186539726102,0.0019476156419751,-0.0540224115361927,0.019999723586599,0.0183859721274088,-0.0491389026159189,0.026750677979973,0.0710137363350335,-0.0482011047277,0.029701173447463,0.0900235386655615,0.0019476156419751,0
Gene29,-0.03112807,-0.044182967,-0.021290613,-0.058688466,0.015109703,0.02341684,0.030737767,0.03813429,-0.0203983640801303,0.0153855022677128,0.145560230803867,-0.0256844690505383,0.0223000458151687,0.167083976859161,-0.00821263348208781,0.0273075931098438,0.400791071599814,-0.028343757764908,0.032563770140511,0.219048594430564,0.145560230803867,0
Gene3,-0.06997237,-0.4376273,-0.041163955,0.7843569,0.015769945,0.029078934,0.038091242,0.05035375,-0.0753649043165932,0.0229808346718059,0.000532026465783209,-0.447274164576064,0.0423465511401295,0,-0.0541539552620283,0.0554572803977838,0.164383024662734,0.765443882761926,0.073313072514388,6.53869325813402e-26,0,1
Gene30,-0.08375103,-0.07784312,-0.05155393,-0.08500679,0.01616282,0.02717945,0.035337407,0.042037446,-0.0794891244891726,0.0164239411432705,1.22055899509643e-06,-0.0713300295036848,0.0260601952664911,0.00628790161422244,-0.0535243715852388,0.0379312464295099,0.0947859066226778,-0.0700546279563409,0.0344890928321767,0.037113669795143,1.22055899509643e-06,0
Gene31,-0.0406601,-0.027283745,-0.02343982,-0.0046228683,0.015166517,0.024226544,0.033788368,0.042408947,-0.051638155077388,0.0129965813515613,0.000509295635788498,-0.047939299565636,0.0190338891206603,0.0281689171667825,-0.0474057630379776,0.0228216900214615,0.0543847386545069,-0.0429801995066719,0.0290330311802614,0.106656070023302,0.000509295635788498,0
Gene32,0.03350024,0.024261354,0.08041385,0.4885761,0.015879478,0.024178479,0.031839646,0.042154867,0.0103610689590099,0.0195080370996337,0.666269433446818,0.00564143587623778,0.0229475417120937,0.748661405853599,0.0257837843855491,0.0437117273837491,0.648162665608702,0.433315257405697,0.0498151107500825,3.58573871413969e-15,3.58573871413969e-15,3
Gene33,0.110610634,0.13282329,0.099002674,0.054392196,0.015256857,0.024149114,0.033125747,0.04087026,0.108002898906793,0.0153688914579496,4.19925321824352e-09,0.126463270816388,0.0237957634289495,9.78592996475073e-07,0.0938835436941502,0.0316195967750846,0.00162787385890242,0.0567477142478563,0.0376379445076068,0.0649721673035042,4.19925321824352e-09,0
Gene34,0.098187,0.08947683,-0.35589504,0.10501708,0.016499417,0.02442816,0.03293932,0.04197788,0.0991994539387964,0.0240929255126794,1.93050986357602e-05,0.0909564486675134,0.0356602567581228,0.00538200990936249,-0.35332529586973,0.0480626546113704,1.02584607475364e-13,0.107433363773796,0.0612061084157288,0.0396126151069517,1.02584607475364e-13,2
