guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.08332254,0.095610514,0.084720485,0.111195676,0.018795803,0.025890168,0.035014782,0.042992476,0.0705662021231211,0.015208388545584,0.000108813067187654,0.0712054298766452,0.0166277431421233,0.000883443326205362,0.0685735614698196,0.0203460389644093,0.0118704777031024,0.070826076449557,0.0210018154134941,0.00888262014959842,0.000108813067187654,0
g10,Gene10,0.8376074,0.29007515,0.03795959,0.16315182,0.028768077,0.036942635,0.046385426,0.05282496,0.832445628894916,0.0422701884373737,7.58657454891004e-87,0.283966296613143,0.0542690150840638,8.13359813537004e-08,0.0307642839437914,0.0681111548716076,0.325817859168949,0.154693811456705,0.0775331637983071,0.0229718563385147,7.58657454891004e-87,0
g100,Gene100,-0.08833181,-0.15211053,-0.0866994,-0.08622055,0.018906066,0.025964545,0.032296054,0.041806012,-0.0772792387673766,0.0221341064711122,0.000222177414350266,-0.133758434648914,0.0303222397858026,5.02880406760831e-06,-0.0687063458243254,0.0368838168443251,0.0292402264726753,-0.0640486764875385,0.0463162117934683,0.079965775661639,5.02880406760831e-06,1
g101,Gene1,0.34319574,0.35548344,0.34459352,0.3710685,0.019104924,0.027369518,0.03623163,0.044325642,0.330413202703933,0.0139975797092354,7.42259150904991e-37,0.330423745356202,0.0140479359941427,2.9536166642104e-21,0.330395415875383,0.0141233894470689,3.17180045476396e-13,0.330429214446525,0.0141996833027829,3.88609485775666e-11,7.42259150904991e-37,0
g102,Gene2,-0.018606946,0.022301411,0.6114403,0.02935212,0.019256439,0.026343063,0.035425633,0.044574235,-0.0218793514705562,0.0284307477885749,0.224569354610147,0.0175161285725195,0.0388385129743452,0.329695954493256,0.604469938965878,0.0521927568271924,3.56666840090774e-31,0.0213656011117541,0.0656395990763903,0.376004075605764,3.56666840090774e-31,2
g103,Gene3,0.042211477,-0.32544306,0.07101985,0.89654005,0.019185653,0.030840738,0.03931475,0.051436227,0.0347281054478645,0.0282582095421182,0.109542917730867,-0.337148868336358,0.0454101441524565,5.6621374255883e-14,0.0556991957493259,0.0578693562939011,0.167901208909964,0.874652066187241,0.0756691242250703,3.24466559809094e-31,3.24466559809094e-31,3
g104,Gene4,-0.0153770745,-0.028245045,0.0059067756,-0.029483587,0.019324504,0.026761035,0.03428139,0.041463073,-0.0112749262524909,0.0184128443909396,0.366964929119689,-0.0174344779752557,0.0243484565623668,0.324652592917735,0.00132687334574098,0.0304761830179067,0.550198991712256,-0.0161552645384909,0.0334933602257125,0.383122896462558,0.324652592917735,1
g105,Gene5,-0.122276105,-0.14436387,-0.13418613,-0.15148716,0.019352825,0.027236609,0.036026035,0.04508722,-0.106900570430114,0.0153785221532505,2.07237772276159e-07,-0.107845995264754,0.016283142696334,1.0247835107946e-05,-0.106020882076936,0.0189033289281823,0.000932533411111436,-0.10643453958578,0.0201650031193921,0.00197569199443859,2.07237772276159e-07,0
g106,Gene6,-0.47450718,-0.5125925,-0.5172743,-0.4682973,0.020284144,0.02773981,0.03443557,0.041989483,-0.46311539496366,0.0258876295453011,0,-0.483934168034886,0.0361311759832383,0,-0.483903312813858,0.0432446442077002,0,-0.449811290437026,0.0516057880866429,1.11133324764978e-13,0,0
g107,Gene7,-0.17184512,-0.16192354,-0.15580243,-0.57666254,0.018555852,0.0244313,0.032367803,0.0397241,-0.16552927147895,0.0277888509450322,1.25360644087635e-09,-0.153629161281216,0.036573549961241,1.33977008579533e-05,-0.14485272198789,0.0484200735527107,0.00139270163018101,-0.562156475970933,0.0596257457992706,0,0,3
g108,Gene8,-0.15898113,-0.20653997,-0.20356548,-0.16472337,0.0208286,0.029728334,0.03776493,0.04499613,-0.131819101971653,0.0261755539020377,3.94587094110221e-08,-0.163497681658477,0.037145824846675,6.98199214110851e-07,-0.15071076690451,0.0459282873168342,0.000180768504739803,-0.110039953003466,0.0533444902481348,0.0147110292970826,3.94587094110221e-08,0
g109,Gene9,0.22060573,0.040428218,-0.07319479,0.030871427,0.019217737,0.028338887,0.036720563,0.043676827,0.226381377531366,0.027772624301693,9.97540737542744e-16,0.0497807921707044,0.0409754748043483,0.112448064874641,-0.0598087460494018,0.0530961233394579,0.129642683703378,0.0453814993268054,0.0628364808591032,0.234310187244955,9.97540737542744e-16,0
g11,Gene11,-0.77178025,-0.1286977,-0.003222145,-0.03018196,0.025915118,0.036840927,0.042668734,0.04713481,-0.769861102231118,0.0381660038558875,0,-0.126544942892959,0.0542389807904726,0.0098057156298319,-0.000945019154485359,0.0628019931989231,0.494056555827355,-0.0276402310112794,0.0693572131650047,0.345165169316539,0,0
g110,Gene10,1.0139537,0.4664211,0.21430552,0.33949775,0.027520454,0.03660974,0.045571256,0.051788025,1.00515878452386,0.0405477629279938,1.0936929654925e-136,0.455199295085534,0.053929326671452,1.38549294720897e-17,0.200781571841789,0.0671066532960625,0.00137681930476308,0.323859269397215,0.0762290260319318,1.05625857437508e-05,1.0936929654925e-136,0
g111,Gene11,-0.67983377,-0.03675197,0.08872354,0.061763883,0.025281593,0.036435433,0.042490788,0.04734776,-0.680254326992741,0.0372126510219815,0,-0.0379266193415011,0.0536126555515848,0.239657583680151,0.0871317560248244,0.0625052220795255,0.081667724442335,0.0600086686999494,0.0696298810697611,0.194379718314053,0,0
g112,Gene12,0.25828755,0.23762092,0.27170333,0.21616203,0.019991698,0.026880536,0.033862203,0.042745225,0.267215597853316,0.0217615005189547,1.00204988594363e-19,0.262801055244158,0.0299523361294473,1.6895326251438e-10,0.267633460438347,0.0269810223450381,4.91096064294288e-09,0.257357763164237,0.0436412781622105,8.32212220066959e-05,1.00204988594363e-19,0
g113,Gene13,0.028886244,0.014080702,0.0019794782,-0.0014584246,0.019841854,0.0285498,0.03587418,0.04444057,0.047327400653021,0.0176785455649664,0.0136283850693604,0.0451723764727219,0.0217241772939766,0.0455178858180905,0.0435686788060041,0.025279476387843,0.068896675697802,0.0434360253781499,0.0272840051506488,0.0734741251598112,0.0136283850693604,0
g114,Gene14,0.1424295,0.15924872,0.18881159,0.13926348,0.017824875,0.025540952,0.032764055,0.039325308,0.122347970804598,0.02091531736372,6.25559190622377e-09,0.12743817178902,0.0284060570561788,7.99547441699596e-06,0.14159153409796,0.036292911836905,4.19504642735701e-05,0.101708787052615,0.0440952243522801,0.0139496899467612,6.25559190622377e-09,0
g115,Gene15,0.13790701,-0.38829198,0.8252514,-0.33983722,0.018553851,0.029019136,0.043515902,0.054564323,0.136880475355591,0.0272475189565021,2.53598463426983e-07,-0.389549845200449,0.042606996770707,0,0.821655842688894,0.0638531670616986,3.48792506179978e-38,-0.341823975203438,0.080009786284932,9.68654571353866e-06,0,1
g116,Gene16,0.1094736,0.07881699,0.10001066,0.7463321,0.018874269,0.027288651,0.036860522,0.04781114,0.102405477212345,0.0278867258957015,0.000119744545281821,0.0686339489570619,0.04031070781252,0.044303985409304,0.0862634964370135,0.0544294555082338,0.0564828609193741,0.727152935235585,0.0705688972829942,3.30514999048084e-25,3.30514999048084e-25,3
g117,Gene17,0.23246849,0.15894598,0.119306445,0.16966318,0.019478375,0.02658365,0.0347365,0.040836517,0.224521497963413,0.0263137117426043,6.8273850257021e-17,0.149610539413498,0.0355240652197563,1.29341360103903e-05,0.109007802665836,0.0457972863681092,0.00786472899311697,0.155093097254133,0.0537225607367658,0.00166665715428783,6.8273850257021e-17,0
g118,Gene18,-0.34754297,-0.28948945,0.36691487,-0.38116756,0.02212074,0.030077064,0.039728023,0.049695097,-0.345158014685815,0.0325851805868557,0,-0.286242023355865,0.0442958311924653,5.10719244672941e-11,0.370305979025648,0.0584851933350613,1.25061883429188e-10,-0.375429475784805,0.0731141329095327,1.4011263405056e-07,0,0
g119,Gene19,0.01802356,-0.04940369,-0.00867955,-0.0050458345,0.019955397,0.027890814,0.035860293,0.043487336,0.0210816342283616,0.0216032193862022,0.164672896780206,-0.0405886021974357,0.0298142917952138,0.0849036442041706,-0.00151260599936379,0.0373208263849692,0.48679366549192,0.00268378246457272,0.0438939691410854,0.475428096482242,0.0849036442041706,1
g12,Gene12,-0.09582501,-0.11649189,-0.08240939,-0.13795066,0.019791527,0.02788099,0.035063937,0.043676242,-0.0735178805051108,0.0213084376911418,0.00034907500019743,-0.0814321555761542,0.0285106912812042,0.00252059354407252,-0.0505657409888076,0.0376427038449604,0.0989291668476115,-0.081946622515763,0.0417921948751561,0.0256692767686642,0.00034907500019743,0
g120,Gene20,-0.12046216,-0.112662196,-0.080012366,-0.11450594,0.02011362,0.027359534,0.03399868,0.044236593,-0.119388053552459,0.0242302355710393,1.0292329506445e-06,-0.112974041044078,0.0319795992320305,0.000543430793677024,-0.0962423196176402,0.0475223591615958,0.0284080550763151,-0.107955407562628,0.0432132961459369,0.0181488993012994,1.0292329506445e-06,0
g121,Gene21,0.3186132,0.3504815,0.3149464,0.30767417,0.019295892,0.026699904,0.03414417,0.040613893,0.326107135546835,0.0194404780421947,6.68646134631613e-30,0.33030881796403,0.0207753463221745,9.77498299669751e-20,0.324243208559777,0.0269174441905596,7.90145570842559e-11,0.3225898360958,0.0314353537794692,5.46344237630066e-08,6.68646134631613e-30,0
g122,Gene22,0.18857521,0.61667675,0.19566628,0.109878235,0.020535586,0.030986836,0.03966949,0.048130643,0.184729832174623,0.0302689841580576,5.13026720754034e-10,0.610408855207605,0.0456569393275469,4.35381708309557e-41,0.188235543010452,0.0584290065556123,0.000635704988366835,0.101093079397066,0.0708538482323539,0.0768052741297791,4.35381708309557e-41,1
g123,Gene23,-0.4261633,0.030646414,0.17591996,0.12514187,0.022015598,0.031277187,0.038169507,0.045850858,-0.428438304361627,0.0324847419945823,0,0.0270860474482247,0.0461453600899086,0.278586357698054,0.171352186182604,0.0563017359972672,0.00117344050523863,0.119697724189977,0.0675993373818242,0.0383182969122077,0,0
g124,Gene24,0.40574414,0.39197806,0.45285314,0.4371807,0.019149253,0.026479196,0.03490492,0.041700743,0.37219211861423,0.0186488811601137,7.12845339419291e-47,0.369605258817987,0.0196764011274236,7.33474739621497e-24,0.376914035804606,0.0303059743977367,9.52429240670071e-19,0.37412476416681,0.0289682284668376,6.72845526858729e-13,7.12845339419291e-47,0
g125,Gene25,-0.11018652,-0.05135462,-0.09050526,-0.09054838,0.019898644,0.028189106,0.03615442,0.043469243,-0.0963469421627088,0.0221372434168007,7.94033997753019e-06,-0.0357086108097215,0.0307927611941903,0.120470991174716,-0.0671388185418538,0.0387047350011237,0.0389907015936333,-0.063067333470279,0.045263003720258,0.0782610433955837,7.94033997753019e-06,0
g126,Gene26,0.15317617,0.14201905,0.16491877,0.19360942,0.018364772,0.027044566,0.034761406,0.043629058,0.128451686310749,0.0156359620609619,3.0856901503081e-10,0.123864676872246,0.0222324703022684,9.34867274310986e-05,0.125618130977124,0.0229977046344734,0.000399365974942484,0.127847186584893,0.0248918599084292,0.000849777601766235,3.0856901503081e-10,0
