guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.08332254,0.095610514,0.084720485,0.111195676,0.018795803,0.025890168,0.035014782,0.042992476,0.0704700652349241,0.0152035104140323,0.000102099629258368,0.0710788318845493,0.0165749766703175,0.000869735202497832,0.0684096859479367,0.0203618958980736,0.0120391673438048,0.0706303091128105,0.0208663309446985,0.00897423789774316,0.000102099629258368,0
g10,Gene10,0.8376074,0.29007515,0.03795959,0.16315182,0.028768077,0.036942635,0.046385426,0.05282496,0.835799505249503,0.042551429152462,3.22317558476281e-87,0.288467538561831,0.054630803848799,5.95873751963038e-08,0.0365309598063007,0.068555788097501,0.297023562649593,0.161268422527037,0.0780337563793782,0.0193951873157397,3.22317558476281e-87,0
g100,Gene100,-0.08833181,-0.15211053,-0.0866994,-0.08622055,0.018906066,0.025964545,0.032296054,0.041806012,-0.077206274312136,0.0220700615318465,0.000204947354105811,-0.133513714052468,0.0302643450709263,4.40434009940649e-06,-0.0685953381027931,0.0367185407962965,0.0285043785087187,-0.0640053587755072,0.0460540409557175,0.0783845008035787,4.40434009940649e-06,1
g101,Gene1,0.34319574,0.35548344,0.34459352,0.3710685,0.019104924,0.027369518,0.03623163,0.044325642,0.330370849952208,0.0139966110038064,7.10761821901217e-37,0.330378981366395,0.0140440197812362,2.47075153472163e-21,0.330349297337487,0.0141287319802203,2.47981765270985e-13,0.330380042864031,0.0141903168500426,3.03560727164041e-11,7.10761821901217e-37,0
g102,Gene2,-0.018606946,0.022301411,0.6114403,0.02935212,0.019256439,0.026343063,0.035425633,0.044574235,-0.0261864903458994,0.0284515448088627,0.1799750401963,0.0117986869228541,0.0388777501771804,0.383924312152909,0.596726609237849,0.0522130875532341,2.61154680366805e-31,0.0113449210012095,0.0657296545761958,0.434866677856212,2.61154680366805e-31,2
g103,Gene3,0.042211477,-0.32544306,0.07101985,0.89654005,0.019185653,0.030840738,0.03931475,0.051436227,0.0329577860654326,0.0283246390403514,0.122319522036279,-0.339886272625408,0.0455079866881738,4.00790511889682e-14,0.0520607618098587,0.0580079818109349,0.184805771910553,0.869344858878684,0.0758493091564652,6.45268987553391e-31,6.45268987553391e-31,3
g104,Gene4,-0.0153770745,-0.028245045,0.0059067756,-0.029483587,0.019324504,0.026761035,0.03428139,0.041463073,-0.0133753395536394,0.0192034277765241,0.243532809265243,-0.0207415639524559,0.0249852879417868,0.192102186306287,0.00145811497439673,0.0327924949185931,0.466533591429205,-0.0191270837662476,0.0352954227676053,0.263342675577104,0.192102186306287,1
g105,Gene5,-0.122276105,-0.14436387,-0.13418613,-0.15148716,0.019352825,0.027236609,0.036026035,0.04508722,-0.106869744521528,0.015365621780741,1.79165769775835e-07,-0.107759486662223,0.0161956528457664,9.3608397342404e-06,-0.105976951466184,0.0188169345558084,0.000898554578578681,-0.106357063980152,0.0199989709541181,0.00190874332817825,1.79165769775835e-07,0
g106,Gene6,-0.47450718,-0.5125925,-0.5172743,-0.4682973,0.020284144,0.02773981,0.03443557,0.041989483,-0.464159356393129,0.0261811294486514,1.11022302462516e-16,-0.485358796242909,0.0370877227558686,1.11022302462516e-16,-0.485715366424198,0.0443676593128891,1.11022302462516e-16,-0.451957802241986,0.0520491764380861,9.40358901857508e-14,1.11022302462516e-16,0
g107,Gene7,-0.17184512,-0.16192354,-0.15580243,-0.57666254,0.018555852,0.0244313,0.032367803,0.0397241,-0.164880697310812,0.02790708153554,1.45148781882654e-09,-0.152774056223251,0.0367310304028675,1.52697869163498e-05,-0.143666014591661,0.0486423085145596,0.00156050267502217,-0.56065949770767,0.0598141079994016,1.11022302462516e-16,1.11022302462516e-16,3
