gene,n_guides,offset_mean,offset_sd_across_days
Gene1,6,-1.5987704196987473e-08,1.942861316826805e-08
Gene10,6,-1.2743597228859205e-07,2.73564942489448e-07
Gene100,6,2.5417345266107606e-08,3.319515532614273e-08
Gene11,6,-1.1508624691203197e-07,2.2047216275336997e-07
Gene12,6,-6.038074692321649e-08,2.5544491655152325e-08
Gene13,6,5.096201967369485e-10,5.6937736329380724e-08
Gene14,6,-1.0152386195616536e-08,7.07392617605689e-08
Gene15,6,-3.5390257835388184e-08,1.0230992842360927e-07
Gene16,6,2.1342809091232096e-09,1.9638413307959375e-08
Gene17,6,-2.9448225784961535e-08,5.9526399575738007e-08
Gene18,6,-8.1956386573101e-08,1.2772670260458074e-07
Gene19,6,2.951128407965853e-08,9.45384542996329e-08
Gene2,6,1.024454831903554e-08,6.925301695083102e-08
Gene20,6,-1.8005569776477492e-08,2.478088195648061e-08
Gene21,6,-8.094745377468238e-08,4.681350098495013e-08
Gene22,6,3.9503599211232476e-08,1.501441963422283e-07
Gene23,6,-4.95153168831447e-08,9.516151700639928e-08
Gene24,6,1.0574391730300281e-08,3.7911154941506685e-08
Gene25,6,-3.327537946573589e-09,2.605179041698012e-08
Gene26,6,1.940255363319654e-08,7.186605291882669e-08
Gene27,6,6.212697675062051e-08,1.0098865708247052e-07
Gene28,6,-7.712515088381666e-10,2.675188033889196e-08
Gene29,6,5.122274160385132e-09,3.389176844372958e-08
Gene3,6,-4.4625873465292676e-09,2.6013562492148704e-07
Gene30,6,-1.7535057848447333e-08,3.404681689423982e-08
Gene31,6,-1.0089327891595404e-08,2.3477057831498446e-08
Gene32,6,1.183555771869585e-07,2.617974993755606e-07
Gene33,6,2.4990489082624134e-08,4.584944535454586e-08
Gene34,6,1.0803341865539551e-07,1.5152312678781778e-07
Gene35,6,-1.794736211729875e-08,2.7285778825107254e-08
Gene36,6,-1.7047568690031767e-08,6.983265765743435e-08
Gene37,6,6.858802710681122e-08,1.734109578482262e-07
Gene38,6,3.9425988991766137e-08,3.8035023404307646e-08
Gene39,6,1.2213907515587485e-08,7.844003651571661e-08
Gene4,6,-1.669711006523772e-08,1.4962048095879667e-08
Gene40,6,-3.546786805225244e-08,1.2823077097106841e-08
Gene41,6,-1.0787819824942257e-08,8.836268024948078e-08
Gene42,6,-1.4280279476280855e-08,6.85195790582807e-08
Gene43,6,-3.2751510540066087e-08,2.902705028650234e-08
Gene44,6,2.7396405741231256e-08,6.268229710188084e-08
Gene45,6,-8.614733815193176e-09,3.1549387493347426e-08
Gene46,6,-9.577100476380884e-08,1.8711853310460732e-07
Gene47,6,2.488620035306227e-08,1.2963692856460068e-07
Gene48,6,-8.769954243825935e-09,3.9553731955081464e-08
Gene49,6,6.389260912356698e-08,1.4318656958954716e-07
Gene5,6,-1.052588534866325e-08,7.696207006265403e-09
Gene50,6,-8.362500618190605e-09,5.328087841386829e-08
Gene51,6,6.676661237769999e-08,1.5469370142295487e-08
Gene52,6,1.8719583748903756e-07,1.9371783175474983e-07
Gene53,6,9.468446179883294e-09,5.867147430549615e-08
Gene54,6,3.310075650641425e-08,8.070741214980338e-08
Gene55,6,8.769954245452238e-09,1.009296596130764e-07
