gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene75,0.03984376,-0.035424616,-0.93726194,0.21717323,0.011179798,0.02432424,0.037910514,0.051277854,0.0456762374941822,0.0191684411322955,0.0085934446181874,-0.0247542539571094,0.0349549937689317,0.239421545737079,-0.919306137054265,0.0544344634980405,0.0,0.238994193194423,0.0735393245103319,0.0005782955723867,0.0,2,4.440892098500626e-16,2.673520518303718e-07,1.0,0.7020305384838441,2,1,0.0,2.0,0.919306137054265,2,1,True
Gene96,0.044154536,0.00031005527,-0.9378856,-0.03483663,0.009411329,0.02117753,0.03371774,0.045831114,0.0519895336499702,0.0193271794791106,0.0035761708559379,0.0127636429706291,0.030689395667343,0.338728944666792,-0.916983307642782,0.048829706518251,0.0,-0.0078559311086745,0.0663073090946001,0.452859407404521,0.0,2,9.43689570931383e-15,5.290593518836317e-10,1.0,0.002739106972166172,2,1,0.0,2.0,0.916983307642782,2,1,True
Gene71,0.029074673,-0.00962391,-0.65710497,0.8722462,0.010843942,0.023552202,0.03739747,0.053830974,0.0238049073131679,0.0191423069434441,0.106819627276786,-0.0189142261573014,0.0338006495945216,0.287864390541776,-0.670919664612211,0.0536247116723107,0.0,0.848488688336952,0.0770797809266573,1.7367967193739998e-28,0.0,2,0.0,4.2245913878247165e-08,1.0,1.0,"2,3",2,0.0,2.0,0.848488688336952,"2,3",2,True
Gene3,-0.016292635,-0.38809386,0.00089009764,0.82976985,0.010178729,0.02571382,0.035131384,0.04822952,-0.0233884301438358,0.0192385426724212,0.112049731239024,-0.401515199061685,0.0370841878134216,0.0,-0.0177949936829598,0.0506375597886265,0.362624267101808,0.802180448955876,0.0694433394998875,3.5452255270133403e-31,0.0,1,0.0,0.9999999724465536,0.00016870146745484593,1.0,"1,3",2,0.0,1.0,0.802180448955876,"1,3",2,True
Gene46,0.020019062,-0.73035127,0.018951386,0.07639534,0.010099319,0.027634779,0.038128365,0.046907887,0.0006268601006015,0.0049219991692469,0.976453172670203,-0.761907401091304,0.0139950198672403,0.0,0.0007806395337961,0.0100937256634947,0.98138332067845,0.0023579400513055,0.0180287084487854,0.976043767755864,0.0,1,0.0,1.0,0.0,0.0,1,1,0.0,1.0,0.761907401091304,1,1,True
Gene15,0.05219942,-0.48149562,0.73030007,-0.43245152,0.0100928275,0.023888845,0.039994266,0.052694123,0.0532155172443493,0.0191208645146855,0.0026926982272527,-0.479378680482846,0.0342448510804687,0.0,0.732181868024449,0.0572734591676585,1.46042202837741e-37,-0.427187416843504,0.0753726920971715,7.24972015753167e-09,0.0,1,8.215650382226158e-15,0.9999999999999998,1.0,0.998711656924405,"1,2,3",3,0.0,1.0,0.732181868024449,"1,2,3",3,True
Gene74,0.016194778,-0.5723288,0.13613099,0.14318042,0.010531661,0.026867913,0.03696181,0.04520929,0.0170939948058812,0.0192277630607327,0.186994060818915,-0.570074597384196,0.0387288046845807,0.0,0.138426700958832,0.0532442724708988,0.0047211524128547,0.14591823025805,0.0650765935676774,0.0125337017811726,0.0,1,0.0,1.0,0.12375256226426123,0.20297332388733114,1,1,0.0,1.0,0.570074597384196,1,1,True
Gene70,-0.02440563,-0.57357085,-0.020468825,0.05421098,0.0095684575,0.025110113,0.035810377,0.04458471,-0.0210983684308073,0.0192781466809059,0.13686617717326,-0.566958567554251,0.0362978217981633,0.0,-0.011582548793719,0.051716147347067,0.411633749504713,0.0651111535447363,0.0643357413273267,0.155784880768977,0.0,1,0.0,1.0,0.00015603704196165413,0.018031639363077723,1,1,0.0,1.0,0.566958567554251,1,1,True
Gene10,0.28775465,-0.3267604,-0.55535597,-0.4275594,0.016682506,0.028527355,0.039004613,0.04698206,0.301406026290031,0.0240043696556858,7.011412061768059e-36,-0.303015676222926,0.0410280700531693,7.549516567451061e-14,-0.522420533310818,0.0560593652398872,0.0,-0.38799179466112,0.0674778997833897,4.591591107327991e-09,0.0,2,0.9999880254476788,0.9939781009735117,0.9999999955749556,0.9973316570724665,"0,1,2,3",4,0.0,2.0,0.522420533310818,"0,1,2,3",4,True
Gene11,-0.24936895,0.42065656,0.52677494,0.5064472,0.014973779,0.029230399,0.036377564,0.041964546,-0.262489817968352,0.0216595497016723,0.0,0.394580223110409,0.0422565933261673,5.10187387623519e-21,0.494082724152935,0.0525649705290109,2.83179011395527e-21,0.468661284801124,0.0606118219749427,5.75400112557564e-15,0.0,0,0.9980435105326295,0.9999979349980166,0.9999999889467719,0.9999953424452335,"0,1,2,3",4,0.0,0.0,0.494082724152935,"0,1,2,3",4,True
