gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3,lfsr_min
Gene18,6,0,0.0,"d0,d1,d2",True,0.8899838927918461,0.0,0.0,0.0,9.63029743965525e-69,0.1640540746478611,0.0127049506494926,0.0,0.2236182300636678,0.0172014348093196,0.0,0.8899838927918461,0.0225756337425019,0.0,0.1331334200495209,0.0284064446812255,1.3880041069835869e-06,0.0
Gene71,6,2,2.0,"d2,d3",True,0.866314068603477,0.0,0.0,0.0,4.703037858306811e-37,0.050909668524226,0.0130303340157034,4.672229937557893e-05,0.0004658387230461,0.0182069513780359,0.4897938713521132,-0.6507717062329057,0.0242953698913123,0.0,0.866314068603477,0.0340609861337468,0.0,0.0
Gene75,6,2,2.0,"d2,d3",True,0.8658992471215134,0.0,0.0,0.0,0.0,0.1021523474574322,0.0130761147527689,2.7755575615628917e-15,0.0286123022620317,0.0177162821743274,0.0531522515758046,-0.8658992471215134,0.0257602038928035,0.0,0.2869787315103819,0.0346519930341297,5.551115123125783e-17,0.0
Gene10,6,0,0.0,"d0,d1",True,0.8533634625185064,0.0,0.0,1.04166046015477e-146,1.99355552984036e-109,0.8533634625185064,0.0157965809652285,0.0,0.2387531690666859,0.0213667862003073,0.0,0.0116071068760638,0.0260542889012183,0.32798032290076,0.1389801728701722,0.0308927850446088,3.4170555635593125e-06,0.0
Gene96,6,0,2.0,d2,True,0.8292998629601361,0.0,0.0,0.0,0.0,0.1476399403835664,0.0123331952404775,0.0,0.1068170208017918,0.0171760276671506,2.5023116911881966e-10,-0.8292998629601361,0.0242534677568701,0.0,0.0739808777563796,0.030946413835804,0.008410151982198,0.0
Gene15,6,0,1.0,"d1,d2,d3",True,0.8147347783911643,0.0,0.0,0.0,8.802101743782419e-42,0.132057724234358,0.0125014874680581,0.0,-0.3946039939825791,0.0184278378977828,0.0,0.8147347783911643,0.0271849074473108,0.0,-0.3434396847661317,0.0342591389154948,0.0,0.0
Gene92,6,2,2.0,d2,True,0.7775496647547712,0.0,0.0,0.0,6.838528083350734e-52,0.0835000425059327,0.0128945148992885,4.7210124698438e-11,0.1109542483224594,0.0177356333352367,1.9747936619296522e-10,0.7775496647547712,0.0232911431335446,0.0,0.0966218649348004,0.0297672815077483,0.0005853828037234,0.0
Gene3,6,1,1.0,"d1,d3",True,0.7750585528301184,0.0,0.0,0.0,5.56549116362064e-32,-0.052088304793809,0.0129456845021779,2.8657158236078395e-05,-0.4316548218903408,0.0185659872651501,0.0,-0.0474576906293229,0.0234516235226193,0.0215034994819073,0.7750585528301184,0.0309250711889623,0.0,0.0
Gene79,6,0,0.0,"d0,d1,d3",True,0.7481220784943577,0.0,0.0,1.2143380303614999e-123,3.184599960633679e-73,0.6771683548207653,0.0154104472142802,0.0,0.185551227384809,0.0210159998981949,0.0,0.0822421724072587,0.0258663115934143,0.000737623753874,0.7481220784943577,0.0317011154666093,0.0,0.0
Gene11,6,0,0.0,d0,True,0.733074418695693,0.0,0.0,0.0,0.0,-0.733074418695693,0.014602058451867,0.0,-0.0752393812553611,0.0211435765905718,0.0001864906057107,0.0287842679036916,0.0245300719174955,0.1203121506420806,0.0058146589843436,0.0288005601989736,0.4199998142674022,0.0
Gene68,6,0,0.0,d0,True,0.7145902361886967,0.0,0.0,0.0,0.0,-0.7145902361886967,0.0149526782047157,0.0,-0.1177145949223304,0.0207022191605067,6.499204507903755e-09,-0.0110323278271038,0.0239874431997788,0.3227864786109433,0.0166623281442077,0.028671563644315,0.2805714567221503,0.0
Gene46,6,1,1.0,d1,True,0.6992258073016234,0.0,0.0,0.0,0.0,0.0516833791482872,0.0127737598124184,2.604361349445305e-05,-0.6992258073016234,0.0208994712660876,0.0,0.0471044400152639,0.025662210192674,0.0332116283425156,0.1044748843286154,0.0302258349511989,0.0002736435929826,0.0
Gene2,6,2,2.0,d2,True,0.6840654603240695,0.0,0.0,0.0,7.851048912409338e-44,0.0606145956619577,0.0124231725870645,5.327041652791742e-07,0.0977395680985987,0.0169697628352552,4.214906645927385e-09,0.6840654603240695,0.0216900759131743,0.0,0.0951595411797981,0.0260635271286165,0.0001305793301361,0.0
Gene16,6,3,3.0,d3,True,0.6704695039144629,0.0,0.0,9.8134020635094e-29,2.1358151743628727e-23,0.0394187311290008,0.0125559444785579,0.0008463331048036,0.0079516521496028,0.0156936328343112,0.3061896322766022,0.0210108387342133,0.0205112896711753,0.1528338533798082,0.6704695039144629,0.0275032409008097,0.0,0.0
Gene51,6,0,0.0,"d0,d2,d3",True,0.6581522669397556,0.0,0.0,0.0,1.52975650466187e-79,0.1932829977496916,0.0129692414997022,0.0,0.1399753385762076,0.017306155096022,3.3306690738754696e-16,-0.6581522669397556,0.0242138650820703,0.0,0.2119579822420467,0.0301551314420842,1.0407230632836217e-12,0.0
Gene22,6,0,0.0,"d0,d1,d2",True,0.6328976906703389,0.0,0.0,4.75313539574004e-72,9.172693103226796e-40,0.2200923283502607,0.0129332711792399,0.0,0.6328976906703389,0.018663853726093,0.0,0.2187322196345658,0.0240844596860243,0.0,0.1380185670087358,0.0285497152602263,6.679949958177112e-07,0.0
