gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.010410272,0.020841649,0.016356362,0.045073234,0.010115025,0.021054218,0.031645328,0.040005088,8.80775785867843e-05,0.00426259863058107,0.900418554612863,0.0010061281295341,0.00693356209473632,0.862684949829147,-0.00110421875158002,0.0094839102836962,0.880829360957595,0.00226781067300316,0.0117754985955576,0.86421815438068,0.862684949829147,1
Gene10,0.28775465,-0.3267604,-0.55535597,-0.4275594,0.016682506,0.028527355,0.039004613,0.04698206,0.301406026290031,0.0240043696556858,7.01141206176806e-36,-0.303015676222926,0.0410280700531693,7.54951656745106e-14,-0.522420533310818,0.0560593652398872,0,-0.38799179466112,0.0674778997833897,4.59159110732799e-09,0,2
Gene100,0.023810523,-0.037548047,0.032122765,0.029828168,0.009867964,0.021342611,0.028796028,0.03932911,0.0146297365963823,0.0107447670421193,0.15812411314474,-0.0452984378154652,0.0158642440495731,0.00252447284729596,0.0131609152548151,0.0193478860916629,0.31595324064708,0.00663569746700789,0.0236042059905234,0.452752286594351,0.00252447284729596,1
Gene11,-0.24936895,0.42065656,0.52677494,0.5064472,0.014973779,0.029230399,0.036377564,0.041964546,-0.262489817968352,0.0216595497016723,0,0.394580223110409,0.0422565933261673,5.10187387623519e-21,0.494082724152935,0.0525649705290109,2.83179011395527e-21,0.468661284801124,0.0606118219749427,5.75400112557564e-15,0,0
Gene12,0.051418807,0.02557404,0.060912393,0.013417183,0.01094049,0.021962458,0.029889844,0.039844338,0.0435776397277677,0.00996278661289965,1.13595806063756e-05,0.0149870166472873,0.0159322433870625,0.173622353042523,0.0409287629297002,0.0205610585683834,0.0226473439354838,0.000689302675056711,0.0253622389357277,0.489481441618948,1.13595806063756e-05,0
Gene13,0.048529323,0.029101206,0.025536513,0.015027695,0.010685432,0.022874393,0.030921418,0.040371265,0.0440986881608304,0.00982002021244845,6.31689239287383e-06,0.0228956232872235,0.0162674115881345,0.0792309070720868,0.0180360488350337,0.0208631138052345,0.194077664519798,0.00898929059680406,0.0251559960684908,0.361109701481425,6.31689239287383e-06,0
Gene14,0.03946299,0.053200666,0.08446782,0.034514677,0.009561286,0.020984728,0.02891777,0.03631053,0.0216847084156613,0.0112613497031242,0.0626978531902453,0.0250813692537976,0.016494866467625,0.0948112491783712,0.0412479538347172,0.0223554737424313,0.0668389813172864,-0.00636525426497464,0.027765201952124,0.424088071934498,0.0626978531902453,0
Gene15,0.05219942,-0.48149562,0.73030007,-0.43245152,0.0100928275,0.023888845,0.039994266,0.052694123,0.0532155172443493,0.0191208645146855,0.0026926982272527,-0.479378680482846,0.0342448510804687,0,0.732181868024449,0.0572734591676585,1.46042202837741e-37,-0.427187416843504,0.0753726920971715,7.24972015753167e-09,0,1
Gene16,0.016221924,-0.013843403,0.00459237,0.6606575,0.010210678,0.0212812,0.032329686,0.04401198,0.00422135835196848,0.0140604714888492,0.680941593361631,-0.0119555026837595,0.0247602976400596,0.626474549646668,-0.00610521352281247,0.0329312795563224,0.713662736073955,0.642921966174086,0.0461938366662605,4.90081296691516e-24,4.90081296691516e-24,3
Gene17,0.06573801,-0.015537398,-0.04539496,0.0059138313,0.010738704,0.022090733,0.031899042,0.03866414,0.0719598849721305,0.010612894077377,8.30743606453293e-06,7.16420185172773e-05,0.0175287555596285,0.490740629135673,-0.0179623884625928,0.024539941717168,0.224260488792622,0.0264407678013039,0.0274776678164143,0.150949938624955,8.30743606453293e-06,0
