gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
Gene1,0.010410272,0.020841649,0.016356362,0.045073234,0.010115025,0.021054218,0.031645328,0.040005088,0.000105302345802343,0.00773888631993116,0.626123452185577,0.00338881847552527,0.0120620207499156,0.453532941214979,-0.00508750116437037,0.016634392884935,0.456858214741879,0.0073445405199791,0.0195097101446917,0.488627270484413,0.453532941214979,1
Gene10,0.28775465,-0.3267604,-0.55535597,-0.4275594,0.016682506,0.028527355,0.039004613,0.04698206,0.301411527456251,0.024000123384913,5.50422493667323e-36,-0.303006129531231,0.0410205298549131,7.50510764646606e-14,-0.522407308949569,0.056048728617031,0,-0.387975875525116,0.0674651811237826,4.56230975220962e-09,0,2
Gene100,0.023810523,-0.037548047,0.032122765,0.029828168,0.009867964,0.021342611,0.028796028,0.03932911,0.0136989659448058,0.0105411593908355,0.205421421058199,-0.0460479813441905,0.0151766705736424,0.00193938570049601,0.0122977755378447,0.0177921277889451,0.340615438524402,0.00623533357186635,0.0212399678363336,0.474183179580072,0.00193938570049601,1
Gene11,-0.24936895,0.42065656,0.52677494,0.5064472,0.014973779,0.029230399,0.036377564,0.041964546,-0.262499409106623,0.0216561831528879,0,0.39456116343629,0.0422497837605148,5.05816971987473e-21,0.494058829103981,0.0525563674815466,2.80787650057061e-21,0.468633665872094,0.0606018517729787,5.6936896588684e-15,0,0
Gene12,0.051418807,0.02557404,0.060912393,0.013417183,0.01094049,0.021962458,0.029889844,0.039844338,0.0426536618375879,0.0101033292778125,1.13112304444627e-05,0.0135631355408629,0.0161571526894662,0.206274427178763,0.0389156808677662,0.0208477991370095,0.0250708397606017,-0.00145647375341506,0.0255829554050664,0.467865157114717,1.13112304444627e-05,0
Gene13,0.048529323,0.029101206,0.025536513,0.015027695,0.010685432,0.022874393,0.030921418,0.040371265,0.043920707476813,0.0104071647352132,5.75856616834182e-06,0.0232306451094984,0.0181126342079291,0.0887173859193973,0.0181850581623936,0.0226365032980568,0.219388576841534,0.00926394793980045,0.0272746776294924,0.391105030663599,5.75856616834182e-06,0
Gene14,0.03946299,0.053200666,0.08446782,0.034514677,0.009561286,0.020984728,0.02891777,0.03631053,0.020563778799827,0.0112481066135021,0.0667121801000778,0.023354753385875,0.0164546498819283,0.104444827525627,0.0388269847042979,0.0223112448589069,0.0711501092988608,-0.00895043409942507,0.0277050022366938,0.37651318443626,0.0667121801000778,0
Gene15,0.05219942,-0.48149562,0.73030007,-0.43245152,0.0100928275,0.023888845,0.039994266,0.052694123,0.0532170196626915,0.0191195126470606,0.00269022745078134,-0.479375527532638,0.0342423957075504,0,0.732184556296756,0.0572693147699699,1.32430622483343e-37,-0.427179545021938,0.0753669909271413,7.23278170688957e-09,0,1
Gene16,0.016221924,-0.013843403,0.00459237,0.6606575,0.010210678,0.0212812,0.032329686,0.04401198,0.00412757783964571,0.013903692536095,0.688449771556417,-0.0116555348301768,0.0245159506829485,0.635533872820584,-0.00593960786759813,0.0325313346400889,0.720680880680865,0.643109637431369,0.0457011321112461,4.77997538644788e-24,4.77997538644788e-24,3
Gene17,0.06573801,-0.015537398,-0.04539496,0.0059138313,0.010738704,0.022090733,0.031899042,0.03866414,0.0715380952399927,0.0108475932502162,1.01180621014434e-05,-0.000341356866331989,0.0178652573116486,0.493226021444994,-0.0183178877534333,0.0250099428135658,0.22294273224448,0.0255143134753715,0.028105176785352,0.159848413053982,1.01180621014434e-05,0
Gene18,0.06256493,0.11931552,0.788318,0.03093272,0.010682619,0.022808276,0.034270324,0.045549158,0.0548440873967885,0.0193144202406038,0.00225977366891404,0.106068587861371,0.0330284302249214,0.000660610569861069,0.767573715069191,0.0495961875719535,2.26850162690526e-54,0.00458162112889996,0.065856649241358,0.472259127800163,2.26850162690526e-54,2
Gene19,-0.0005138595,-0.079168275,-0.039998733,-0.029722134,0.010692415,0.022143595,0.030953346,0.039844003,0.0108145245124809,0.00970773673288133,0.20034144940948,-0.0523218511665632,0.0150224369446301,0.000319339968511412,-0.00743216965120522,0.0190998472786524,0.417554354940108,0.0048675939735938,0.0226068193517377,0.457952268659586,0.000319339968511412,1
Gene2,0.01887065,0.057481978,0.6525367,0.06567785,0.010935561,0.021378366,0.031420212,0.041570995,0.000884178882129593,0.00606045624479567,0.948332490576277,0.00330797042294792,0.0146294541390583,0.934918326110221,0.596859794401024,0.0201379654977993,1.00155686188054e-45,0.00322690983776913,0.0198472433712095,0.945904677667325,1.00155686188054e-45,2
Gene20,0.01956153,0.02996611,0.06644186,0.031737503,0.011026279,0.021615883,0.030268379,0.04144971,0.00552150424495572,0.00902699137332208,0.320683145134833,0.00716760328233469,0.0140973349924993,0.352918886124615,0.0289310539863413,0.0192245197297953,0.0722269899363499,-0.00509786490829112,0.0231900672328518,0.437788224352328,0.0722269899363499,2
Gene21,0.031848546,0.06805283,0.03934288,0.03073277,0.01033354,0.02092489,0.029659932,0.036713585,0.0196879676749231,0.0103684586118873,0.0265265169239839,0.0459004950302805,0.0157139345048012,0.000963002824205802,0.0133314368196311,0.0210421052381104,0.276185660905578,0.00252789552964668,0.0245221126874205,0.476664023677028,0.000963002824205802,1
Gene22,0.07465373,0.49345312,0.08191496,0.0017257471,0.010822318,0.024506446,0.034974944,0.04425083,0.0701987740057909,0.0193295760318607,0.000129537147642801,0.484936990501346,0.0355344406395087,4.5191732073839e-43,0.070168724366388,0.0506450781814582,0.0827525453582817,-0.0129671162151808,0.064008491897202,0.419145715876033,4.5191732073839e-43,1
Gene23,-0.16846485,0.3143699,0.4359831,0.39153105,0.011700547,0.025246963,0.03334046,0.041108824,-0.177451778981829,0.0194634580318138,0,0.297089934442203,0.0368454014399314,3.31985097037008e-16,0.412943366263623,0.0486400938161774,8.41216578196763e-18,0.363073927246118,0.059938181897557,7.78064802730582e-10,0,0
Gene24,0.024537822,0.0034723291,0.063347936,0.050088655,0.009706475,0.02148813,0.031003643,0.03878737,0.00714088012912429,0.00902543740229343,0.299452793236915,-0.0212823992150933,0.0143346823666434,0.0755978919209519,0.0184272871652436,0.0195373465925666,0.25680568768161,0.00302546609447565,0.0209621519498799,0.52570307669661,0.0755978919209519,1
Gene25,0.019789271,0.07733103,0.0395771,0.040077817,0.010812628,0.022797395,0.0315704,0.03905412,0.00270509799571723,0.00731841470772506,0.652318509582367,0.0473968040386043,0.0127675711960543,0.000461794815649458,0.003134757024446,0.0149134903970112,0.702552803438111,0.000669718183608921,0.0168982993779413,0.752254283940931,0.000461794815649458,1
Gene26,0.06351636,0.06180591,0.07236441,0.11277551,0.009788089,0.021403631,0.030012976,0.039700612,0.0347888448204212,0.0100914761451538,0.000130044988749421,0.0175275746827577,0.0162123790725922,0.14018538111721,0.0115575332910521,0.0213437933204686,0.309550289153857,0.0258619959991902,0.0250780847246438,0.154912816010467,0.000130044988749421,0
Gene27,0.03810528,0.040567484,0.065836295,-0.0061858054,0.010726723,0.01992744,0.030438572,0.03972058,0.0294313943538703,0.0127392922520816,0.0716663170972826,0.0284474352461502,0.0163449516537511,0.0852910284331546,0.0426955505076515,0.0236694215150798,0.0814364304841685,-0.0175751994242841,0.0335486072635177,0.303653844878004,0.0716663170972826,0
Gene28,-0.019874739,-0.026085319,-0.009115478,-0.006245819,0.011342583,0.022387393,0.030826485,0.038719203,-0.0174175794630153,0.00975081657814217,0.0382545568177781,-0.0203493909249258,0.0149023706492612,0.0839527232827551,-0.00582826672363996,0.0200507984959301,0.398651199069928,-0.00329051643002063,0.0233837516814804,0.454346978962379,0.0382545568177781,0
Gene29,-0.0031915172,-0.014529255,0.012629689,-0.029955534,0.010251348,0.020992894,0.028735599,0.036913037,0.00115760925247297,0.00894075110739376,0.505015327888108,-0.00604531802143893,0.0138089958750593,0.372841881128744,0.0182500501804179,0.0183094741894213,0.170211215844015,-0.0113806064449293,0.0215655597274555,0.35333136878971,0.170211215844015,2
Gene3,-0.016292635,-0.38809386,0.00089009764,0.82976985,0.010178729,0.02571382,0.035131384,0.04822952,-0.0233960667343567,0.0192369948089039,0.111955088369286,-0.401529628286975,0.0370812380409752,0,-0.0178150922220532,0.0506334248602169,0.36246819877229,0.802150701927034,0.0694371538517942,3.54000548835979e-31,0,1
Gene30,-0.021717213,-0.017464986,0.00858851,-0.023113647,0.010695674,0.023357922,0.03272652,0.040125042,-0.0185415261958737,0.00928682088130742,0.0248750146330329,-0.0122002592009004,0.0153695708281397,0.214930028981276,0.00975397554464267,0.0208009549071186,0.304400740600968,-0.0125853644382486,0.0228657633957015,0.294948446766552,0.0248750146330329,0
Gene31,-0.010369421,-0.0055254544,-0.0016876758,0.022034777,0.010164204,0.021076698,0.030865507,0.040482596,-0.0142564389826828,0.00953045367242448,0.0828991555666813,-0.0118866332591231,0.0137883757278882,0.205088786234872,-0.0106546354598545,0.0184495425031127,0.291608727515907,0.00269972144491632,0.0237116329646376,0.470487905299389,0.0828991555666813,0
Gene32,0.01846561,0.0177929,0.07152365,0.47810993,0.010539777,0.0203641,0.028683884,0.040152833,0.00302144658021396,0.0113287941390746,0.811859085603995,0.00189537602344805,0.0157847367709898,0.844599602145599,0.0147945829731891,0.0330560268342075,0.762781282412747,0.425905637785197,0.0379033049935443,5.10252940232472e-16,5.10252940232472e-16,3
Gene33,0.039981157,0.06516402,0.036511444,-0.0072420835,0.010402873,0.020438228,0.030610565,0.038434774,0.0367086981181902,0.0104316118017276,0.000214472716741961,0.0574020598258246,0.0156106327987983,0.000135696274254032,0.0289601157084503,0.0219684217146448,0.0938283714286659,-0.00452592104601196,0.0259140895646182,0.430970982491781,0.000135696274254032,1
Gene34,0.041479442,0.01762715,-0.4215505,0.03611681,0.010268937,0.020857789,0.030187463,0.040914323,0.0449321308122635,0.019359827559965,0.0105516685574659,0.0230370638043311,0.0302648306952062,0.223056611211424,-0.413133534972936,0.0438355750740907,0,0.0466292506343512,0.0592524043704596,0.215449704474212,0,2
Gene35,0.030374829,0.024056602,0.03155826,0.018159164,0.009524615,0.021037964,0.030163582,0.040569898,0.0242719441802477,0.00974261307053835,0.00578822802153575,0.0158100976809289,0.0151657901261405,0.154288329553479,0.0176077834859219,0.0193033313868185,0.187976629953514,0.00584338209434893,0.0248382050588816,0.419682264274619,0.00578822802153575,0
Gene36,0.026716013,0.047559164,0.000482978,-0.23279752,0.009533058,0.019717142,0.0293384,0.039499946,0.0321642951387334,0.0187730292556546,0.0452197056715435,0.0555645524476143,0.0277384481193454,0.02439828669619,0.0124740660086128,0.0412075749187831,0.377172251073255,-0.21542654295211,0.0555427618186829,3.65627030218807e-05,3.65627030218807e-05,3
Gene37,0.039092224,0.33311868,-0.021798667,-0.029723458,0.010815106,0.023439994,0.03381598,0.040827364,0.0362500101823501,0.0189571689010814,0.0271649701028047,0.327759771243929,0.0333379916289786,1.06534910462289e-22,-0.0288910767181412,0.0479784487825176,0.272103527000399,-0.0382290018058936,0.0578625860167318,0.253104406275899,1.06534910462289e-22,1
Gene38,-0.0063830977,-0.046413843,-0.08740526,-0.03461473,0.009880801,0.021446958,0.02946869,0.039320167,0.0111447708279052,0.00947205543010264,0.119740715180256,-0.0157616427894881,0.0147684229018202,0.135612405300845,-0.0393984425739141,0.0192927331667393,0.0175711139073149,0.0122050961187327,0.0235575261148081,0.287799132981368,0.0175711139073149,2
Gene39,0.014589979,0.05923979,0.08423893,0.054209385,0.010426829,0.022806853,0.032458488,0.041184813,-0.00600321150492266,0.00913734644858728,0.250253462200346,0.0209811940895954,0.015066991223888,0.0753738656255207,0.0268978363244321,0.0200848085690764,0.0845680927535709,-0.00581151659246467,0.0234464381704265,0.388217608074217,0.0753738656255207,1
Gene4,-0.010612039,-0.015239947,0.013133482,-0.017760552,0.010102515,0.021741465,0.030180575,0.037873298,-0.00763344753256699,0.00922752723256678,0.265695806768395,-0.0101094984008277,0.0142042704117034,0.288045760987718,0.0139253827312163,0.0192192686897848,0.238835628586183,-0.00881469744738874,0.0213460638579826,0.398360030588599,0.238835628586183,2
Gene40,0.036892004,0.021665907,0.012734816,0.048483122,0.010982167,0.022379424,0.031041067,0.03994349,0.0267509292607515,0.00943195396474204,0.00188887899038301,0.00644352781611269,0.0154082440813428,0.34728970258913,-0.00528699437870199,0.0201737975816465,0.37854724466493,0.0169620213207187,0.0236413739903293,0.23728313469288,0.00188887899038301,0
