gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene1,0.07192418,0.11227794,0.11961698,0.039825596,0.09028792,0.122595206,0.1461649,0.17687085
Gene10,-0.14511518,-0.2917063,-0.4139222,-0.49307024,0.09175839,0.12005138,0.14556922,0.1748151
Gene100,-0.058247298,-0.09912771,-0.1837267,-0.30433422,0.090075135,0.12887987,0.15383883,0.17575079
Gene101,-0.07390273,-0.1355734,-0.14681803,-0.20123973,0.08329105,0.1141482,0.14187294,0.16602664
Gene102,0.109274805,0.12587938,0.12821506,0.15698439,0.094556354,0.12196647,0.14770876,0.17971253
Gene103,0.08005024,0.15193519,0.2505902,0.30152583,0.08632357,0.11989308,0.14778222,0.17452024
Gene104,0.014009326,-0.014576747,-0.08232891,-0.17670025,0.0864929,0.113554455,0.13133094,0.17655407
Gene105,0.06440174,0.07049685,0.08540545,0.085565664,0.09304746,0.12801503,0.15605071,0.18554352
Gene106,0.092906915,0.17959559,0.23154142,0.25697345,0.08389696,0.11613401,0.13880914,0.17115214
Gene107,0.023418212,-0.005456273,-0.06612079,-0.1421961,0.08959793,0.12639917,0.16073096,0.18813561
Gene108,0.1304347,0.2631296,0.3332066,0.4085951,0.09490814,0.11764079,0.14672975,0.17438294
Gene109,0.08333973,0.12620503,0.11241204,0.13536486,0.08553071,0.113849096,0.13499686,0.1713678
Gene11,0.2642813,0.45044577,0.5959322,0.6726341,0.094746515,0.11709287,0.14969528,0.16270103
Gene110,0.09612686,0.15305871,0.20516752,0.22385544,0.09095638,0.13038087,0.15676735,0.18005092
Gene111,0.15468626,0.20404215,0.20932049,0.22931105,0.08864222,0.12979715,0.15917496,0.18177001
Gene112,0.27048942,0.46342155,0.5915441,0.6551848,0.08670868,0.12171129,0.14739895,0.17169331
Gene113,0.22156812,0.36510116,0.43277562,0.46067628,0.097155645,0.135919,0.16084254,0.17607847
Gene114,0.14506869,0.2161991,0.260333,0.30272564,0.08453605,0.12283314,0.14691167,0.17847058
