gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,true_betahat_d0,error_d0,true_betahat_d1,error_d1,true_betahat_d2,error_d2,true_betahat_d3,error_d3
Gene1,0.08852028,0.13265947,0.13982032,0.07934195,0.09229085,0.124351606,0.14879012,0.17665747,0.16859592,-0.080075644,0.24470586,-0.11204639,0.31617177,-0.17635144,0.14178616,-0.06244421
Gene2,0.09081355,0.12319281,0.1278171,0.048606478,0.09168175,0.1224316,0.14718172,0.17338955,0.23485045,-0.1440369,0.30703738,-0.18384457,0.26897466,-0.14115757,0.01549162,0.033114858
Gene3,-0.07012441,-0.1146045,-0.15492317,-0.18700771,0.08916031,0.12226377,0.14856969,0.16698368,-0.34493947,0.27481505,-0.2452332,0.13062869,-0.18904802,0.03412485,-0.07297331,-0.1140344
Gene4,0.058545534,0.044402577,0.009764144,0.0060726088,0.08133989,0.10846226,0.13679239,0.15727936,0.29945695,-0.24091142,0.05660069,-0.012198113,0.029710501,-0.019946357,0.15739954,-0.15132692
Gene5,-0.11336105,-0.1875413,-0.19286613,-0.22365555,0.08742607,0.11323009,0.13987395,0.1678646,-0.69592947,0.5825684,-0.6847242,0.4971829,-0.20362622,0.010760084,-0.3706825,0.14702696
Gene6,-0.16418768,-0.3153293,-0.4907656,-0.6364812,0.08835716,0.120196395,0.1466558,0.17207186,-0.40286124,0.23867355,-0.372804,0.057474673,-0.49311244,0.0023468435,-0.6701558,0.033674598
Gene7,-0.05924705,-0.11919161,-0.18773973,-0.25074825,0.08562484,0.110712826,0.12680408,0.16684172,-0.1596621,0.10041505,-0.11072527,-0.008466341,-0.23139586,0.043656126,-0.23456913,-0.016179115
Gene8,-0.002454006,-0.020495424,-0.013857386,0.0046795327,0.090729475,0.12285231,0.14826572,0.1732682,-0.04593312,0.043479115,-0.07301307,0.052517645,0.13511068,-0.14896806,0.26843777,-0.26375824
Gene9,-0.20720044,-0.29422668,-0.36330807,-0.42040622,0.08600321,0.11573819,0.14035101,0.17004687,-0.51412237,0.30692193,-0.4194805,0.12525383,-0.3943836,0.031075537,-0.40529516,-0.015111059
Gene10,-0.15122436,-0.2814276,-0.3909762,-0.46009538,0.083752625,0.11793554,0.15138477,0.17579769,-0.47389415,0.3226698,-0.63010055,0.34867296,-0.6040876,0.2131114,-0.6893947,0.22929934
Gene11,0.26364976,0.4482569,0.61208445,0.69386774,0.095561095,0.11662201,0.14220902,0.16740662,0.7066546,-0.44300485,0.8259706,-0.37771368,1.0856316,-0.47354716,1.0642797,-0.37041193
Gene12,-0.0201477,-0.07533132,-0.12283379,-0.15712725,0.081014864,0.107400686,0.12777174,0.16077994,-0.022885846,0.002738146,-0.33535352,0.2600222,-0.4084039,0.2855701,-0.3415029,0.18437566
Gene13,0.20252213,0.36107966,0.46372193,0.5103967,0.091327436,0.11373714,0.14815977,0.16054314,0.4365501,-0.23402798,0.5988507,-0.23777106,0.7677943,-0.30407238,0.6872467,-0.17684996
Gene14,0.042703632,0.07705582,0.117476776,0.13473237,0.08307779,0.12100726,0.14682406,0.16741258,-0.027684394,0.07038803,0.030933864,0.046121955,0.14476655,-0.027289778,0.21468207,-0.07994971
Gene15,0.037928835,0.050940286,0.041253615,0.01040198,0.08430705,0.12134798,0.14978269,0.17032675,-0.15299699,0.19092582,0.069489226,-0.01854894,0.14006588,-0.09881227,0.36998335,-0.35958135
Gene16,-0.0023372865,-0.03374153,-0.0506814,-0.070299484,0.08187386,0.11096733,0.13910909,0.16293778,-0.14849147,0.14615418,-0.0305482,-0.00319333,0.010310397,-0.060991798,0.076225474,-0.14652497
Gene17,-0.01780383,-0.06921424,-0.12424209,-0.18069902,0.08930995,0.12257056,0.14969744,0.16856842,-0.090196595,0.07239276,-0.08452886,0.015314624,-0.20568338,0.08144129,-0.3607415,0.18004248
Gene18,0.1673107,0.29517117,0.36180907,0.4057992,0.082242444,0.11821552,0.14139414,0.1671719,0.4406203,-0.2733096,0.5798483,-0.28467712,0.69368815,-0.33187908,0.6877502,-0.281951
Gene19,-0.0049599763,0.006279325,0.033514805,0.08604165,0.07539827,0.102063335,0.13507506,0.16373433,-0.12256425,0.11760427,0.052827187,-0.04654786,0.059126742,-0.025611937,0.17499754,-0.08895589
Gene20,0.12015442,0.20612893,0.27888745,0.3211399,0.086482406,0.11080055,0.13983142,0.16589588,0.22953108,-0.10937666,0.3185578,-0.112428874,0.4306801,-0.15179265,0.5977737,-0.27663377
Gene21,-0.011902099,-0.052645355,-0.12820807,-0.18599124,0.0907872,0.11070644,0.1400287,0.17331721,0.015596121,-0.02749822,-0.035809536,-0.01683582,-0.12547623,-0.0027318448,-0.17246266,-0.013528585
Gene22,-0.04329948,-0.10937604,-0.15640652,-0.22799335,0.09404567,0.119161755,0.14647695,0.16547105,-0.39603359,0.3527341,-0.45629996,0.34692392,-0.30719256,0.15078604,-0.33419362,0.10620026
Gene23,0.07909621,0.057690643,0.0044718785,-0.037916318,0.0935065,0.11843661,0.14956124,0.17833675,0.19751684,-0.11842063,0.0027504265,0.054940216,-0.129506,0.13397789,-0.18492095,0.14700463
Gene24,-0.070581116,-0.14110845,-0.24977744,-0.34724027,0.08913949,0.1110919,0.13994364,0.16478032,-0.20115605,0.13057494,-0.072970286,-0.06813817,-0.22100966,-0.02876778,-0.23610671,-0.11113356
Gene25,-0.10805788,-0.20846969,-0.32078618,-0.40864307,0.08501884,0.12862277,0.16110927,0.17970671,-0.37767687,0.269619,-0.5548779,0.3464082,-0.61793953,0.29715335,-0.74517405,0.33653098
Gene26,-0.028122261,-0.09105478,-0.18243973,-0.25590506,0.08723804,0.12421034,0.15362947,0.16789979,-0.15946238,0.13134012,-0.06982345,-0.02123133,-0.21883982,0.036400095,-0.15978494,-0.09612012
